ääres	*ääres
istuma	*istus
maa	maas
ja	ja
ja	ja
mina	mina
enam	enamb
ei	eij
olema	ole
tohtima	*tõhtind
nüüd	nüd
sinna+poole	*sinnep+pole
seal+pool	seal+bol
käima+ki	*käijägi
kohe	kohe
iga	iga
kord	kõrd
kui	kui
sealt	sialt
mööda	*müödä
minema	lähän
siis	sis
iga	iga
kord	kõrd
kartma	*kardan
kohe	kohe
ja	ja
vaatama	*vaattan
ah	aahh
see	sie
see	sie
meie	*meije
pere+naine	pere+nase
poeg	poeg
see	sie
tapma	*tappas
see	sie
mõistma	mõissetti
surm	*surma
ka	kaa
see	see
pere+naine	pere+nane
pidama	pidi
raha	raha
saama	saama
kaks+teist+tuhat	kaks+teist+tuhat
pidama	pidi
siga	siast
raha	raha
saama	*saama
ja	ja
siis	siis
tema	temä
minema	läks
raha	raha
võtma	*võttama
aga	a
pere+naine	pere+nasel
olema	oli
veel	viel
siga+ki	sigagi
välja	*vällä
viima	*viematta
tema	temä
võtma	*võttas
jo	juo
nädal	nädäla
sees	sies
enne	*enne
võlg	*võlga
jo	juo
tahtma	tahi
võlg	*võlga
saama	saada
teine	*teiste
käest	kääst
Jõhvi	*Jõhvis
ja	ja
Jõhvi	*Jõhvis
et	ett
siis	siis
püha+päev	pühä+bä
tema	temä
saama	saab
kaks+teist+tuhat	kaks+teist+tuhat
et	ett
siis	siis
andma	*annab
võlg	võla
siis	sis
maksma	*maksab
võlg	võla
ära	ära
lau+päev	*lau+ppa
õhtu	*õhta
siis	sis
minema	läks
tapma	*tappas
pere+naine	pere+nase
välja	*vällä
ja	ja
pere+naine	pere+nasel
ei	eij
olema+ki	*oltki
veel	viel
siga	siga
olema	oli
aed	*aijas
veel	viel
ei	eij
olema+ki	*oltki
veel	vel
siga	siga
tapma	*tappettud
ja	ja
rohkem	*rohkemb
ei	eij
olema	old
saama	saand
see	seda
ring+reis	ring+*reisu
raha	raha
kui	kui
kolm+kümmend	kolm+*kümme
rubla	rubla
vist	vist
ja	ja
kui	kui
tütar	*tüttär
kodu	kodu
olema	õli
seal	sial
mõis	*mõisa
juures	juures
koos+olek	kuos+olek
lõppema	*lõppend
kui	ku
tütar	*tüttär
kodu	kodu
tulema	tuld
siis	sis
olema	õli
ema	ema
tapma	*tappettud
ja	ja
istuma	*istus
seal	säl
vari	*varju
ääres	*ääres
ja	ja
kui	kui
minema	läks
ema	ema
juurde	*juurde
et	et
ema	ema
mis	mis
sina	sa
siia	*siije
nüüd	nd
olema	õled
istuma	*istuma
tulema	tult
siis	sis
e	e
küsima	küsis
ema	ema
käest	käst
ema	ema
enam	enamb
ei	ei
vastama	*vastand
miski	midagi
ja	ja
e	e
siis	siis
tundma	*tundes
et	et
kuu+valge	kuu+*valge
olema	õli
ja	ja
