mh	mh
käima	käisim
meri	meres
võrk	võrkkudega
räim	`räimi
püüdma	`püidmas
aga	aga
siis	siiss
tulema	`tul'li
see	see
seal	säl
Kommunismi+Lipp	Kommunismi+`Lippus
või	või
Võiste	`Võistes
seal	sääl
olema	`ol'li
juba	juba
siis	s
kakuam	kakkud
ja	ja
noo	noo
siis	siss
ja	jaa
aga	aga
üks	üks
teine	teine
brigaad	prigaad
olema	`ol'li
meie	meil
juba	juba
hakkama	`akkass
nelja+kümne+üheksas	nelja+gümne+ühessamal
aasta	`aastal
tegema	tegid
enne	enne
paat	paadi
ja	ja
siis	siss
meie	me
hakkama	`akkasim
viie+kümnes	viije+gümnemal
ja	ja
siis	s
tegema	tegim
teine	teese
teine	teese
paat	paadi
siin	sii
e	e
Tallinn	Tal'linast
e	e
sealt	säält
e	e
kalur	kaluri
liit	liidust
sealt	säält
andma	`an'tti
see	seda
materjal	matterjali
ja	ja
ise	isi
tegema	tegime
valmis	`val'mis
siin	sii
nöör	nöörid
ja	ja
tross	tros'sid
siis	sis
saama	sai
sealt	säält
siis	s
kolhoos	kaloosi
poolt	poolt
aga	aga
oma	oma
oma	oma
raha	rahaga
ja	ja
tulema	`tul'di
nüüd	nid
seal	säl
vasta	`vasta
ja	ja
oma	oma
raha	raha
sinna	`sinna
juurde	`juure
saama	sai
panema	`panttud
ja	ja
andma	`anttud
küll	küll
ja	ja
küll	küll
tegema	tegim
ja	ja
esimene	esimese
aasta	`aasta
siis	ss
püük	püik
olema	`ol'li
kevadel	kevadi
kakuam	kakku
es	s
püüdma	püija
miski	midad
kolm+kümmend+viis	kolm+gend+viis'
tonn	`ton'ni
või	või
mis	mis
meie	me
kõigest	kõigeks
välja	`väl'ja
püüdma	`püitsim
aga	aga
siis	siiss
järgmine	`järgmised
aasta	`aastad
ja	ja
siis	siiss
minema	läks
siin	sii
siis	s
üks	ühe
aasta	`aasta
siis	s
meie	me
püüdma	`püitsime
ka	kaa
siis	s
saama	saeme
mees	mihe
peale	pääl
vana	vana
raha	rahas
üks+teist+tuhat	üks+teis+kümme+tuhat
saama	saeme
iga	iga
mees	mihe
peale	pääl
m	m
mhmh	mhmh
kakuam	kakku+aam
tegema	`tehtaks
suur	suure
aed	aija
võrk	võrgu
püük	püik
võrk	võrgudega
minema	lähed
õhtu	`õhta
meri	`merre
panema	paned
kivi	kivid
alla	`alla
ja	ja
laskma	lased
sisse	`sisse
ja	ja
vaatama	`vaattad
ära	ära
jälle	`jälle
katsuma	katsud
ka	kaa
üks	ühe
või	või
kaks	kahe
võrk	võrguga
eest	eest
ots	`otsa
et	et
kas	kass
e	e
räim	räim
hakkama	`akkab
kas	kas
olema	onn
räim	`räimi
kui	kui
olema	onn
jääma	jäävad
sinna	`sinna
ja	ja
kui	kui
ei	ei
olema	ole
võtma	võttad
välja	`väl'ja
minema	lähed
kas	kas
sügav	sügavamass
või	või
madal	madalamass
või	või
teine	teese
koht	koha
peale	pääl
jälle	`jälle
ja	ja
vaatama	vaattad
seni+kaua	sõni+gauwa
kui	kui
räim	`räime
saama	saad
leidma	leijad
aga	aga
kakuam	kakku+aam
panema	`panttakse
nüüd	nüid
kevadel	kevadi
sisse	`sisse
kui	kui
ilm	ilmad
laskma	lasevad
vahel	vahel
siin	sii
mai	mai
hakatus	akkattusess
ja	ja
pool	poolest
mai	maid
ja	ja
nõnda	nõnda
ja	ja
siis	ss
