mh	mh
kah	kahh
sügav	sügavaks
tegema	`tehtud
kolm	kolm
meeter	meettert
või	või
mis	mis
seal	säl
vesi	vett
sügav	sügav
olema	onn
ja	ja
nõnda	nõnda
et	t
suur	suured
paat	paadid
nüüd	nüt
traal	traal
käima	käib
nemad	neil
oma	omal
sinna	`senna
sisse	`sisse
ja	ja
nüüd	nüid
olema	on
üks	üks
brigaad	prigaad
enne	enne
olema	ol'limme
siin	sii
kui	kui
mina	mina
olema	`ol'li
kaheksa	kahessa
mees	meest
olema	ol'li
meie	meid
kaheksa	kahessa
mees	meest
kaheksa	kahessama
mees	mehega
no	no
jaa	jaa
need	neid
olema	on
mitu	mittu
sort	`sortti
vaatama	vaatta
kõik	kõige
see	see
kast	kas't
kus	kuss
räim	räemed
sisse	`sisse
kus	kuss
nemad	nad
kinni	kin'ni
või	või
nagu	nagu
paat	`paat'ti
saama	saab
kokku	`kokku
lappama	lappattud
see	see
olema	on
tihe	tihi
kõige	kõige
tihe	tihidam
siis	siis
see	se
kari	karja
aed	aid
minema	läheb
jälle	`jälle
vale	valedamaks
ja	ja
see	see
aed	aid
kus	kuss
need	nee
klaas+muna	klaas'+munad
ja	ja
peal	pääl
olema	on
käima	käib
see	see
olema	on
kõige	kõige
harv	arvem
vale	valedam
sihuke	seokst
no	no
mõistma	mõista
mitte	mitte
ütlema	üttelta
mitu	mittu
meeter	meettert
milli+meeter	milli+meettert
need	nee
silm	sil'mad
olema	onn
kolm	`kolme
sort	`sortti
olema	onn
või	või
need	neid
kinni	`kin'ni
jaa	jaa
puha	puha
aga	aga
nüüd	nüid
olema	on
küll	küll
nüüd	nüd
püha	püha
vaim	vaim
vahel	vahel
olema	on
kui	ku
üks	ks
siin	sii
tämmu	tämmu
olema	ol'li
ka	kaa
kord	korra
nemad	neil
olema	olnud
no	no
nüüd	nüid
tegema	`tehtaks
see	seda
seadus	`säädust
või	või
kaitse	kaetset
küll	küll
et	et
ei	ei
tohtima	tohe
püüdma	`püida
aga	aga
suur	`suuri
seas	seas
küll	küll
no	no
kus	kus
sina	sa
korjama	`korjad
või	või
saama	saad
nüüd	nd
sealt	sält
välja	`väl'ja
laskma	las'sid
mitu	mittu
kord	`korda
päris	päris
lahti	`lahti
kohe	kohe
es	ess
võtma+ki	võttagi
paat	`paat'ti
aga	aga
ei	i
tõstma	`tõstnud
need	neid
palju	paelu
kala+poeg	kala+`poegi
ja	ja
olema	on
seal	sääl
sees	sehe
ja	ja
kudu	kudu
aeg	aeg
siis	siiss
vahel	vahel
olema	on
mõni	mõni
kast	kas't
olema	on
nõnda	nõnda
kudu	kudu
täis	täis
kui	ku
üks	ks
kudu	kudu
hunnik	un'nik
räim	räeme
kudu	kudu
hakkama	`akkab
sinna	senna
lina	lina
külge	`kül'gi
või	või
kinni	kin'ni
lappaja	`lappaja
olema	onn
suur	suur
paat	paat'
minema	läheb
kuus	kuus
seitse	seitse
kaheksa	kahessa
mees	meest
minema	lähvad
tema	tal
minema	läheb
risti	`ris'ti
kui	ku
hakkama	akkattaks
lappama	`lappama
sealt	säält
võtma	`võettaks
teine	teesest
äär	äärest
kinni	`kin'ni
ja	ja
siis	siis
see	see
kast	kas'ti
lina	lina
käima	käib
põhi	põhja
alt	alt
läbi	läbi
ja	ja
mees	mehed
olema	on
seal	sääl
äär	ääre
peal	päl
ikka	ikki
iga+üks	iga+ühel
olema	onn
sihuke	`seokke
väike	`väikke
vahe	vahe
tõstma	tõstettaks
see	see
lina	lina
see	see
olema	o
kahe+kordne	kahe+`gorne
tõstma	tõstettaks
üles	üles
ja	ja
laskma	`lastaks
jälle	`jälle
põhi	`põhja
ja	ja
ja	ja
räim	räim
siis	siiss
minema	läheb
sinna	`senna
vasta	`vasta
suur	suurt
paat	`paat'ti
kokku	`kokku
see	see
kutsuma	kutsuttaks
kakuam	kakku
või	või
lappaja	`lappaja
paat	paat'
lappaja	`lappaja
see	sellega
jah	jahh
risti	`ris'ti
ees	ees
ja	ja
mees	mehed
olema	oo
seal	sääl
äär	ääre
peal	päl
ja	ja
põlvili	põl'vili
ja	ja
sealt	säält
siis	siiss
ikka	`ikki
lappama	`lappavad
edasi	edesi
nii+kaua	nii+gauwa
kui	ku
kokku	`kokku
saama	saavad
suur	suure
paat	paadi
ligidal	ligidal
kui	ku
räim	räemed
juba	juba
nii+palju	nii+baelu
saama	saab
ja	ja
paksult	`paksu
räim	`räimi
sees	sehe
olema	onn
et	et
saama	saab
need	neid
kahv	kahvaga
jälle	`jälle
siis	s
kolm	kolm
mees	meest
hakkama	`akkavad
sealt	säält
kohe	kohe
suur	suurest
paat	paadist
need	neid
e	e
kahv	kahvaga
sealt	säält
kakuam	kakkust
suur	`suure
paat	`paat'ti
võtma	`võtma
sisse	`sisse
vahel	vahel
olema	onn
ju	ju
meie	meil
see	see
Juri	Juri
olema	ol'li
suur	suur
paat	paat'
kaks+teist	kaks+teis+kümme
tonn	`ton'ni
saama	sai
sisse	`sisse
tõstma	tõstettud
ja	ja
siis	siis
tema	ta
olema	ol'li
ka	ka
nõnda	nõnda
täis	täis
et	et
vesi	`veega
tükkis	`tükkis
vanasti	vanaste
olema	`ol'lid
kolm	`kolme
sort	`sortti
olema	ol'li
e	e
harv	arvad
olema	ol'lid
siis	siis
olema	ol'li
harv	arva
keskmine	`kesmene
ja	ja
siis	siiss
olema	ol'lid
sage	sagedad
kolm	kolm
sort	`sortti
sage	sage
olema	ol'li
see	see
kõige	kõege
tihe	tihedam
aga	aga
harv	aru
olema	`ol'li
ja	ja
harv	arva
kolm	kolm
sort	`sortti
olema	`ol'li
need	neid
siis	siiss
need	neid
võrk	`võrkkusi
võrk	võrgu
silm	`sil'mi
suurus	`suuruse
poolt	poolt
üks	üks
käima	käis
e	e
siis	siis
nemad	nad
olema	ol'lid
harv	arvad
olema	ol'lid
nagu	nagu
silm	silmad
laius	`laijus
olema	`ol'li
need	neil
sada	sada
harv	arval
olema	ol'li
seitse+kümmend+viis	seetse+gümmend+viis
kaheksa+kümmend	kahessa+gümmend
silm	`sil'ma
ja	ja
üheksa+kümmend	ühessa+gümmend
silm	`sil'ma
olema	ol'li
nagu	nagu
see	see
laius	`laijus
ja	ja
sage	sagedal
olema	`ol'li
siis	siiss
sada	sada
silm	`sil'ma
jalg	jala
peale	päl
või	või
see	see
kõrgus	`kõrgus
olema	`ol'li
tema	tall
e	e
võrk	võrgud
kuduma	kueut'ti
olema	ol'li
sihuke	`seokke
eh	eh
noh	noh
puu	puust
tegema	`tehtud
lauke	`laukke
või	või
lauke	`lõukke
kutsuma	kutsut'ti
kes	kelle
peal	pääl
kutsuma	kutsut'ti
ja	ja
siis	siis
hakkama	akkat'ti
panema	`pan'tti
ots	ots
üles	üless
ja	ja
siis	sis
sihuke	`seokke
puu+hui	puu+ui
olema	`ol'li
lõng	lõng
huitama	uidat'ti
sinna	`sõnna
peale	pääl
ja	ja
siis	s
see	sellega
hakkama	akkat'ti
need	neid
kuduma	kuduma
ikka	ikke
sealt	säält
järjest	järjest
viskama	`viskast
käär	käära
ja	ja
pistma	`pistsid
see	selle
hui	ui
sealt	säält
käär	käärast
läbi	läbi
ja	ja
ümber	`ümber
lauke	`lõukse
na	na
mina	ma
ei	i
saama	saa
ka	ka
ütlema	üttelda
lauke	`laukse
lauke	`laukse
kutsuma	kutsut'ti
kus	kus
see	see
silm	sil'm
e	e
tulema	`tul'li
tegema	tiha
see	selle
järel	järel
harv	arval
olema	ol'li
li	li
suur	suurem
ja	ja
sage	sagedal
ja	ja
kes	kes
need	neil
olema	ol'd
jälle	`jälle
ikka	`ikke
oma	oma
silm	sil'made
suurus	`suuruse
järele	järel
olema	ol'd
need	nee
lauke	`lauksed
sihuke	seokst
puu	puu
noh	noh
nii	nii
pikk	pikkad
sihuke	`seoksed
olema	`ol'lid
ja	ja
siis	s
hakkama	akkat'ti
seal	säl
kuduma	kuduma
sinna	`sõnna
ja	ja
siis	ss
sinna	`sõnna
ümber	`ümber
ümber	`ümber
näpp	näppu
viskama	visat'ti
ja	ja
siis	siiss
näpp	näppu
ümbert	`ümbert
kohe	kohe
minema	läks
sinna	`sinna
tõmbama	tõmmat'ti
hui	ui
pistma	pistet'ti
läbi	läbi
ja	ja
üks	ühe
e	e
ikka	`ikke
üks	üks
sõlm	sõl'm
tulema	`tul'li
üks	ühe
sõlm	sõl'miga
kaks	kahega
siis	siis
tulema	tul'li
tegema	`tehti
kui	ku
paikama	paegat'ti
vahel	vahel
siis	siis
pistma	pistet'ti
kaks	kaks
sõlm	`sõl'mi
kaks	kaks
kord	`korda
läbi	läbi
aga	aga
kui	kui
kudumine	kudumene
olema	`ol'li
ikka	`ikki
viskama	visat'ti
käär	käär
siia	`siija
käsi	käe
peale	pääl
ja	ja
hui	ui
seal	sääl
lauke	`laukse
peale	pääl
ja	ja
ikka	`ikki
üks	üks
silm	sil'm
tulema	`tul'li
kaks	kahe
silm	sil'ma
paikamine	`paikkamese
nagu	nagu
sina	saa
kohendama	kohendast
või	või
paikama	`paikkast
need	neid
no	no
parandama	parandast
siis	siis
seal	sääl
tulema	tul'li
et	et
panema	`panna
kaks	kahe
sõlm	sõl'miga
tegema	tiha
need	neid
pistma	`pista
see	seda
paikama	paegattaks
või	või
parandama	parandaks
ee	ee
võrk	võrgu
noo	noo
jah	jah
võrk	võrgu
katki	`kat'ki
või	või
auk	augud
sees	sehe
jah	jahh
võrk	võrgu
auk	augud
ja	ja
siis	siiss
ja	ja
kui	kui
olema	ol'li
jälle	jälle
rohkem	`rohkem
laguma	lagunu
ja	ja
või	või
katki	`kat'ki
päris	päris
ja	ja
siis	siis
saama	sai
panema	`panttud
päris	päris
uus	uuwed
tükk	tükkid
sisse	`sisse
kuduma	kueuttud
sinna	`senna
ja	ja
kui	ku
olema	ol'li
jälle	`jälle
vana	vanad
see	seda
sort	`sortti
võrk	`võrkku
panema	`pan'tti
vana	vanast
võrk	võrgust
paik	paik
jälle	jälle
paikama	paegat'ti
sinna	sõnna
või	või
koht	koha
peale	pääl
sisse	`sisse
jälle	`jälle
et	et
tema	ta
terve	`terveks
saama	sai
naine	naesed
ikka	ikki
enamasti	änämest
mina	mina
kuduma	kudusi
küll	küll
oma	oma
elu	elus
need	neid
vähe	vähä
aga	aga
siis	s
isa	isa
mina	mull
kuduma	kudus
ja	ja
mina	mull
üks	üks
pool+õde	pool+õde
olema	ol'li
Mari	Mari
või	või
tema	tema
kuduma	kudus
tema	tema
olema	ol'li
vali	vali
see	see
minema	läks
nõnda	nõnda
kui	ku
üks	üks
välk	välk
kuduma	kudus
see	see
pidama	pidi
ää	ää
kärmas	kärmas
kuduma	kuduma
olema	olema
kes	kiss
süld	sülla
päev	`päävas
ära	ära
kuduma	kudus
kuus	kuus
käsi+süld	käsi+süld
võtma	`võet'ti
kuus	kuus
jalg	`jalga
nagu	nagu
olema	on
süld	sülla
ära	ära
kuduma	kudus
üheksa+kümmend	ühessa+gümmend
kord	`korda
tulema	tulnd
nagu	nagu
üheksa+kümmend	ühessa+gümmend
sada	sada
silm	`sil'ma
ja	ja
iga	iga
see	selle
no	no
suur+kene	suurukke
see	se
silm	sil'm
olema	onn
see	selle
ümber	`ümber
see	see
pidama	piab
kärmas	kärmas
kuduma	kuduma
olema	olema
isa	isa
ütlema	`ütles
kui	ku
tema	tema
alles	alles
olema	olnud
poiss+kene	poesikke
ja	ja
talu	talu
sulane	sulane
olema	olnud
peerg	peeru
tuli	tuledega
kuduma	kudunu
ja	ja
olema	olnu
need	neid
üks	üks
olema	ol'li
peerg	peeru
süütaja	`süittaja
ja	ja
hark	ark
olema	ol'li
kas	ks
teie	te
olema	põle
see	seda
sihuke	`seokkest
nägema	näenu
kuskilt	`kuskilt
leidma	`leidnu
oma	omal
ka	kaa
muuseum	muusejumi
nojah	nojahh
kus	kuss
peerg	peerud
vahel	vahel
olema	ol'lid
meie	meil
siin	sii
vana	vana
e	e
ootama	ootta
peerg	peeru
peerg	peeru
hark	ark
või	või
või	või
ikka	ikki
vist	vist
peerg	peeru
hark	ark
mis	mis
teie	te
kõik	kõik
panema	pange
kinni	`kin'ni
mina	ma
ei	ei
mis	miss
see	see
mis	mi
siin	sii
olema	on
ida	ida
see	see
olema	on
põhi	põhja
loe	`loode
lääs	lääne
ja	ja
siis	siis
olema	onn
lõuna	`lõune
kärme	`kärme
ja	ja
rohkem	`rohkem
olema	põle
nojah	nojah
neli	neli
neli	neli
tükk	`tükki
ja	ja
vahe+peal	vahe+pääl
olema	on
iga+üks	iga+ühel
üks	üks
veel	veel
e	e
e	e
noh	nohh
ah	ahh
hommik	oomikku
meri	mere
vat	vat
hakkama	`akkame
uuesti	uuwesti
he	he
hõhõ	hõhõ
see	see
maa+tuul	maa+tuul
see	see
olema	on
hommiku+tuul	omikku+tuul
siis	siis
olema	on
ida+tuul	ida+tuul
see	see
olema	oo
siit	siit
ida	ida
ja	ja
hommik	oomikku
või	või
e	e
hommik	oomikku
ja	ja
siis	siiss
e	e
põhi	põhja
vahel	vahel
ja	ja
põhi	põhjast
minema	läheb
siis	siss
olema	on
loe	`loode
olema	on
siin	sii
seda+viisi	seda+visi
no	no
siis	siis
hakkama	akkab
meri	mere
või	või
õhtu+tuul	`õhtu+tuul
see	see
meie	mee
kutsuma	kutsume
tema	tend
meri	mere
poolt	pult
ikka	`ikki
mere+tuul	mere+tuuleks
aga	aga
päev	pääva
järel	järel
olema	on
tema	ta
õhtu+tuul	`õhta+tuul
no	no
siis	siiss
minema	läheb
välja	`väl'la
siis	sis
olema	oo
lääs	lääne
jälle	jälle
nagu	nagu
see	see
nurk	nurk
siin	sii
ja	ja
siis	siiss
olema	on
lõuna	`lõune
ja	ja
kärme	`kärme
olema	on
siin	sii
sedasi	sedasi
see	see
kõige	kõege
viimane	viimane
siin	sii
nagu	nagu
see	see
nurk	nurk
seal	sääl
kärme	`kärme
kutsuma	kutsuttaks
kärme	`kärme
nüüd	nüid
ütlema	`öeldaks
kagu+tuul	kaagu+tuul
kagu	kaagu
kagu	kaagu
või	või
mis	mis
nemad	nad
ikka	ikki
see	see
möga	möga
ütlema	`ütleb
siin	sii
vesi+kaar	vesi+kaar
no	no
see	see
meri	mere
või	või
õhtu+tuul	`õhta+tuul
see	see
kutsuma	kutsutse
vesi+kaar	vesi+gaare
tuul	tuul
õhtu+tuul	`õhtu+tuul
või	või
meri	mere
mere+tuul	mere+tuul
vesi+kaar	vesi+kaar
ee	ee
vahel	vahel
kui	kui
räim	räim
olema	on
e	e
käima	käib
või	või
olema	onn
kui	kui
e	e
räim	räim
olema	on
madal	madalamas
vesi	vees
olema	onn
aga	aga
nii	nii
kui	ku
tuul	tuul
kärme	`kärme
minema	läheb
ühe+korraga	ühe+gorraga
kui	ku
pühkima	pühib
minema	läheb
sügav	sügavas
ja	ja
kui	ku
sina	sa
sügav	sügavass
järele	järel
minema	lähed
saama	saad
ka	kaa
veel	veel
aga	aga
kui	ku
sina	sa
see	seda
liik	`liikki
nagu	nagu
kus	kuss
räim	räim
nagu	nagu
otse	otse
liikuma	liigub
või	või
käima	käib
e	e
minema	lähed
ei	ei
olema	ole
see	see
teie	te
teadma	`täätte
küll	küll
see	see
e	e
Tatra	`Tatra
Juri	Juri
tema	tema
käima	käis
enne	enne
siin	sii
ka	ka
tema	ta
olema	oli
suur	suur
paat	paat'
olema	ol'li
kuus	kuuwe
mees	mehega
aer	aerudega
ja	ja
puri	purjuga
käima	käis
käima	käist
Jaagupi	Jaaguppi
alt	alt
siin	sii
kah	kah
meie	mede
meri	meres
siin	sii
ja	ja
üks+kord	üks+kord
meie	mee
olema	ol'lime
all	all
nõnda	nõnda
kolm	kolme
pool	poole
või	või
neli	nel'la
süld	sülla
vesi	vees
ja	ja
ja	ja
tuul	tuule
võtma	`võt'tis
kärme	`kärmes
miski	midagi
ei	ei
olema	olnd
hommikul	omikku
räim	`räimi
aga	aga
tema	tema
olema	ol'li
ülal	ülal
viis	viije
või	või
kuus	kuuwe
süld	sülla
vesi	vee
sees	sees
ja	ja
hommikul	omikku
suur	suur
paat	paat'
olema	ol'li
kuus	kuuwe
mees	mehega
tema	ta
käima	käis
ja	ja
aer	aerudega
ja	ja
siis	s
puri	puri
olema	oli
ka	kaa
küll	küll
sihuke	seoksed
ja	ja
viima	viis
sihuke	`seokse
naha+täis	naha+täije
räim	`räimi
siit	siit
ära	ära
kui	kui
vähe	vähe
võima	võis
olema	ol'li
kärme+tuul	`kärme+tuul
nii	nii
kui	ku
tuul	tuul
kärme	`kärme
lööma	lööb
räim	räim
lööma	lööb
sügav	sügavass
ise	ennast
aga	aga
ja	ja
kui	ku
räim	räim
mängima	mängib
jälle	jälle
siis	siis
tema	ta
pillama	`pillab
peal	pääl
ikka	ikki
kus+pool	kus+pool
tema	ta
käima	käib
seoke	`seokke
õhuke	õhukke
jää	jää
alles	alles
mis	miss
kuidagi	kuidagi
madal	madala
peal	pääl
et	et
sina	sa
nägema	nägid
ära	ära
kui	kui
kala	kala
ujuma	oeos
ja	ja
e	e
ja	ja
siis	siss
kirves	`kerve
silm	sil'maga
lööma	lõin
see	selle
koht	koha
peal	päl
kus	kus
kala	kala
olema	`ol'li
ja	ja
lööma	lõin
see	selle
plaksti	`plaksti
see	selle
jää	jää
pihta	`pihta
ja	ja
ja	ja
õhuke	õhukke
jää	jää
olema	ol'li
ja	ja
ja	ja
kala	kala
tulema	tul'li
kohe	kohe
see	selle
koht	koha
peal	päl
kus	kus
koht	kohas
sina	sa
see	selle
plaks	plaksu
panema	`pan'nid
tema	teda
nii	nii
ära	ära
põrutama	põrottas
et	et
tema	ta
s	s
tulema	tul'li
sinna	sinna
jää	jää
alla	`alla
ja	ja
lööma	lõid
jää	jää
katki	`kat'ki
ja	ja
ja	ja
ja	ja
võtma	`võt'sid
sealt	säält
saama	said
see	selle
kala	kala
kätte	`kätte
jaa	jaa
see	seda
olema	olen
mina	mina
ka	kaa
ära	ära
nägema	näenud
küll	küll
no	no
tema	tää
nii	ni
nii+palju	nii+baelu
nii	ni
et	et
tema	ta
peal	pääl
kandma	kannab
aga	aga
tema	ta
olema	onn
selge	`sel'ge
selge	`sel'ge
külmetama	kül'mettand
ja	ja
paistma	paestab
ära	ära
et	et
kui	ku
kala	kala
ujuma	oeob
ja	ja
saama	sai
ju	ju
sedasi	sedasi
küll	küll
madal	madala
peal	pääl
tegema	`tehtud
ja	ja
kui	ku
sügav	sügavama
peal	pääl
olema	ol'li
saama	sai
auk	auk
sisse	`sisse
raiuma	raijuttud
ja	ja
kõhuli	kõhuli
jää	jää
peal	pääl
maa	maas
olema	`oldud
ja	ja
vaatama	`vaattad
kui	kui
kui	kui
kala	kalad
hakkama	`akkast
sealt	säält
auk	augult
kas	kass
kala	kala
olema	onn
ääres	`jääres
nägema	nägid
ju	ju
kohe	kohe
ära	ära
aga	aga
see	sii
pidama	pidi
ka	ka
ikka	`ikke
olema	olema
kala	kala
et	et
sina	sa
nägema	nägid
ära	ära
et	et
kala	kalad
auk	augu
koht	kohalt
sealt	säält
mööda	`müüda
minema	läksid
see	se
siis	s
panema	`pan'nid
oma	oma
püüs	`püised
sinna	`sinna
sisse	`sisse
saama	sai
sedasi	sedasi
küll	küll
nägema	`nähtud
ja	ja
olema	`olttud
ja	ja
vahel	vahel
ju	ju
kala+parv	kala+parved
äär	`jääre
tulema	tul'lid
tulema	tul'li
nii	nii
madal	madalas
äär	`jääre
et	et
es	ess
saama	saa
mutt	`mut'ti
õieti	õijetti
ajama+ki	aeadagi
ja	ja
mutt	mut'ti
ajamine	aeamene
see	see
olema	on
ka	kaa
e	e
sina	sa
pidama	piad
enne	jenne
pael	paela
alla	`alla
ajama	aeama
muidu	mud'u
sina	sa
ei	i
saama	saa
mutt	`mut'ti
ju	ju
jää	jää
alla	`alla
vedama	vidada
olema	ol'li
see	se
suur	suured
pikk	pikkad
udjas	udjad
olema	ol'lid
puu	puust
udjas	udjad
saama	sain
see	selle
udjas	udja
sisse	`sisse
ja	ja
jää+alune	jää+alust
kada	kada
edasi	edesi
ja	ja
see	selle
udjas	udja
otsas	`otses
olema	ol'li
pael	pael
jälle	jälle
jälle	jälle
nii	nii
pikalt	pikkalt
olema	ol'li
sina	sull
teadma	tääda
pärast	pärst
mitu	mittu
samm	`sammu
mutt	mut't
pikk	pikk
olema	onn
nii	nii
mitu	mittu
samm	`sammu
ajama	aeast
see	seda
udjas	`ut'ja
jää+alune	jää+alust
kada	kada
edasi	edesi
ja	ja
ja	ja
võtma	`võt'sid
siis	siis
sealt	säält
jälle	jälle
see	selle
pael	paela
udjas	udja
küljest	kül'lest
lahti	`lahti
ja	ja
vedama	vidast
jälle	jälle
mutt	mut'ti
see	selle
asemel	asemel
tema	ta
olema	ol'li
ja	ja
pidama	pidid
jää	`jäässe
ikka	ikki
olema	ol'lid
tuur	tuurad
jälle	jälle
kes	kellega
sina	sa
auk	augud
raiuma	`raijust
esmalt	`esmalt
kui	ku
vanasti	vanast
seoke	seoks
hakatus	akkatust
olema	`ol'li
saama	sai
kirves	`kervega
kui	kui
õhuke	õhukke
jää	jää
olema	ol'li
aga	aga
paks	paksem
jää	jää
olema	on
mis	mis
sina	sa
kirves	`kervega
raiuma	raijud
olema	ol'lid
tuur	tuurad
mina	mull
olema	on
praegu	`praegu
kaks	kaks
ait	`aittas
kaks	kaks
tuur	`tuura
veel	veel
kui	ku
mina	ma
tuur	tuur
olema	on
raud	rauwast
tegema	`tehtud
nojah	nojahh
tema	tall
olema	on
puu	puu
jälle	jälle
nii+sugune	ni+sugust
puu	puu
puu	puu
jagu	jägu
olema	on
kus	kus
sina	sa
käsi	`käega
kinni	`kin'ni
võtma	võttad
ja	ja
ja	ja
all	all
olema	on
raud	raud
ja	ja
olema	on
nii	nii
kui	ku
terav	terav
tegema	`tehtud
mis	miss
jää	jää
kõva	kõva
ka	ka
et	et
tema	tää
katki	`kat'ti
ei	ei
minema	lähä
ega	ega
ei	ei
murduma	`murdu
olema	on
sepp	sepp
olema	on
tegema	teinud
need	need
ja	ja
tundma	tunneb
ära	ära
kas	kass
kui	kui
kõva	kõva
tema	ta
olema	on
et	et
tema	ta
ei	i
murdma	murra
katki	`kat'ti
ikka	ikka
ka	ka
jää	jää
raiumine	`raijumisega
et	et
tema	ta
terve	terve
seisma	seesab
olema	on
terav	teravad
muud+kui	muut+ku
siis	siis
raiuma	`raivad
ümmargune	ümarguse
auk	augu
sisse	`sisse
nõnda	nõnda
et	et
sina	sa
saama	saad
udi	udja
udi	`ut'ja
jälle	`jälle
edasi	edesi
ja	ja
edasi	edesi
ajama	aeada
udi	udjad
olema	ol'lid
ka	ka
nii	nii
pikk	pikkad
tegema	`tehtud
kaks	kaks
kaks	kaks
see	seda
udja+täis	udja+täit
s	s
olema	ol'li
mutt	mut'ti
mutt	mut't
sees	sees
olema	ol'lid
sina	sa
kaks	kaks
täis	täit
juba	juba
see	seda
mutt	`mut'ti
või	või
see	seda
udi	`ut'ja
edasi	edesi
jää+alune	jää+alust
kada	kada
ajama	`aand
ja	ja
sealt	säält
võtma	võttad
pael	paela
üles	üles
ja	ja
ja	ja
see	sii
pael	paelal
olema	ol'li
nii+palju	nii+baelu
pikkus	`pikkus
et	et
kahe+kordne	kahe+`gorne
see	selle
see	selle
kus	kus
koht	`kohta
kui	kui
üksi+päini	üksi+bäinis
et	et
sina	sa
jälle	jälle
saama	said
mutt	mut'ti
alla	`alla
vedama	vidada
kaks	kahe
pael	pael
olema	ol'li
nii+palju	nii+baelu
pikk	pikk
et	et
kaks	kahe
mutt	mut'ti
pikkus	`pikkus
et	et
sina	sa
kui	kui
sina	saa
mutt	`muitti
mutt	`mut'ti
laskma	`las'sid
seal	sääl
sebima	sebist
pael	`paela
ja	ja
ja	ja
mutt	mut't
minema	läks
ka	kaa
jälle+ki	jällegi
edasi	edesi
olema	ol'li
seal	sääl
sees	sees
olema	ol'li
sina	sull
teadu+pärast	tiadu+pärast
kui	kui
pikk	pikk
mutt	mut't
olema	ol'li
ja	ja
kui	ku
pikk	pikk
mis	mis
sina	sa
siis	s
pihk	`pioga
tuli	tulega
tuli	tulega
no	no
mina	ma
ütlema	`ütle
toostama	`toostamas
käima	`käitti
muud+moodi	muud+`moodi
es	ess
püüdma	`püitta
mina	mina
muud+moodi	muud+`mood'i
ei	i
olema	ole
püüdma	püinu
kui	kui
toostama	`toostamas
käima	käisi
noh	nohh
see	see
olema	ol'li
nii+moodi	ni+modi
et	et
tuli	tulega
tuli	tulega
pime	pimedas
öösel	`üüsi
tuli	tulega
käima	käime
ka	ka
päeval	`päeva
päev	`päevas
aga	aga
öösel	`üüsi
pime	pimedas
siis	siis
siis	siis
saama	sai
madal	madala
peal	pääl
käima	`käittud
no	no
tuli	tulega
olema	ol'li
kui	kui
saama	sai
jalgsi	jala
käima	`käidud
madal	madala
pealt	päält
ja	ja
püüdma	`püittud
ja	ja
ja	ja
saama	sai
ka	ka
siis	siis
jälle	jälle
paat	paad'iga
ka	ka
käima	`käidud
sügav	sügavama
pealt	päält
jälle	`jälle
sügav	sügavama
pealt	päält
no	no
siis	siis
olema	ol'li
mina	mull
olema	ol'li
väike	`väikke
pisike	pisikke
must	must
lootsik	loot'sik
kutsuma	kutsut'ti
paat	paat'
olema	ol'li
see	sel
olema	ol'li
siis	siss
pidama	pidi
ikka	ikki
see	sii
tookse+raud	`tookse+raud
olema	olema
raud	rauwast
muidu	mud'u
puu	puu
ju	ju
põlema	põleb
ära	ära
olema	ol'li
seoke	`seokke
haraline	aralene
ja	ja
suur	suur
raud+vars	raud+vars
olema	ol'i
veel	viil
taga	taga
ja	ja
seal	sääl
vars	varre
küljes	`kül'gis
olema	ol'li
veel	viil
puu+vars	puu+vars
kus	kus
sina	sa
panema	pan'nid
paat	paadi
händ	`ända
tema	ta
püsti	`püs'ti
sinna	sõnna
ja	ja
tuli	tuli
põlema	põles
seal	säl
tõrvane	tõrvased
kant	kan'did
olema	`ol'lid
mets	metsast
olema	`ol'li
korjama	korjattud
veel	veel
see	selle
jaoks	jaoks
et	et
tema	ta
hästi	`äs'ti
põlema	põles
ja	ja
see	se
põlema	põles
kõrgel	`kõrgel
ja	ja
see	see
tegema	tegi
siis	siis
sealt	säält
eest	iist
kõik	kõik
lükkama	`lükkad
tasa+pisi	`tassa+pisi
peal	pääl
põhi	põehast
ise	isi
aer	aeruga
või	või
mõni	mõne
asi	asjaga
ja	ja
või	või
ahing	ahenga
vars	varrega
ja	ja
ja	jaa
siis	siis
nägema	nägid
angerjas	angerjast
või	või
kala	kala
muidu	mudu
kas	kass
olema	ol'li
õnn	õnneks
sina	sull
saama	said
kätte	`kätte
ja	ja
kui	ku
es	ess
olema	ole
e	e
saama	saa
pihta	`pihta
tema	tall
minema	läks
ära	ära
ja	ja
olema	ol'li
kõik	kõik
siis	sis
sina	sa
saama	said
puu	puud
sinna	`sinna
panema	`pan'nid
peal	pääl
ikka	`ikka
känd	kännud
ja	ja
tuli	tuli
põlema	põles
seal	sääl
ja	ja
kui	kui
jälle	`jälle
ära	ära
juba	juba
põlema	põles
panema	`pan'nid
uus	uuwed
puu	puud
jälle	`jälle
ja	ja
ikka	`ikke
sedasi	sedasi
kui	kui
sina	sull
kala	kala
nägema	näha
olema	`ol'li
ja	ja
angerjas	angerji
ja	ja
seoke	`seoksi
asi	`as'ju
siis	siis
no	no
seal	sääl
minema	läksid
minema	läksid
ju	ju
hulka	`ulkka
puu	puid
peal	pääl
see	see
olema	`ol'li
seoke	`seokke
noh	nohh
ümmargune	ümargune
seoke	`seokke
olema	`ol'lid
kaks	kaks
haru	arudes
ja	ja
ümmargune	ümargused
ja	ja
siis	s
panema	`pan'tti
puu	puud
sinna	`sinna
peal	pääl
ja	ja
saama	said
