jaah	jaahh
ning	ning
mina	maa
ep	p
teadma	tää
ka	kaa
kuidas	kuidas
need	ne
ussi+sõnad	us'si+sönad
olema	olid
aga	äga
see	see
lugema	luges
ning	ning
valu	valu
võtma	`vöttas
ära	ära
aga	äga
seal	sääl
Parila	Parilas
kus	koes
meie	me
heina+maa	eina+mas
see	see
võtma	`vöttas
kohe	kohe
ei	äi
tema	ta
es	ss
paisutama	paisuda
ei	äi
tema	ta
es	ss
mitte	`mette
miski	midad
valu	valu
ära	ää
ning	ning
nõnda	nönda
et	t
olema	poleks
uss	us's
osama+ki	osandkiid
see	see
olema	oli
küll	küll
nii	nii
tark	tark
poiss	poiss
see	see
minema	läks
sõja+väli	söea+väljale
ning	ning
jääma+ki	jähigid
jälle	`jälle
sinna	`sönna
mina	moo
eest	eest
olema	onn
olema	oli
küll	küll
see	see
tark	tark
poiss	poiss
noh	noh
kui	kui
käsi	kää
või	vöi
jalg	jala
ära	ää
väänama	`väändesid
ning	ning
üles	üles
paisutama	paisuttas
ning	ning
et	et
sedasi	sedasi
natuke	nattuse
nikastama	nikkastas
siis	siis
jalg	jalg
paisutama	paisuttas
üles	üles
ning	ning
valu	valu
sisse	sisse
es	ss
võima	vöi
enam	änam
käima	`käija
end	nd
aga	aga
nüüd	niid
olema	oli
jälle	`jälle
nii	nii
tark	tark
et	et
võtma	`vöttasid
ära	ää
ning	ning
tõmbama	`tömbasid
jalg	jala
paigale	paigale
jah	jah
ning	ning
valu	valu
võtma	vöttid
ära	ää
meie	meittel
siin	sii
üks	üks
poiss	poiss
ka	kaa
mis	miss
mis	miss
praegu	paers
Kingis+sepa	Ki~ngi+sseppas
olema	onn
see	see
väänama	`väändas
ka	kaa
hakkama	`akkas
siit	siit
välja+käik	`välja+gäigu
pealt	päält
maha	maha
ürgama	`ürgama
kui	kut
va	vad
poiss+laps	poiss+lapsed
va	vad
koer	koirad
olema	onn
ju	ju
ning	ning
mina	maa
tulema	tuli
üks	ühe
õhtu	`öhta
töö	tööst
ära	ära
ning	ning
mina	mina
nägema	nägi
poiss	poiss
ase	asemel
nii	nii
vagasti	`vaasti
tekk	tekk
üle	üle
silm	`silmade
ning	ning
mitte	`mette
es	ss
tegema	tee
mina	maa
ütlema	`itli
mis	miss
sina	sool
olema	onn
ei	ei
es	es
tohtima	tohi
rääkima	`rääkkida
ka	kaa
end	nd
pärast	pärast
hakkama	`akkas
rääkima	`rääkkima
et	et
tema	taa
jalg	jalg
tema	täma
ei	äi
võima	vöi
jalg	`jalga
kiputama	kipputta
ning	ning
jalg	jalg
olema	onn
paisutama	paisuttand
ning	ning
tema	täma
ei	äi
võima	vöi
mitte	`mette
jalg	`jalga
liigutama	liigutta
ning	ning
nii	nii
kange	`kange
valu	valu
olema	onn
et	et
ei	äi
võima	vöi
kuskil	`kuskil
olema	`olla
muu	muud
es	es
olema	ole
miski	midad
mina	maa
ajama	aisi
hobune	obuse
ah	ah
esiteks	esittiks
mina	maa
minema	läksi
siia	`siije
venelane	venelaste
juurde	`juure
venelane	venelase
velsker	`velskri
juurde	`juure
see	see
siduma	sidus
jalg	jala
kinni	`kinni
kõvasti	kövasti
poiss	poiss
karjuma	`karjus
veel	veel
rohkem	`rohkem
et	et
tegema	teind
veel	veel
rohkem	`rohkem
ning	ning
ikka	`ikka
paistetus	paisettus
minema	läks
edasi	edasi
mina	maa
võtma	vötti
ära	ära
ning	ning
päästma	`päästasi
jalg	jala
ning	ning
panema	pani
hobune	obuse
ette	ede
et	et
tegema	tee
Neeme	`Neemes
üks	üks
olema	onn
mees	mees
olema	onn
et	et
minema	mine
see	selle
juurde	`juure
mina	maa
panema	pani
mina	maa
es	s
mõistma	möista
sinna	`sönna
ise	ise
teadma	tee
ka	kaa
see	seda
pere	peret
end	end
mina	maa
võtma	vötti
siit	siit
teine	teise
naine	naise
seltsi	`seltsi
ning	ning
minema	läksi
sinna	`sönna
see	see
kord	korra
puhuma	puhus
peale	`pääle
ning	ning
venitama	venittas
jalg	`jalga
mina	maa
tulema	tuli
koju	koeu
teine	teise
hommik	oomikku
laps	lapsel
jalg	jalg
terve	`terve
enne	ennem
käima	keis
kark	`karkkudega
kaks	kahe
kark	karguga
es	s
saama	saa
mitte	`mette
kuskile	`kuskile
kui	kui
oma	oma
eri	eri
minema	läks
siia	`seije
pott	potti
peale	pääle
tegema	tegema
või	vöi
rakk	rakku
peale	pääle
siis	siiss
minema	läks
kaks	kahe
kark	karguga
jah	jah
aga	äga
siis	siiss
see	see
olema	oli
siis	siiss
sedasi	sedasi
arst	ar'st
siin	sii
maa	maal
olema	oli
üks+kord	ühe+gorra
vana	vanad
inimene	inimesed
olema	olid
ikka	`ikka
nii	nii
tark	targad
et	et
ütlema	`eettasse
küll	küll
olema	pole
end	nd
aga	äga
aga	äga
need	nee
olema	olid
küll	küll
tark	targad
aga	äga
nüüd	nüid
mina	ma
ep	p
teadma	tää
teie	teittele
pikemalt	pikkemalt
miski	midad
rääkima	`rääkkida
no	noo
jah	jah
mina	mool
olema	oli
minema	minev
aasta	`aasta
ka	kaa
mina	maa
minema	läksi
esimene	esimest
päev	`pääva
niitma	`niittama
ning	ning
käsi	kää
sisse	`sisse
kargama	`kargand
nõnda	nönda
käsi	käsi
paisutama	paisuttas
siit	siit
saadik	saadik
üles	üles
kui	kut
noh	noh
ning	ning
valu	valu
olema	onn
sees	sihes
kui	kui
sina	sa
vagasti	`vaasti
sedasi	sedasi
pidama	pidasid
siis	siis
es	ess
olema	ole
end	nd
kui	kui
sina	sa
liigutama	liiguttasid
nii	nii
kange	`kange
valu	valu
sees	sihes
no	noo
siis	siis
õppema	öppetti
käskima	`kästi
luud	luuwa
mis	millega
sina	sa
tuba	tuba
pühkima	pühid
ikka	`ikka
need	nee
üks+kord	ühe+gorra
või	vöi
nüüd	nüid
tegema	tehasse
praegu+ki	`paerguskid
luud	`luudi
ju	ju
et	et
need	nende
võrral	vörreldega
panema	pane
ümber	`ümber
mina	mina
panema	panin
ümber	`ümber
ei	äi
ühti	`ühtid
siis	siis
käskima	`kästi
ahi	ahju
mis	miss
üks+kord	ühe+gorra
tegema	`tehti
leib	`leiba
sihuke	sihandsed
ahi	ahju
luud	luuwad
mis	millega
leib	`leiba
tõmbama	tömmettasse
need	neid
võrral	`vördlid
panema	`panna
mina	mina
kõik	keik
ümber	`ümber
mitte	`mette
miski	medagid
ikka	`ikka
end	nd
siis	siis
paisutama	paisuttas
siit	siit
see	see
jalg	jalg
ka	kaa
üles	üles
siit	siit
puha	puhas
siis	siiss
mina	ma
es	ss
siis	siis
es	es
olema	ole
nõu	nöu
miski	midagid
enam	änam
et	et
oh	oh
mis	miss
mina	mool
nüüd	nüid
nõu	nöuks
olema	onn
nüüd	nüid
ei	äi
olema	ole
enam	änam
aitama	`aitta
miski	medagid
aga	äga
siis	siiss
mina	maa
hakkama	akki
soe	soea
vesi	vee
patt	`patti
tegema	tegema
sool	`soola
sisse	`sisse
ning	ning
palav	palava
patt	`patti
kaks	kaks
öö	ööd
seal	sääl
ning	ning
paisumine	`paisumine
laskma	`laskes
maha	maha
ning	ning
andma	`andas
järgi	`järge
no	noo
nemad	nääd
ütlema	`itlid
et	et
et	et
see	see
va	va
jälle	`jälle
sihuke	sehane
sant	san't
haige	`aige
või	vöi
mina	mina
ep	p
teadma	tää
ka	kaa
mis	miss
mis	mis
tema	ta
kutsuma	kutsutti
üks	üks
rääkima	`rääkkis
seda+moodi	seda+modi
teine	teine
teine	teist
aga	aga
mina	mina
ep	p
teadma	tää
ka	kaa
mis	miss
mis	mis
tema	ta
olema	oli
aga	äga
mina	maa
minema	läksi
esimene	esimest
päev	`pääva
niitma	`niittama
ning	ning
kargama	`kargas
sisse	`sisse
ning	ning
siis	siis
käskima	`kästi
et	et
kui	kui
vask	vas´k
kell	kellu
kett	kettid
ka	kaa
olema	onn
no	noo
vana	vana
muistne	`muistine
no	noo
kus	koes
need	neid
otsima	`otsida
olema	onn
need	neid
olema	pole
enam	änam
keegi	killegittel
mis	miss
olema	olnd
need	nee
laps	laste
kätte	käde
andma	`anttud
laps	lapsed
need	nee
ammu	`ammu
ära	ää
kaotama	`kaottand
aga	aga
muu	muud
nõu	nöu
siis	siis
mina	ma
siis	siis
mina	ma
hakkama	akki
soe	`sooja
vesi	vett
ning	ning
siis	siis
sool	`soola
sisse	`sisse
ning	ning
olema	oli
siis	siis
vann	vanni
sees	sehes
sedasi	sedasi
pikk	pikka
vann	vanni
sees	sehes
ning	ning
siis	siis
kaduma	kadus
ära	ära
andma	andis
järgi	`järga
mina	maa
ep	p
teadma	tää
õieti	`ette
kõhu+valu	köhu+valust
miski	medagid
vahel	vahel
kui	kui
kõht	köhus
olema	oli
valu	valu
siis	siis
panema	`pandi
suur	sur
klaas	laes
peale	`pääle
sihuke	`söukke
õlu	ölle
klaas	laasid
ütlema	`eetti
vaatama	vaada
kui	kut
siin	sii
olema	onn
ning	ning
kolm	kolm
tikk	`tikku
panema	`pandi
pire	pire
leib	`leiba
lõikama	leigetti
ning	ning
kolm	kolm
tikk	`tikku
ristati	ristatti
ka	kaa
ning	ning
tõmbama	tömmetti
siia	`seije
naba	naba
peale	`pääle
paar	paari
öö	ööd
siis	siis
olema	oli
see	sede
jälle	`jälle
andma	`andas
järgi	`järgä
ning	ning
vahel	vahel
olema	olid
siin	sii
olema	olid
ju	ju
kes	kess
muljuma	`muljus
et	et
kaduma	kadus
ka	kaa
ära	ää
ja	ja
vat	vat
sedasi	sedasi
olema	olid
üks+kord	ühe+gorra
vanasti	vanasti
tohter	`tohtred
nüüd	nüid
olema	oo
teine	teised
arst	arstid
nüüd	nüid
olema	pole
enam	änam
nemad	neid
nemad	neid
ep	ep
olema	pole
vana	vanu
inimene	inimessi
ka	kaa
enam	änam
end	end
kes	kess
nüüd	nüid
nüüd	nüid
nüüd	nüid
nii	nii
tark	targad
olema	onn
hammas	`amba
valu	valuu
ka	kaa
käima	`käidi
kes	kess
sedasi	sedasi
nemad	nee
es	ss
tegema	tee
muu	muud
miski	määd
kui	kui
hammas	ammas
suu	suust
ära	ää
tõmbama	tömmetti
hammas	`amba
valu	valu
andma	`andas
järgi	`järge
muidu	muidu
es	s
andma	anna
järgi	`järge
ka	kaa
end	nd
küll	küll
õppema	öppetti
see	seda
ning	ning
teisiti	teisitti
aga	äga
siin	sii
va	va
Reedu	Reedu
Peeter	`Peetter
olema	oli
suur	suur
arst	ar´st
lugema	luges
sõna	sönu
ning	ning
puhuma	puhus
peale	`pääle
ning	ning
kõik	keik
tegema	tegi
aga	äga
ei	äi
es	ess
andma	anna
järgi	`järge
ühti	`ühtid
end	end
aga	äga
kui	kui
ära	ää
tõmbama	tömmetti
suu	suust
siin	sii
Neeme	`Neemes
olema	oli
üks	üks
mees	mees
tõmbama	`tömbäs
ära	ää
suu	suust
ning	ning
valu	valu
jääma	jäi
sinna+samasse	`sönna+`saase
jälle	`jälle
ning	ning
tükkis	`tükkis
kergemini	`kergemini
tõmbama	`tömbas
ära	ää
suu	suust
kui	kut
arst	ar´st
mitte	`mette
es	s
tundma	tunne
ka	kaa
ütlema	`itles
kord	korra
et	et
tooma	too
mina	maa
vaatama	vaada
kust	koest
poolt	poolt
valutama	valudab
panema	pani
pea	pää
kõver	kövera
raud	rauwa
peale	`pääle
ning	ning
käima	käis
ning	ning
es	ess
saama	saa
mitte	`mette
aru	aru
et	et
hammas	ammas
suu	suust
ära	ää
tulema	tuli
nüüd	nüid
olema	oo
arst	arstil
tükkis	`tükkis
rohkem	`rohkem
valu	valu
panema	pane
prits	pritsid
ning	ning
see	see
see	see
need	neid
ep	ep
tahtma	tahaks
mitte	`mette
tõmbama	tömmatta
mina	maa
olema	ole
minema	minev
aasta	`aasta
käima	käisi
kaks	kaks
tükk	`tükki
laskma	`laskesi
oma	omal
siit	siit
alt	alt
ära	ää
tõmbama	tömmatta
mina	maa
ep	p
minema	lähe
mitte	`mette
see	selle
arst	arsti
juurde	`juure
mitte	`mette
enam	änam
aga	aga
see	see
mees	mees
olema	oo
surema	`surnud
see	see
ep	p
saama	saa
enam	änam
nüüd	nüid
tulema	`tulla
haud	aavast
ära	ää
tõmbama	`tömbama
kõik	köik
üks	ühed
olema	olid
suur	sured
kuke+mari	kukke+marjad
mis	miss
maa	maas
kasvama	`kasvesid
käskima	`kästi
need	neid
tooma	`tuuwa
ning	ning
katki	`katki
jälle	`jälle
muljuma	`muljuda
ning	ning
siis	siis
hapu+piim	abu+piima
peale	`pääle
panema	`panna
ning	ning
siis	siis
öö	ee
või	vöi
hapnema	`apneda
seal	sääl
sees	sihes
ajama	aisime
need	neid
peale	`pääle
kaduma	kadusid
ära	ää
jälle	`jälle
see	see
olema	oli
sihuke	sehand
mis	miss
maa	maast
hakkama	`akkes
sihuke	sehast
pisine	pisised
laps	lastel
lööma	löi
sedasi	sedasi
ikka	`ikka
tagumine	tagumise
istuma	`istusid
pisine	pisised
lühine	lühised
püksid	püksid
ning	ning
pisine	pisine
lühine	lühine
kuub	kuub
ka	kaa
no	noo
aga	äga
mis	miss
muidu	muidu
laps	lapsel
hakkama	akkab
ka	kaa
aga	aga
siis	siis
kutsuma	kutsutti
see	see
maa	maast
hakkama	`akkand
ee	ee
siis	siss
aga	aga
sedasi	sedasi
kaduma	kadus
siis	siis
ära	ää
ei	äi
mitte	`mette
see	seda
olema	pole
mitte	`mette
nooh	nooh
need	neid
olema	oli
palju	palju
ju	ju
no	noo
see	see
ütlema	`eetti
sedasi	sedasi
tule+märk	tule+mär'k
et	et
jääma	jäävad
kui	kui
sina	sa
raske	`raske
inimene	inimene
olema	oled
laps	last
taluma	talud
ning	ning
siis	siis
miski	medadid
tule+kahju	tule+gahju
nägema	nääd
ning	ning
äkisti	äkkisti
kus	koes
koht	`kohta
sina	sa
katsuma	katsud
sinna	`sönna
jääma	jääb
tule+märk	tule+mär´k
kas	kass
palg	`palge
ehk	ähk
Peetri	`Peetri
mammi	mammi
siit	siit
meie	meitte
küla	külast
üks	üks
vana	vana
inimene	inimene
olema	oli
tema	tää
olema	oli
kuulama	`kuuland
jah	jah
ning	ning
tema	tää
olema	oli
raske	`raske
inimene	inimene
ning	ning
siin	sii
üks	ühel
põlema	pölend
maja	maead
ära	ära
teine	`teisses
küla	külas
tema	tää
nägema	näind
ning	ning
tema	tää
õieti	`ette
nali	nalja
pärast	pärast
panema	pand
siia	`seije
sedasi	sedasi
käsi	kää
kaks	kaks
sõrm	`sörme
siia	`seije
peale	`pääle
tagumik	tagumikku
peale	`pääle
ning	ning
nii	nii
selge	`selge
punane	punane
märk	mär´k
olema	oli
jah	jah
mis	miss
uss	ussi
noh	noh
siin	sii
uss	ussid
kiskuma	`keskusid
ka	kaa
palju	palju
aga	aga
mina	maa
ep	p
teadma	tää
need	neid
miski	medad
need	nee
saama	said
ikka	`ikka
sedasi	sedasi
harima	aritti
ära	ää
siis	siis
olema	olid
vana	vanad
inimene	inimesed
nii	nii
tark	targad
minema	läksid
vana	vanade
inimene	inimeste
juurde	`juure
ning	ning
siin	sii
mitu	midu
tükk	`tükki
kes	kedast
kiskuma	`keskusid
kui	kui
tema	ta
saama	sai
kohe	kohe
jälle	`jälle
saama	said
abi	abi
kohe	kohe
minema	`minna
siis	siis
kaduma	kadus
ära	ää
paisutama	paesuttas
natuke	nattuse
ka	kaa
ning	ning
olema	pole
valu	valu
kaduma	kadus
ära	ää
ning	ning
olema	pole
enam	änam
end	end
jah	jaa
see	seda
saama	sai
nõnda	nönda
kaapima	kaabittud
see	sed
siis	s
kaapima	kaabittud
miski	määd
aga	äga
töö+mees	töömest
ning	ning
natuke	nattugene
sai	saija
jahu	jahu
panema	`pandi
sedasi	sedasi
hapnema	`apnema
natuke	nattugese
paar	paari
pool	poole
päev	`pääva
hapnema	`apnes
õhtu	`öhta
ajama	`aetti
saun	sauna
ahi	`ahju
tuli	tuli
ning	ning
minema	`mindi
saun	`sauna
ning	ning
laps	laps
ka	kaa
ning	ning
siis	siis
ajama	`aetti
laps	lapse
selg	selg
täis	`täide
puha	puhas
ning	ning
siit	siit
rind	`rindade
pealt	päält
ning	ning
puha	puhas
täis	`täide
ning	ning
siis	siis
üks	üks
valge	`valge
rätik	rättik
panema	`pandi
üle	üle
ning	ning
siis	siis
hakkama	akketti
vihtlema	`vihtlema
kuivama	`kuivas
siis	siis
tulema	tuli
natuke	nattune
must	`musta
rööp	`rööppa
ära	ää
olema	olid
need	need
harjas	arjased
või	vöi
aga	äga
nüüd	nüid
olema	pole
enam	änam
laps	lastel
harjas	arjassi
võtma	`vööttud
nüüd	nüid
ep	ep
saama	saa
aru	aru
miski	medad
olema	olid
need	ne
harjas	arjased
või	vöi
olema	oli
tema	ta
muidu	muidu
must	must
mis	miss
olema	oli
tegema	teind
aga	aga
vanasti	vanasti
tema	ta
olema	oli
iga	ägas
pere	peres
võtma	`vöötti
kes	kellel
laps	lapsed
siis	siis
olema	olid
siis	siis
võtma	`vöötti
iga	ägas
pere	peres
see	seda
laps	lapse
harjas	arjassi
ikka	`ikka
mitu	midu
kord	kord
mitu	midu
lau+päev	`lauppad
mitte	`mette
üks	ühe
lau+päev	`lauppa
end	nd
laps	lastel
harjas	arjased
aga	äga
no	noo
nüüd	nüid
siin	sii
tulema	tulavad
ka	kaa
laps	laps
aga	äga
olema	pole
harjas	arjassi
võtma	`vööttud
ning	ning
nii	nii
samuti	sammu
need	neid
need	neid
es	es
saama	saa
lahti	lahti
miski	medad
need	neid
olema	oli
seni	sönni
kui	kut
kui	kut
hakkama	akketti
sedasi	sedasi
pulber	`pulbrid
tooma	`tooma
ning	ning
siis	siis
saama	sai
lahti	`lahti
need	neid
olema	oli
laps	lastel
nõnda	nönda
palju	palju
sigima	sigisid
ühte+valu	`ühte+valu
aga	äga
pea	pää
pidama	pidid
kaks	kaks
kord	kord
päev	`päävas
kammima	`kammima
sigima	sigisid
laps	lastel
kui	kui
sina	sa
es	ss
kammima	`kammi
end	nd
siis	siis
sugema	sugi
need	neid
nõnda	nönda
palju	palju
aga	aga
kui	kui
sina	sa
kammima	`kammisid
siis	siis
siis	siis
olema	oli
rahu	rahu
kaduma	kadusid
ära	ää
aga	aga
need	neid
olema	oli
ning	ning
mõni	menel
kes	kess
sedasi	sedasi
hooletu	oolettum
inimene	inimene
olema	oli
et	ät
es	ess
viitsima	viisi
nõnda	nönda
laps	last
kammima	`kammida
end	nd
see	sellel
lammuma	`lammusid
pea	pääd
laps	laste
pea	pääd
lööma	löid
tükkis	`tükkis
katki	`katki
nõnda	nöndat
paljas	paljas
liha	liha
olema	oli
mina	maa
teadma	tää
siin	sii
kaks	kahes
pere	peres
olema	olid
palju	palju
laps	`lapsi
olema	oli
mina	mool
es	es
olema	ole
miski	medad
kolm	kolm
tükk	`tükki
mina	maa
jõudma	`jöutsi
ikka	`ikka
oma	omaga
korraldama	korralda
peale	`pääle
aga	aga
nemad	nendel
olema	oli
mõni	menel
üheksa	üheksa
tükk	`tükki
ning	ning
kaheksa	kaheksa
tükk	`tükki
no	no
mis	miss
sina	sa
ep	p
jõudma	jöuwa
need	neid
nemad	nendega
nõnda	nönda
rassima	`rassida
ning	ning
oma	oma
töö	töö
olema	onn
ka	kaa
tegema	teha
ju	ju
sina	suul
olema	onn
oma	oma
maja+pidamine	maea+bidamine
ka	kaa
üks+kord	ühe+gorra
olema	olid
pidama	pidid
ju	ju
puha	puhas
ise	ise
tegema	tegemä
no	noo
armas	armas
jees	jees
siis	siis
lammuma	`lammusid
ära	ära
puha	puhas
aga	aga
siis	siis
õpetama	öppetti
ka	kaa
sedasi	sedasi
käskima	`kästi
terve	`terved
kartul	`karttuld
keetma	`kietta
ning	ning
siis	siis
see	see
vesi	vesi
see	selle
vesi	`viega
pesema	pesta
ning	ning
siis	siis
hülge+rasv	`ülge+rasva
seep	seebigä
üks+kord	ühe+gorra
leidma	`leitti
hüljes	`ülgeid
ning	ning
siis	siis
keetma	keedetti
sedasi	sedasi
seep	`seeppi
jälle	`jälle
arst	arsti
rohi	rohuks
ning	ning
see	sellega
pesema	`pesti
kaduma	kadusid
siis	siis
ära	ära
mina	maa
ep	p
teadma	tää
muu	muud
enam	änam
miski	medagid
nooh	nooh
jõulud	jöulud
tulema	tulid
sedasi	sedasi
et	et
tegema	`tehti
siis	siis
olema	oli
saia+leib	saija+`leiba
ning	ning
liha	liha
ning	ning
mis	miss
see	sel
kokku	`kokku
või	vöid
ning	ning
mis	miss
ikka	`ikka
sedasi	sedasi
olema	oli
parem	paramad
ning	ning
hoidma	`oitti
moos	moosid
ning	ning
ikka	`ikka
jõulud	jöuluks
noh	noh
kui	kui
jõulud	jöulud
tulema	tulit
jõulu+laupäev	jöulu+`lauppa
õhtu	`öhta
minema	`mindi
saun	saunast
ära	ära
esiteks	esittiks
kohe	kohe
palve+maja	`palve+maease
muidu	muidu
es	ss
tohtima	tohi
olema	`olla
end	nd
palve+maja	`palve+maease
minema	läksime
palve+maja	`palve+maease
saama	saand
palve+maja	`palve+maeast
ära	ära
tulema	tulnd
siis	siis
sööma	`söime
ning	ning
siis	siis
hakkama	akketti
need	neid
kunts	`kuntsisid
tegema	tegema
mina	maa
teadma	tää
meie	meittel
olema	oli
võõras+ema	vööras+ema
see	see
see	see
hullama	ullas
esiteks	esittiks
siis	siiss
vinnima	`vinnis
lagi	lage
õlg	`ölgi
kui	kui
õlg	öled
lagi	lage
jääma	jäid
et	et
siis	siis
olema	onn
rikas	rikkas
vili	vilja
kasu	kasu
kena	kena
vilja+kasu	vilja+kasu
ning	ning
siis	siis
võtma	`vöttas
ära	ära
ning	ning
siis	siis
hakkama	`akkas
sedasi	seasi
oma+moodi	oma+moodi
taa	ta
jalg	jalg
vedama	vedama
kaigas	kaigast
vedama	vedama
ning	ning
kes	kess
teine	teise
üles	üles
tõusma	töuseb
see	sellel
olema	onn
jälle	`jälle
tõmbama	tömmab
siis	siis
tooma	`toodi
luud	luuwa
seest	sehest
üks	üks
olema	onn
vars	var'ss
sihuke	sehand
pitk	pitk
puu	puu
ning	ning
kumb	kumma
teine	teise
üles	üles
tõmbama	tömmab
see	sellel
olema	onn
jõud	`jöudu
ikka	`ikka
aasta	`aasta
läbi	läbi
aga	ääga
kes	kess
kui	kui
sina	sa
ep	p
tõmbama	tömma
end	nd
see	see
see	sellel
olema	pole
nõnda	nönda
jõud	`jöudu
end	nd
terve	`terve
öö	öö
sedasi	sedasi
rassima	`rassis
ning	ning
siis	siis
panema	`pandi
vahel	vahel
hakkama	akketti
sedasi	`seasi
panema	`pandi
king	ki~ngad
panema	`pandi
suur	suur
puu	puu
kaks	kahe
tool	`tooli
peale	`pääle
suur	suur
pitk	pitk
puu	puu
ning	ning
siis	siis
jalg	jalad
panema	`pandi
sedasi	sedasi
ristati	ristetti
sedasi	sedasi
ning	ning
siis	siis
istuma	istutti
helde	`elde
ja	jee
noh	noh
kuidas	kuidas
sina	sa
saama	saad
ning	ning
need	need
nii	nii
pikk	pikkad
ka	kaa
et	et
sina	sa
võima	vöisid
vaevalt	vaevalt
need	ne
king	ki~ngad
maha	maha
lööma	`lüija
no	no
kuidas	kuidas
sina	sa
siuke	`söuksi
pisine	pisissi
kunts	`kuntsisid
olema	oli
nii	nii
palju	palju
ning	ning
siis	siis
tegema	`tehti
üks	üks
tooma	`toodi
pahn	`pahnadest
tegema	`tehti
üks	üks
sihuke	sehane
kolm	kolme
saklik	`saklik
suur	sur
mees	miees
tuba	tuba
ning	ning
ka	kaa
siis	siss
seal	sääl
see	see
panema	`pandi
ning	ning
siis	siiss
sedasi	sedasi
ristama	ristatti
jalg	jala
peal	pel
kui	kui
sina	sa
ep	p
tooma	too
king	`kingi
end	nd
ehk	ähk
mina	mool
miski	midagid
end	and
tooma	`toond
silm	silmad
pea	pääst
käskima	`kästi
ära	ära
soskima	`soskida
sihuke	sehassi
kunts	`kuntsisid
olema	oli
mina	mool
ep	ep
tulema	tule
need	neid
meel	`meele
need	neid
olema	oli
nii	nii
palju	palju
mina	moo
võõras+ema	`vööra+emal
aga	äga
ep	p
tulema	tule
kõik	`keikki
meel	`meele
end	nd
mis	mis
need	ne
puha	puhas
tegema	tegi
ning	ning
olema	oli
et	ät
mina	maa
ep	p
teadma	tää
need	neid
see	sest
ka	kaah
enam	änam
miski	midad
rääkima	`rääkkida
õlu	ölut
tegema	`tehti
kaks	kaks
kolm	kolm
vakk	`vakka
ära	ära
ning	ning
ka	kaa
tegema	`tehti
minema	`mindi
ennemini	ennemini
mitte	`mette
es	s
minema	`minda
jooma	`jooma
saama	saand
saun	`saunast
ära	ära
tulema	tulnd
üle+pea+kaela	üle+bä+gaela
riie	`riide
ning	ning
palve+maja	`palve+maease
kes	kess
kõige	käige
varasemini	varasemini
ikka	`ikka
saun	saunast
saama	sai
ära	ää
see	see
olema	oli
see	see
olema	oli
kõige	käige
varane	varasem
töö	`tööle
ka	kaa
ikka	`ikka
minema	minemas
ue	ue
siis	siis
ajama	`aetti
öösel	`öösse
saun	sauna
ahi	`ahju
tuli	tuli
ning	ning
kütma	`köötti
saun	saun
ära	ära
ning	ning
valge	`valge
hämarik	ämarikkus
saun	`sauna
ning	ning
riie	`riide
ning	ning
siis	siis
hakkama	akketti
peale	`pääle
palve+maja	`palve+maea
vastu	`vastu
seerama	`seerama
ning	ning
muist	muist
tegema	tegid
siis	siiss
leib	`leiba
ahi	`ahjus
ning	ning
küpsetama	küpsedetti
pann	`pannide
peal	pää
ning	ning
liha	lihasid
ning	ning
sedasi	`seasi
ning	ning
üks	üks
olema	oli
siis	siis
saun	sauna
kütmine	`küttamise
jaoks	jäuks
minema	`mendi
ära	ära
ning	ning
siis	siis
tulema	`tuldi
saun	sauna
või	vöi
kui	kui
palve+maja	`palve+maeast
ära	ära
tulema	`tuldi
siis	siis
olema	oli
see	see
kunst	kun'ts
ka	kaa
et	et
mees	miees
tooma	töi
miski	medagid
meie	meitte
võõras+ema	vööras+ema
es	ss
teadma	tää
aga	aga
meie	mee
nägema	nägime
teine	`teisses
pere	peres
kõik	keik
ader	adrad
äke	äged
ratas	`rattad
kõik	keik
kõik	keik
töö+riist	töö+riistad
tõstma	töstetti
üles	üles
aga	äga
meie	mee
es	ss
teadma	tää
need	neist
kunts	`kuntsidest
miski	midad
aga	aga
meie	mee
nägema	nägime
et	ät
kõik	keik
kõik	`keikkes
pool	pool
olema	oli
või	vöi
nemad	nendel
kõik	keik
tõstma	töstetti
ära	ää
aga	äga
mis	mis
jaoks	jäuks
mina	mina
see	seda
ka	kaa
ei	ei
teadma	tää
mis	mis
jaoks	jäuks
need	neid
tõstma	töstetti
kõik	keik
kõik	keik
katsuma	katsutti
üle	üle
ning	ning
panema	`pandi
jälle	`jälle
koht	koha
peale	päle
aga	aga
kõik	keik
töö+riist	töö+riistad
tõstma	töstetti
üles	üles
õu	öuwes
ning	ning
ning	ning
panema	`pandi
oma	oma
koht	koha
peale	päle
aga	äga
meie	mee
see	sest
es	es
teadma	tää
miski	midad
meie	mee
olema	olime
nii	nii
laps	lapsed
ning	ning
meie	meitte
võõras+ema	vööras+ema
es	ss
tegema	tee
see	seda
kunst	`kuntsi
ka	kaa
end	nd
mis	miss
mis	miss
see	see
tähendama	tähendab
ning	ning
siis	siis
kui	kui
sina	sa
palve+maja	`palve+maeast
ära	ää
tulema	tuled
siis	siis
tulema	tuled
igavene	igavese
jooks	joosuga
kes	kess
kõige	käige
enne	ennem
koju	koeu
saama	saab
see	see
olema	onn
kõige	keige
hakkaja	`akkajam
noh	noh
iga+üks	iga+üks
olema	oli
noor	noor
sina	saa
tahtma	tahad
ju	ju
ka	kaa
hakkaja	`akkaea
nimi	nime
kuulma	kuulda
sina	saa
ep	p
tahtma	taha
ju	ju
ka	kaa
