pahem+pidi	pahem+bidi
kui	kui
küünal	`küinla
küünal	küinalde
sees	sees
olema	onn
ja	ja
need	nee
panema	`pandi
siis	siss
seal	säl
traat	traadi
peale	`päale
seda+viisi	seda+viisi
ilusti	ilusti
need	need
süda	südamed
ja	ja
ja	ja
siis	siis
see	se
rasv	rasv
panema	`pandi
sinna	`sönna
putk	putku
sisse	`sisse
ja	ja
siis	siis
kastma	kastedi
jälle	`jälle
need	nee
süda	südamed
lõng	lö?nnad
olema	olid
seal	säal
sees	sees
ja	ja
siis	siis
rasv	rasv
jääma	jäi
sinna	`sönna
sinna	`sönna
ümber	`ümbere
ja	ja
need	nee
kastma	kastedi
siis	sis
mitu	`mitmeli
kord	korrali
üle	üle
tegema	`tehti
vahest	vahest
see	see
rasv	rasv
soe	sooeaks
ja	ja
tegema	`tehti
uuesti	uuwesti
tegema	`tehti
uuesti	uuwesti
jälle	`jälle
need	need
tegema	`tehti
siis	siis
härg	härja
ehk	ehk
lehm	lehma
lehm	lehma
rasv	rasvast
need	nee
olema	old
loom	`loomde
rasv	rasvast
olema	olid
kui	kui
nemad	neid
tapma	tappedi
kui	kui
see	seda
häda+vajalik	häda+vaealikku
tarvis	`tarvis
olema	oli
küünal	`küindlad
siis	siss
olema	olid
ju	ju
võtma	`vötta
siis	sis
pime	pimes
käima	käin
olema	pole
seal	sääl
enam	änam
muud	muud
valgus	`valgust
mis+ki	midad
siis	sis
olema	pole
olema	pole
kuulma	`kuulda
olema	oln
näh	näh
enne+vanasti	`enne+vanasti
olema	pole
kell	`kella
ka	kaa
olema	oln
käima	`käidi
õu	öuwes
vaatama	`vaattamas
kui	kui
vanasti	vanasti
hüüdma	`hüitti
ikka	`ikke
kui	kui
juba	juba
hakkama	`akkas
valgus	`valgut
tegema	tegeme
koi	koi
koi+valge	koi+`valge
väljas	`väljas
juba	juba
kutsuma	kutsudi
koi+valge	koi+`valge
see	see
et	et
poiss	poisid
tulema	tulge
maast	maast
üles	üless
koi+valge	koi+`valge
väljas	`väljas
juba	juba
kust	kust
kaua	kauwa
teie	te
ikka	`ikka
magama	magatte
tema	tah
tema	ta
tulema	tuleb
hiljem	`hiljem
näh	nähh
vanasti	vanast
olema	oll
pidama	`peettud
mina	mina
olema	pole
see	see
aeg	aeg
küll	küll
nägema	näin
aga	aga
kui	kui
rehe+tuba	rehe+dubades
tema	ta
olema	oll
elama	elat
ja	ja
siis	siis
kukk	kukked
ja	ja
kana	kanad
nemad	nee
olema	olid
siis	siis
ka	ka
seal	sääl
pink	pingi
all	all
siis	siis
magama	magattut
siis	sis
kukk	kukk
hakkama	akkan
laulma	`laulma
ja	ja
olema	oli
nemad	neil
teadma	`täada
mis	miss
aeg	aeg
siis	siis
olema	`olli
kui	kui
see	see
kukk	kukk
esimene	esimest
kord	kord
laulma	`laulis
ja	ja
kui	kui
kukk	kukk
teine	teist
kord	kord
laulma	`laulis
see	see
olema	`olli
kõik	`keikkidel
siis	siis
teadma	`teada
olema	oll
juba	juba
millal	millas
üles	üless
pidama	pidi
tulema	tulema
jah	jahh
mina	mina
see	seda
ei	äi
teadma	täa
mitu	`mitme
laul	laulu
aeg	aeal
nemad	nad
üles	üless
tulema	tulid
neh	nehh
mis	mäss
ju	ju
siis	siis
iga+üks	ega+üks
see	selle
valgus	`valgul
nägema	nägi
kuidas	kudas
tema	ta
kuidas	kudas
tema	ta
välja	`välja
töö	`tööle
tahtma	`tahtis
minema	`menna
taevas	`taeva
täht	`tähti
jah	jahh
see	seda
vaatama	vaadedi
küll	küll
noh	nohh
ei	äi
olema	oln
siin	sii
ei	äi
olema	ole
kaks	kahel
pool	pool
pidama	`piettud
see	see
peig+mees	peig+mehe
kodu	kodu
pidama	`peetti
üksi	üksi
pulm	`pulmi
ainult	ainult
kui	kui
siis	siss
laulatama	laulattama
kirik	kirikku
minema	läksid
siis	siiss
käima	käisid
pruut	pruudi
pruut	pruudi
kodu	kodust
läbi	läbi
ja	ja
seal	sääl
siis	siis
tegema	`tehti
sööma+kord	sööma+kord
ka	kaa
üks	üks
sööma+kord	sööma+kord
ja	ja
minema	lähed
sealt	säält
kirik	kirikkuse
ja	ja
kirik	kirikkust
ära	ära
tulema	tulid
jälle	`jälle
siis	sis
tulema	tulid
peig+mees	peig+mehe
kodu	kodu
jah	jahh
noh	nohh
seal	sääl
olema	olid
siis	siss
oma	omad
kes	kis
kõige	keige
ees	ees
sõitma	`söittis
see	see
hüüdma	`üitti
siis	sis
saja+taat	saja+taat
saaja	saaja
saja+vanem	saja+vanemad
mees	mees
ja	ja
naine	naine
olema	olid
siis	siis
sõitma	`söittis
pruut	pruut
ja	ja
peig+mees	peig+mees
olema	olid
nüüd	nüid
nemad	nende
järgi	`järgi
ja	ja
siis	siis
olema	oll
jälle	`jälle
üks	üks
poiss	poiss
poiss	poiss
ja	ja
tüdruk	tüdruk
kutsuma	kutsudi
peig	peiju
peiu+poiss	peiju+poiss
ja	ja
pruut+tüdruk	pruut+tüdruk
ja	ja
ja	ja
mõni	mönes
koht	kohas
olema	oli
siis	siis
kohe	kohe
kolm	kolm
tükk	`tükki
nemad	neid
kolm	kolm
paar	`paari
nemad	neid
veel	veel
kui	kui
käima	`käidi
vene	vene
usk	usu
kirik	kirikkus
laulatus	laulattusel
aga	a
kui	kui
luter	lutteri
usk	usu
kirik	kirikkus
käima	`käidi
siis	siis
olema	oll
üks	üks
üks	üks
paar	paar
pruut+tüdruk	pruut+tüdruk
ja	ja
peiu+poiss	peiju+poiss
neh	neh
siis	siss
kutsuma	kutsudi
koju	kojo
olema	oli
ikka	ika
söök	söögi
laud	laud
valmis	`valmis
söök	söögi
laud	`lauda
ja	ja
saama	saand
siis	siss
sööma	`söödud
siis	siss
siis	siss
algama	`algas
juba	juba
tants	tants
ja	ja
tantsima	tantsidi
ja	ja
ja	jaa
õhtu	`öhtu
hilja	`hilja
kui	kui
jälle	`jälle
supp	suppi
sööma	sööma
aeg	`aega
olema	oll
supp	supp
laud	lauwale
tooma	`toodi
siis	siss
kui	kui
see	see
olema	`olli
sööma	`söödud
ja	ja
siis	siss
pühkima	pühidi
sedasi	sedasi
laud	`laudasid
seal	säal
nii+sugune	nii+sugun
mees	mees
kes	kess
laud	`laudu
pühkima	`pühkis
sinna	`sänne
panema	`pandi
siis	siis
raha	raha
ja	ja
ja	ja
kes	kiss
kes	kiss
hõbe+raha	höbe+raha
andma	`andas
see	see
saama	sai
siis	siss
viin	`viine
ka	ka
rüüpama	rüibatta
sealt	säält
laud	lauwa
juurest	juurest
andma	`antti
ja	ja
kes	kess
jälle	`jälle
nagu	nagu
vanasti	vanast
olema	oll
vask	vase
vask	vase
vask	vase
raha	raha
kopikas	koppigut
andma	`andis
see	see
see	see
saama	sai
siis	siis
õlu	ölut
üksi	üksi
ja	ja
siis	sis
et	t
laud	lauwa
pühkija	`pühkija
pühkima	`pühkis
sedasi	`seasi
väike	vähikke
väike	`väikke
uuri	uuri
tutt	tutt
tjah	tjah
kask	kase
kask	kase
virb	`virvadest
luud	luud
olema	oli
käsi	käe
ja	ja
pühkima	`pühkis
sedasi	`seasi
sinna	`senna
ühe	ühe
nõu	nöu
sisse	`sisse
jälle	`jälle
need	neid
kopikas	koppigit
mis	miss
sinna	`sinna
laud	lauwa
peale	`päale
panema	`pandi
ja	ja
need	neid
kui	kui
teadma	tead
siis	siis
panema	pani
panema	pand
aga	aga
nii	nii
tugevasti	tugevast
alati	alatti
laks	laks
ja	ja
laks	laks
siis	sis
lööma	`löödi
need	neid
kopikas	koppigid
sinna	`sinna
laud	`lauda
ja	ja
kui	kui
siis	siss
see	see
olema	old
ära	ära
tegema	`tehtut
ja	ja
supp	supp
supp	supp
ära	ära
sööma	`söödut
ja	ja
siis	siis
laud	lauwa
pühkimine	`pühkimine
ära	ära
tegema	`tehdut
ja	ja
siis	siiss
kutsuma	kutsudi
jälle	`jälle
suur	suur
pulm	pulma
pulm	pulma
saadik	saadik
see	see
siis	siis
tantsitama	tantsittas
siis	siis
üks	üks
üks+haaval	üks+`aavast
need	nee
kõik	keik
sealt	säält
laud	lauwa
tagant	tagant
siis	siss
jälle	`jälle
välja	`välja
need	need
pruut	pruut
pruut+paar	pruut+paarid
ja	ja
saaja+naine	saaja+naiset
ja	ja
kõik	keik
kõik	keik
käima	käist
tantsima	`tantsimas
siis	siss
tantsitama	tantsittas
nemad	neid
ah	ah
seal	sääl
üks	üks
vana	vana
vana	vana
eit	eided
olema	olid
siis	siis
ka	ka
see	seks
jaoks	jäoks
kes	kes
nemad	nad
keetma	`keetsid
ja	ja
laud	lauwale
kandma	`kantsit
ja	ja
üks	üks
klimp	klimp
olema	oli
sees	sees
siis	sis
tegema	`tehti
tegema	`tehti
veel	vel
nali	`nalja
nali	`nalja
ka	kaa
panema	`pandi
kas	kas
klimp	klimbi
tainas	`taina
sees	sees
üks	üks
koor	koorega
muna	muna
ja	ja
see	see
panema	`pandi
ka	kaa
supp	suppi
katel	`katla
ja	ja
kes	kelle
kauss	`kaussi
trehvama	`trähvas
üks	üks
püüdma	`püidis
ja	ja
teine	teine
püüdma	`püidis
kes	kes
tema	ta
kätte	`kätte
saama	sai
seal	sääl
nemad	nad
siis	siis
nali	`nalja
tegema	tegid
mina	mina
ei	äi
teadma	täa
näh	nähh
eks	äks
sedasi	sädasi
kus	kuss
iga	äga
iga+üks	äga+ühel
käsi	kää
olema	oln
ikka	`ikka
liha	liha
ja	ja
kartul	karttult
ja	ja
vanasti	vanast
olema	old
sepik	seppigut
siis	siss
olema	pole
sai	`saija
olema	oln
sepik	seppigut
ja	ja
kohv	kohvi
ja	ja
aga	äga
kesk+nädal	kes+nädala
hommikul	humigu
siis	siis
siis	siss
olema	old
juba	juba
sedasi	sedasi
et	et
siis	siss
siis	siss
tooma	`toodi
juba	juba
koor	koore
kartul	`karttult
laud	lauwale
siis	siis
olema	pole
enam	änam
koorima	koorittut
asi	`asja
olema	oln
miski	midad
siis	siss
olema	oli
juba	juba
need	nee
kõik	keik
asi	asjad
nii	nii
otsas	`otsas
et	et
peig+mees	peig+mees
tooma	`toodi
tooma	tei
ennem	ännem
ikka	`ikka
siis	siis
kirst	kerstu
mees	mees
olema	oli
ka	kaa
see	see
tooma	`toodi
siis	siis
reede	`reede
õhtul	`öhta
ennem	ännem
juba	juba
ära	ära
jah	jaah
pidama	pidi
pidama	pidi
iga	ega
iga+üks	ega+ühele
miski+gi	midagid
andma	`andma
jah	jahh
kui	kui
tema	taa
kus	kus
tema	ta
kus	kuss
tema	tämal
nii	nii
palju	palju
inimene	inimesi
kui	kui
tema	tal
maja	maeas
olema	oli
ahh	ahh
mõni	mönel
kuidas	kuidas
kuidas	kuidas
iga+üks	ega+üks
tegema	tegi
mina	mena
mina	mena
tulema	tullin
mina	mena
ämm	ämmale
see	sellele
ostma	`ostin
kleit	kleidi
kleit	kleidi
ja	ja
pluus	pluuse
riie	`riide
sits	sitsa
pluus	pluuse
ja	ja
siis	sis
rätik	rättigu
ostma	`ostin
põll	pölle
ostma	`ostin
sukk	sukkat
ja	ja
kinnas	`kindat
ja	ja
kõik	keik
andma	`antsin
kes	kes
mina	mu
kes	kes
mina	mu
mees	mehe
ema	ema
olema	oli
ja	ja
siin	sii
olema	oll
siis	siis
kolm	kolm
neli	neli
tüdruk	tüdrugut
olema	oli
ja	ja
ja	ja
kolm	kolm
teine	teist
mees	meest
olema	oll
ka	kaa
veel	veel
nemad	`näile
kinkima	`kinkkin
siis	siss
nagu	nagu
valge	`valget
särk	särgid
andma	`antsin
nemad	nende
mees	`meestele
ja	ja
tüdruk	tüdruttele
andma	`antsin
pluus	pluuse
riie	`riided
see	see
olema	oli
mina	minu
andmine	`andmine
ei	äi
olema	oln
need	nee
olema	old
ostma	ostettud
särk	särgid
see	see
jälle	`jälle
ise	ise
saama	sai
valmis	`valmis
õmblema	ömmeldut
laskma	`lassin
tegema	teha
aga	a
see	se
riie	riije
saama	sai
ostma	ostettut
valge	`valge
valge	`valge
riie	`riidest
ei	äi
ei	äi
mina	mina
olema	pole
see	seda
mitte	`mette
kuulma	`kuulan
siis	sis
vaatama	vaadetti
kui	kui
nobe	nobe
tema	ta
olema	onn
kas	kas
aitama	`aittab
võtma	`vötta
või	vöi
ei	äi
mina	mina
olema	pole
see	seda
aeg	`aega
mitte	`mitte
kuulma	kuuln
neh	nehh
sügis	sügisel
saama	sai
juba	juba
ketrama	kedrama
hakkama	hakkatta
ja	ja
õhtu	`öhta
õhtu	`öhtalt
üleval	üleval
istuma	istut
ketrama	kedra
ketrama	kedra
nii	nii
et	et
et	et
oma	omad
lina	linad
ja	ja
takk	takkud
ja	ja
vill	villad
ja	ja
kell	kella
kaks+teist	kahe+`teismeni
istuma	istud
ikka	`ikka
õhtul	`öhta
üleval	üleval
ja	ja
ketrama	kedrad
neh	nehh
kangas	`kangad
saama	sai
hakkama	hakkatta
siis	siis
ikka	`ikka
küünla+päev	`küindla+päevast
ja	ja
seda+moodi	seda+moodi
ikka	`ikka
kuduma	kuduma
ja	ja
aga	äga
võrk	vörgud
saama	said
kui	kui
olema	olid
võrk	vörgud
kes	killel
võrk	vörgud
olema	old
saama	said
ikka	`ikke
enne	ennem
ära	ära
sedasi	seasi
parandama	parandet
kolme+kuninga+päev	kolme+kuninga
aegu	`aega
või	vöi
seda+moodi	seda+modi
saama	sai
iga	egat
võrk	`vörkku
parandama	parandet
kolme+kuninga+päev	kolme+guninga
järel	`järges
või	vöi
sedasi	seasi
kui	kui
need	nee
terve	`terved
olema	olid
siis	siis
algama	`algas
kangas	`kanga
kudumine	kudumine
need	nee
olema	old
tuba	tuas
tuba	tuas
olema	olid
jah	jahh
neh	nehh
need	nendega
saama	sai
iga+üks	ega+üks
ise	ise
valmis	`valmis
kes	kes
nii	nii
vana	vana
olema	oli
kes	kes
kangas	ka~nnast
kuduma	kudus
see	see
saama	sai
juba	juba
teljed	teljed
ka	kaa
kokku	`kokku
ja	ja
neh	nehh
rohkem	`rohkem
inimene	inimesi
olema	oli
ikka	`ikka
maja	maeas
ka	kaa
teine	teine
teine	teine
aitama	`aittas
siis	siss
ikka	`ikke
ka	kaa
ja	ja
käär+puud	käär+pude
peal	päal
ee	ee
suur	sur
pikk	pikk
käär+puud	käär+pu
käima	käib
siit	siit
lagi	lae
alt	alt
käima	käib
põrand	pärandani
ja	ja
ja	ja
ajama	aeab
siis	siis
sedasi	sedasi
ringi	`ringi
neli	neli
neli	neli
puu	puud
neh	nehh
või	vöi
seda+moodi	seda+moodi
meie	meil
see	see
konks	konks
praegu	`praegu
vist	vist
siin	siin
neh	nehh
siin	sii
paar	paari
käär+puud	käär+puu
ots	ots
kinni	`kinni
olema	oli
seda+moodi	seda+modi
ajama	aead
siis	siiss
ringi	`ringi
ja	ja
saama	said
nüüd	nüid
tulema	`tulla
alla	`alla
siit	siit
panema	`pandud
jälle	`jälle
sedasi	`seasi
risti	`risti
sedasi	seasi
siia	`siija
ja	ja
siis	siss
minema	lähevad
jälle	`jälle
üles	üles
nõnda	nönda
teisi+pidi	teise+pidi
jälle	`jälle
ja	ja
seal	sääl
üles	üles
olema	on
nii+sama	nii+samma
puu	puu
ka	kaa
pulk	pulgad
sees	sees
kus	kuss
jälle	`jälle
risti	`risti
saama	sai
panema	`pandut
ei	äi
minema	lähe
iga	ega
lõng	löng
olema	oli
ise	ise
ise	ise
ise	ise
kast	kasti
sees	sees
seal	sääl
jooksma	`jooksmas
iga	ega
kera	kera
olema	pole
segamini	segamisti
minema	läind
mitte	`mette
mis+ki	midad
need	nee
olema	old
kõik	keik
kõik	keik
ilusti	iluste
jaa+jah	jaa+jahh
see	seda
mina	ma
kuulma	`kuultsin
küll	küll
aga	aga
see	seda
see	seda
töö	tööd
mina	ma
ise	ise
olema	pole
mitte	`mette
tegema	tein
ja	ja
see	seda
mina	ma
olema	pole
nägema	näin
ka	kaa
kui	kui
sein	seina
peal	päal
looma	`loodi
mina	münu
ema	ema
rääkima	`rääkkis
see	seda
see	seda
ikka	`ikka
et	et
nemad	nendel
olema	oln
hukas	`hukkas
ka	kaa
olema	oln
jälle	jälle
nemad	nemad
olema	olid
sein	seina
peal	pääl
olema	olid
looma	loon
kangas	ka~nnast
aga	äga
mina	mina
olema	pole
see	seda
töö	tööd
ise	ise
mitte	`mitte
tegema	tein
ja	ja
mina	ma
olema	pole
nägema	näin
ka	kaa
see	seda
kangas	ka~nnast
mis	mis
sein	`seintte
peal	peal
looma	`loodud
neli	nelja
lõng	lö?nnaga
looma	`loodi
need	nee
olema	old
liht+kangas	liht+`kangad
ikka	`ikke
see	see
puu	puu
mis	mis
sedasi	`seasi
siis	sii
all	all
risti	`risti
käima	käis
see	see
võtma	`vöötti
võtma	`vööttad
lahti	`lahti
ja	ja
enne	`enne
siduma	`siutti
see	see
rist	rist
ilusti	ilusti
jäme	jäme
lõng	lö?nnaga
kinni	`kinni
ja	ja
et	et
tema	ta
kinni	`kinni
jääma	jäänd
et	et
tema	ta
olema	pole
kokku	`kokku
minema	läind
ja	ja
segamini	segamisti
minema	läind
ja	ja
siis	siss
see	see
ära	ära
ja	ja
siis	siss
lappima	lappi
tema	teda
nii+moodi	nii+`moodi
seal	sääl
lõnk	klönnid
ära	ära
oma	oma
käsi	kätte
peal	peal
see	seda
kangas	ka~nnast
olema	pole
seal	sääl
segamini	segamisti
olema	old
minemine	minemist
mitte	`mette
miski+gi	midagid
ähää	ähää
teine	teine
olema	oli
ka	ka
kes	kes
käär+puud	käär+pu
kinni	`kinni
pidama	pidas
et	et
tema	ta
olema	pole
maha	maha
laskma	lasn
sealt	säält
et	et
tema	ta
olema	oleks
palju	palju
edasi	edasi
tulema	tuln
olema	pole
seal	seal
rohkem	`rohkem
tarvis	`tarvis
olema	oln
see	see
saama	sai
siis	siss
kes	kes
tema	ta
nüüd	nüid
oskama	`oskab
sina	sol
rääkima	`rääkkida
nii	nii
kenasti	kenast
saama	sai
nii+moodi	nii+`moodi
ikka	`ikke
keerama	käärittud
kõik	keik
saama	sai
ümber	`ümber
ümber	`ümber
võll	völli
jälle	`jälle
sinna	`sinna
tagasi	tagasi
keerama	`keerttud
suur	sur
jäme	jäme
võll	völlas
olema	oll
saama	sai
ringi	`ringi
ajama	aet
ja	ja
siis	siss
saama	said
piirg	piirud
saama	said
iga	ega
kord	korra
ajal	aeal
saama	sai
üks	üks
piirg	piirg
ka	kaa
panema	`pandud
et	et
jälle	`jälle
et	et
üks+teise	üks+teise
vahele	vahele
ei	äi
jooksma	jookse
need	need
lõng	lö?nnad
ja	ja
et	et
ikka	`ikke
kangas	ka~nnas
ilusti	iluste
jälle	`jälle
maha	maha
tulema	tuleb
kui	kui
sina	sa
kuduma	kujud
siis	siiss
olema	old
niin	niijed
siis	siiss
esiteks	esitti
saama	sai
niin	`niide
panema	`pandut
ning	ning
viimaks	`viimuks
saama	sai
suga	suga
suga	suga
peale	`peale
panema	`pandut
suga	`soase
panema	`pandut
ja	ja
et	et
minema	läks
ikka	`ikka
viimati	viimatti
selleks	seks
et	et
saama	sai
kuduma	kuduma
hakkama	hakkatta
see	see
olema	pole
olema	oln
mis+ki	midad
see	see
käima	käis
nii	nii
klöbinal	klöbinal
klobinal	klobinal
et	et
kümme	kümme
küünar	küinart
saama	sai
ikka	`ikka
päev	`päevas
ära	ära
kuduma	kujut
ja	ja
ohh	ohh
pool	pool
päev	`päeva
ikka	`ikka
minema	läks
ära	ära
kui	kui
sina	sa
tema	ta
käima	`käima
saama	said
ah	ah
olema	pole
see	see
kerkima	`kerkkis
küll	küll
olema	pole
see	see
mina	mina
ei	äi
teadma	tea
kuidas	kuidas
tema	ta
iga+üks	ega+ühel
olema	oli
aga	a
olema	pole
mina	ma
see	seda
nägema	näin
et	et
olema	pole
kerkima	`kerkkin
näh	nähh
sedasi	sedasi
saama	sai
siduma	`siuttud
aga	aga
kuidas	kuidas
tarvis	`tarvis
siduma	siduda
olema	oli
seal	sää
peal	pääl
kus	kuss
niin	niijette
pael	paelad
läbi	läbi
käima	käist
seal	sääl
käima	käist
ka	ka
kutsuma	kutsudi
niin	niijette
ketas	`kättad
seal	sääl
olema	olid
suur	sured
kurn	kurnid
olema	olid
sees	sees
need	nende
peal	pääl
tema	ta
kerkima	`kerkkis
ja	ja
jooksma	`jooksis
siis	sis
ja	ja
all	all
olema	old
jälle	`jälle
kutsuma	kutsudi
jälle	`jälle
teine	teine
teine	teine
laud	laud
kus	kuss
jälle	`jälle
pael	paelad
läbi	läbi
käima	käisid
kutsuma	kutsudi
sõtke	`sötke
sõtke+laud	`sökke+lauwad
või	vöi
talla+laud	talla+lauwad
kutsuma	kutsu
ütlema	ütle
need	need
kumb	kummaks
sina	sa
tahtma	tahad
kui	kui
olema	oli
toimne	`toimne
kangas	ka~nnas
siis	siis
olema	oll
neli	neli
üks	üks
üks	üks
pael	pael
käima	käis
iga	ega
sõtke+laud	`sötke+lauwa
külge	`külge
siis	siis
jälle	`jälle
olema	oli
neli	nelja
neli	nelja
sõtke+laud	`sötke+lauwa
küljes	`külges
aga	äga
kui	kui
olema	`olle
nagu	nagu
labane	labane
kangas	ka~nnas
siis	siis
olema	`olle
kaks	kahe
sõtke+laud	`sötke+lauwa
küljes	`külges
kaks	kaks
pael	`paela
teine	teine
teine	teine
pael	pael
neh	nehh
teine	teise
laud	lauwa
küljes	`külges
niin	niijed
saama	said
niin	niijed
saama	said
ise	ise
saama	said
tegema	`tehtut
neh	nehh
raam	raami
peal	pääl
saama	said
kuduma	kujut
peen	`peene
peen	`peene
linane	linase
linane	linuse
lõng	lö?nnast
täitsa	täitsa
peen	peen
ilus	ilus
lõng	löng
olema	oli
saama	sai
siis	siss
seal	säal
hui	hui
hui	hui
peal	pääl
saama	sai
lõng	lö?nna
lõng	löng
ajama	aet
ja	ja
siis	siiss
saama	sai
nii+moodi	nii+`moodi
kuduma	kujuttud
ja	ja
tegema	`tehtud
kah	kahh
ei	äi
need	neid
olema	pole
katki	`katki
lõikama	`leigat
need	nei
kui	kui
saama	said
tegema	`tehtut
saama	sai
ikka	`ikka
nii+moodi	nii+`moodi
valmis	`valmis
tegema	`tehtut
et	et
et	ed
nemad	nad
ikka	`ikka
terve	`terveks
pidama	pidid
jääma	`jääma
ei	äi
need	nee
olema	pole
koos	koos
olema	old
ühti	üht
need	nee
jälle	`jälle
saama	said
kohe	kohe
nii+moodi	nii+`moodi
see	selle
lõng	lö?nna
peal	pääl
saama	said
tegema	`tehtut
et	et
nemad	nad
kõik	keik
järge+mööda	`järge+`mööda
niin	niijed
olema	olid
olema	olette
niin	niisi
nägema	näin
need	ne
neh	nehh
need	neid
olema	on
küll	küll
need	nee
olema	onn
suur	suurt
lahtine	`lahtised
niin	niijed
oh	oh
need	nei
olema	oli
olema	oli
jah	jah
mõni	mönel
ikka	`ikka
ka	kaa
siis	sis
need	ne
olema	ol
nii+sugune	nii+sugused
jäme	jäme
jäme	jäme
lõng	lö?nna
peal	peal
saama	said
tegema	`tehtut
kohe	kohe
ja	ja
jah	jahh
olema	olid
kinni	`kinni
jah	jah
kangas+jalad	ka?nnas+`jalgade
peale	`päale
neh	neh
need	nee
olema	old
sihuke	`siukset
kangas	`kanga
ketas	`kättad
kes	kelle
peale	`päale
nemad	nad
üles	üles
panema	`pandakse
puu	puu
käima	käis
need	nendest
ketas	kättaste
auk	`aukkudest
läbi	läbi
ja	ja
panema	`pandi
sealt	säält
üle	üle
üle	üle
kangas+teljed	ka?nnas+`telgede
ja	ja
teine	teise
ots	`otsa
sealt	säält
teine	teiseld
käima	käis
teine	teise
teine	teine
ketas	kättas
ja	ja
niin	niije
pael	paelad
olema	old
jälle	`jälle
ketas	`kätta
küljes	küljes
kinni	`kinni
näh	näh
need	nee
olema	old
ee	ee
ahh	ahh
kangas	`kanga
lõng	lö?nnad
need	nee
olema	old
kutsuma	kutsudi
niin	niije
silm	silmad
niin	niije
niin	niijette
silm	silmast
käima	käis
läbi	läbi
suga	`suase
panema	`pandi
tegema	tehti
üks	üks
väike	`vähene
oks	oksast
tegema	tehedi
väike	vähene
kook	kook
ja	ja
hüüdma	`üitti
ikka	`ikka
et	et
suga	sua
soa+hobune	sua+hobune
pistma	pistedi
suga	sua
pii	pii
vahelt	vahelt
läbi	läbi
ja	ja
kaks	kaks
lõng	`lönga
panema	`pandi
üks	ühe
pii	pii
vahele	vahele
ikka	`ikke
kui	kui
kui	kui
kui	kui
nii+sugune	nii+sugune
kangas	ka~nnas
olema	oll
neh	neh
vahest	vahest
panema	`pandi
üks	üks
ka	kaa
kuidas	kuidas
sina	sul
kangas	ka~nnas
tulema	tull
tegema	teha
pistma	pistedi
sedasi	seast
et	et
konks	konksu
tagant	tagant
läbi	läbi
ja	ja
vedama	`veetti
suga	soa
pii	pii
vahelt	vaheld
läbi	läbi
pii	pii
neh	neh
see	see
kutsuma	kutsudi
vahel	vahel
üks+pii+tagune	üks+pii+tagune
mis	miss
üks	ühe
lõng	lö?nnaga
tegema	tehedi
ja	ja
mis	mis
ja	ja
mis	mis
kaks	kaks
lõng	lönga
ikka	`ikka
pii	pii
vahel	vahel
olema	old
need	nee
olema	old
ikka	`ikka
parem	paremat
kangas	`kangad
toimne	`toimne
ja	ja
päris	päris
labane	labane
kutsuma	kutsudi
neh	nehh
toimne	toimist
kangas	ka~nnast
tegema	`tehti
vanasti	vanast
nagu	nagu
mees	`meestel
e	e
riie	`riided
üli+kond	üli+konna
riie	`riided
ja	ja
olema	old
püksid	püksi
püksid	püksi
riie	`riided
ja	ja
seda+moodi	seda+modi
ja	ja
kas	kass
kui	kui
va	va
takk	takku
takune	takkune
ehk	ähk
linane	linune
olema	oli
tegema	tehtu
kuidas	kuidas
inimene	inimesel
tarvis	tarvis
minema	läks
kas	kass
va	va
kott	kotti
kott	kotti
jaoks	jäuks
ja	ja
aga	äga
labane	labane
kangas	ka~nnas
pood	poest
ostma	ostedi
lõim	löime
ja	ja
see	see
olema	oli
ilus	ilus
kangas	ka~nnas
tegema	`tehti
voodi+lina	`voodi+linadeks
ja	ja
käte+rätik	kätte+rättigutteks
ja	ja
see	see
olema	oli
ilus	ilus
kangas	ka~nnas
olema	old
pood	poe
pood	poe
lõim	`löimed
puu	poom
vill	villa
lõim	löime
olema	oli
ja	ja
siis	sis
linane	linune
kude	kude
saama	sai
sisse	`sisse
panema	`pandud
jah	jaah
tegema	tehedi
need	neid
tegema	tehedi
kodu	kodu
küll	küll
ka	kaa
need	neile
ostma	ostedi
muist	muist
tegema	tehedi
siis	siss
nii+moodi	nii+`moodi
et	et
ketrama	kedradi
vill	villa
vill	`villadest
lõim	löime
ka	kaa
ja	ja
mis	miss
olema	oll
läbi+villane	läbi+villane
kangas	ka~nnas
ja	ja
ja	ja
mis	mis
muist	muist
tegema	tehedi
sedasi	`seasi
et	et
ka	kaa
jälle	`jälle
kohe	kohe
puu+vill	poom+villa
lõim	`löimega
puu+vill	puu+villa
lõim	`löimega
kuidas	kuidas
siis	siis
tarvis	`tarvis
minema	läks
e	e
olema	`olle
labane	labane
kangas	ka~nnas
tegema	`tehti
naine	naised
tegema	tegid
oma	omale
seelik	seelikku
riie	riijet
ja	ja
olema	`olle
toimne	`toimne
saama	sai
mees	`meestele
tegema	`tehtud
ja	ja
püksid	püksi
püksid	püksi
kangas	ka~nnast
jälle	jä
ega	äga
vanasti	vanast
olema	pole
na	na
ostma	`osta
saama	saan
riie	riijet
jah	jaah
vanasti	vanast
vanutama	vanuttadi
see	seda
küll	küll
see	selle
aeg	aea
mina	mina
mäletama	mälettan
ka	kaa
kui	kui
tema	ta
pesema	`pesti
ja	ja
uhtuma	uhutti
ära	ära
aga	äga
nüüd	nüid
viimane	viimasel
aeg	aeal
olema	old
nii+sugune	nii+sugust
