pahem+pidi	pahem+bidi
tulema	tulema
hakkama	`akkast
ei	ei
seal	seal
maja	maea
sees	sees
olema	pole
olema	olnd
muu	muud
miski	midad
väike	`väikke
söögi+laud	söögi+laud
olema	oli
ja	ja
siis	siss
jälle	`jälle
nari	narid
olema	old
ka	kaa
kes	kelle
sees	sees
magama	magadi
seal	seal
ja	ja
sedasi	sedasi
neli	neli
neli	neli
nari	nari
all	all
kaks	kaks
tükk	`tükki
all	all
kumb	kumb
nüüd	nd
see	see
peal	peal
olema	old
see	selle
järele	järele
nii+moodi	nii+moodi
olema	olid
meie	`meittel
maja	maeas
nemad	nad
teis+pool	teis+pol
olema	oli
need	neid
väike	`väiksemaid
maja	maeasid
mis	mis
seal	seal
olema	olid
nemad	neil
käima	käis
kuus	kuus
seitse	seitse
paat	`paatti
käima	käis
ja+jah	ja+jahh
kodu	kodu
kodu	kodu
kodunt	kodunt
saama	sai
ikka	`ikka
jah	jahh
voodi	`voodi
riie	`riided
kaasa	`kaasa
ka	kaa
võtma	`vöettud
ega	äga
muidu	muidu
muidu	muidu
olema	pole
saama	saand
jälle	jälle
magama	magada
kodunt	kodunt
saama	sai
sinna	`sönna
viima	`viidud
siis	siis
paat	paadiga
kodunt	kodunt
saama	sai
jälle	`jälle
toit	toit
kaasa	`kaasa
ka	kaa
võtma	`vöettud
kartul	`karttult
ja	ja
leib	leivad
ja	ja
liha	lihad
ja	ja
või	vöid
ja	ja
mis	mis
olema	olid
ja	ja
siis	siss
värske	`värsked
silk	silgud
need	nee
saama	sai
siis	siis
sealt	sealt
jälle	`jälle
püüdma	`püittud
hommikul	ommikku
kell	kell
kolm	kolm
mees	mehed
tulema	tulavad
maa	`maale
kokk	kokkal
pidama	pidi
see	seks
aeg	aeaks
olema	olema
juba	juba
kartul	`karduli
ja	ja
silk	silgu
supp	supp
valmis	`valmis
keetma	keeded
näh	nähh
kui	kui
nemad	nad
maa	`maale
tulema	tulavad
siis	siis
saama	said
värske	`värsked
värske	`värsked
silk	`silkku
need	näid
värske	`värskeid
nemad	nad
maa	`maale
tooma	töid
saama	sai
võtma	`vöettud
ja	ja
katki	`katki
lõikama	leigattud
ja	ja
supp	suppi
sisse	`sisse
panema	`pandud
kartul	karduli
supp	`suppi
saama	sai
keetma	keedettud
iga	ega
hommik	oomikku
näh	nähh
misuke	misukkd
need	ne
ju	ju
nii+sama+sugune	nii+sama
ikka	`ikka
kui	kui
supp	supp
et	et
kartul	`karduld
kartul	`karduldega
lükkima	lükkitti
vesi	vesi
ja	ja
siis	siss
silk	silgu
tükk	dükkid
saama	said
ka	kaa
sisse	`sisse
panema	`pandud
kui	kui
nemad	nad
siis	siis
sööma	`sööma
hakkama	`akkast
siis	siss
panema	`pandi
või	vöid
ka	kaa
hulka	`hulkka
ja	ja
üsna	üsna
hea	ea
supp	supp
olema	on
jah	jahh
olema	onn
ja	ja
kui	kui
mees	mihed
siis	sis
e	e
väljas	`väljas
käima	käist
siis	siis
saama	sai
nii+moodi	nii+`moodi
keetma	keedet
aga	aga
kui	kui
nemad	nad
jälle	`jälle
olema	on
tuuline	tuulene
ja	ja
olema	pole
saama	saand
välja	`välja
meri	merel
käima	`käija
siis	siss
olema	olid
jälle	`jälle
liha+supp	liha+`suppi
saama	sai
keetma	keedet
liha	liha
iga	ega
võrgu+mees	vörgu+mehel
panema	`pande
kodunt	kodunt
suur	suur
siga	sea
sink	sink
kaasa	`kaasa
suits	suitsu
suitsutama	suitsettud
siga	sea
siga	sea
sink	sink
noh	nohh
pütt	pütti
täis	täis
või	vöid
kolm	kolm
neli	neli
kilo	kilu
või	vöid
olema	oli
ikka	`ikka
ka	ka
iga	ega
mees	mehel
ja	ja
ja	ja
vot	vot
siis	sis
nemad	nendel
ka	kaa
paar	paari
kolm	kolme
kuu	`kuuga
ahh	ahh
sealt	säält
saama	sai
kala	kala
vahest	vahest
kuidas	kuda
kuidas	kuidas
aeg	aeg
olema	`olli
kuidas	kuidas
sealt	säält
püüdma	`püitti
ja	ja
kolm	kolm
riista+täis	riista+täit
saama	sai
ikka	`ikke
iga	ega
kevad	kevade
ära	ära
tooma	`toodud
sealt	säält
kolm	kolm
tünder	`tündert
kutsuma	kutsudi
see	se
siis	siss
kolm	kolm
kolm	kolm
tündrine	`tündrist
riista+täis	riista+täit
jälle	jälle
see	see
tulema	`tulli
ikka	`ikka
e	e
vanasti	vanast
olema	olid
suur	suured
pere	pered
see	see
sööma	`söödi
ikka	`ikka
kodus	kodu
ära	ära
aga	aga
näh	nähh
kui	kui
sa	sa
saamine	`saamest
rohkem	`rohkem
olema	oli
et	ät
seal	sääl
siis	siis
maa	maa
mees	mehed
käima	käisid
ikka	`ikka
hommik	hommigu
vastas	`vastas
ka	kaa
või	vöi
käima	käist
ostma	`ostmas
sealt	säält
siis	siss
saama	sai
ära	ära
ka	kaa
andma	`anttud
siiski	sisgid
seal	sääl
kui	kui
saamine	`saamine
nii	nii
nii	nii
liialt	liijalt
olema	`olle
et	et
üks	üks
inimene	inime
olema	pole
jõudma	jöud
need	neid
ära	ära
oma	ema
oma	oma
ports	`portsu
rappima	`rappida
või	vöi
puhastama	puhasta
seal	sääl
minema	`mindi
nõnda	nönna
kell	kellu
kaheksa	kaheksma
paiku	`paikku
või	vöi
nii	nii
ja	ja
hommik	hommig
kell	kell
kolm	kolmeks
olema	old
nemad	nad
ikka	`ikka
jälle	`jälle
kui	kui
päike	`päikke
juba	juba
tõusma	`töusis
kerkima	`kerkkis
siis	siis
tulema	`tulli
tulema	`tullid
ju	ju
maa	`maale
jälle	`jälle
tagasi	tagasi
jah	jahh
nemad	nad
olema	olid
öösel	`öösse
juures	juures
jah	jahh
võrk	`vörkkude
juures	juures
meri	merel
need	nee
pidama	pidid
kõik	köik
välja	`välja
noppima	`noppema
üks+haaval	üks+aaval
välja	`välja
jah	jahh
noppima	`noppema
ja	ja
siis	siis
olema	old
sihukesed	`söukset
nagi	nagid
e	e
kutsuma	kutsudi
võrk	vörgu
võrk	vörgu
juhe	`juhtmed
olema	old
suur	sur
pikk	pikk
rida	rida
ja	ja
siis	siis
võrk	vörgud
saama	said
sinna	`senna
kuivama	`kuivama
vedama	`veettud
ja	ja
päeval	`pääva
kuivama	`kuivast
seal	sääl
ära	ära
ja	ja
õhtul	`öhta
enne	`enne
saama	sai
jah	jahh
kui	kui
saama	sai
minema	menema
hakkama	hakkatta
saama	sai
jälle	`jälle
ära	ära
võtma	`vööttud
ja	ja
rulli	`rulli
keerama	`keerdud
ja	ja
siis	siis
olema	olid
riie	`riidest
palakas	palagad
kutsuma	kutsudi
sinna	`sinna
sisse	`sisse
panema	`pandut
sinna	`sönne
viima	viisid
jälle	`jälle
uuesti	uuwesti
kui	ku
nemad	nad
jälle	`jälle
meri	merele
minema	läksid
ja	ja
silk	silgud
saama	sai
seest	sihelt
saama	sai
välja	`välja
noppima	noppit
ja	ja
ära	ära
rappima	rappit
ära	ära
pesema	`pestut
meri	meres
saama	sai
pesema	pesemas
käima	`käidut
sealt	säält
korv	korvid
olema	old
kaasas	`kaasass
korv	korvide
sees	sees
pesema	`pesti
ära	ära
ja	ja
siis	siis
saama	sai
tahendus	tahenduste
peale	`pääle
kuivama	`kuivama
panema	`pandud
ja	ja
ja	ja
nüüd	nd
nemad	nad
soolama	`soolast
siis	siis
ära	ära
ka	kaa
seal	sääl
ja	ja
kui	kui
nemad	nad
jälle	`jälle
meri	merele
jälle	`jälle
uuesti	uuwest
minema	läksid
mitu	mittu
kord	kord
üks	ühel
kord	korral
need	neid
saama	sai
soolama	soolat
rohkem	`rohkem
need	neid
olema	pole
soolama	soolat
need	nee
kuivatama	kuivadadi
kohe	kohe
ära	ära
ja	ja
olema	olid
ära	ära
ära	ära
soolama	soolattud
ei	äi
need	neid
seal	sääl
just	just
noh	nohh
kui	kui
nemad	nad
nii	nii
kangesti	`kangeste
see	see
saama	sai
siis	siis
kõrvale	körvale
panema	`pandud
liiast	liijast
katki	`katki
kärisema	kärises
aga	aga
esi+algu	esi+algu
need	neid
muidu	muidu
mitte	`mitte
parandama	parandat
kui	kui
olema	oli
kala	kala
saamine	`saamine
ka	kaa
seal	sääl
siis	siss
see	seda
aeg	`aega
olema	olnd
et	et
sina	sa
seal	sääl
parandama	parandad
võrk	`vörkku
see	see
olema	`olli
ikka	`ikka
talvine	`talvene
töö	töö
olema	`olli
iga	ega
iga+üks	ega+ühel
olema	olid
ise+oma	ise+omad
võrk	vörgud
iga	ega
mees	mehel
olema	olid
ise+oma	ise+omad
võrk	vörgud
mis	miss
iga+üks	ega+ühel
võrk	`vörkkus
olema	oll
see	see
iga	ega
mees	mees
saama	sai
oma	omale
ka	kaa
noh	noh
seal	sääl
olema	olid
sihukesed	`söuksed
nemad	naad
kutsuma	kutsudi
õue+märk	öuwe+märk
iga	ega
iga	ega
iga	ega
esimene	esimese
käba	käba
peal	peal
või	vöi
olema	`olli
tegema	tehtut
õue+märk	`öuwe+märk
kutsuma	kutsudi
küll	küll
olema	oli
viis+nurk	viis+`nurkki
ja	ja
ja	ja
kuus+nurk	kuus+`nurkki
ja	ja
mis	mis
nemad	nad
olema	olid
kõik	käik
see	sellest
nemad	nad
tundma	`tuntsid
oma	omad
võrk	vörgud
ära	ära
meie	meil
need	need
olema	onn
siin	siin
erinev	erinevad
ka	kahh
neh	neh
need	nee
need	nee
nemad	nad
tooma	töid
ära	ära
ka	kaa
mina	mina
ei	ei
teadma+ki	`täa+gi
palju	paljuks
need	neid
ikka	`ekka
olema	`olli
kas	kas
siis	siiss
kes	kille
kes	kille
paat	paat
olema	oll
saama	sai
see	see
see	see
kutsuma	kutsudi
kipper	`kipper
kes	kelle
paat	paat
olema	oll
saama	sai
see	see
