a	a
teine	teine
päev	päe
küll	küll
siis	sis
olema	onn
valmis	`val´mis
kohe	kohe
kui	kui
hapu	appu
olema	onn
siis	siss
nägema	näed
kohe	kohe
kui	ku
tema	ta
olema	onn
maha	maha
vajuma	vaeund
seda+viisi	sedä+visi
maha	maha
vajuma	vaeund
siis	siis
siis	siis
hakkama	`akkad
kastma	`kastma
tema	tedä
kastma	kastad
ära	ärä
noh	nohh
siis	siis
kui	kui
tema	ta
kerkima	`kerkkib
siis	sis
võtma	`võetse
üles	üless
sealt	siält
jälle	jäll
pätsike	pät´sikkest
ja	ja
muud+kui	mut+kui
labidas	labidaga
ahi	`ahju
kuidas	kuidass
no	nuu
jah	jahh
enne	`enne
tegema	`tehti
nemad	nad
valmis	`val´mis
ja	ja
panema	`pan´tti
laud	lauwa
peale	piäle
siis	siis
siit	siit
hakkama	akkatti
viima	`viimä
need	neid
ahi	`ahju
laud	lauwa
pealt	piält
ja	ja
olema	`ol´lid
siuke	siukkest
pikk	pikkäd
sae+laud	sae+lauwad
päris	päriss
mis	miss
olema	`ol´li
seda+viisi	sedä+visi
nüüd	nüt
panema	`panttud
õõ	õõ
panema	`pan´tti
pink	pin´gi
ots	otsa
peale	piäle
või	või
kus	kuss
teine	teene
ots	ots
ja	ja
ja	ja
siis	siis
s	s
panema	`pan´tti
nemad	nad
see	selle
peale	`piäle
viis	viis´
või	või
kuus	kuus
leib	`leiba
kuidas	kudas
tegema	`tehti
jah	jahh
no	nuu
aga	aga
siis	sis
nüüd	nüid
tegema	tehässe
panema	pannasse
labidas	labida
peale	`piäle
ju	ju
nüüd	nüid
ei	ei
tegema	`tehtä
enam	änäm
see	sedä
nooh	noohh
pool+teist	puul+deist
tund	`tun´di
ja	ja
kaks	kaks
ja	ja
ah	ahh
kuidas	kuidass
a	a
kui	kui
teadma	`tiädsid
noh	noh
nooh	noohh
mis	mis
seal	säl
aru	aru
saama	`saada
olema	onn
see	se
kui	kui
see	see
aeg	aeg
olema	onn
täis	täis
noh	nohh
tema	ta
küpsema	küpseb
see	selle
aeg	`aaga
ära	ärä
jah	jahh
noh	nohh
võtma	`võet´ti
välja	`väl´lä
ja	ja
noh	nohh
eks	eks
roop	roobiga
eks	eks
teie	te
olema	olette
ise	is´i
roop	`ruuppi
nägema	näind
vana	vana
roop	ruup
puu	puust
ja	jaa
ikka	`ikki
puu	puust
tegema	`tehtud
siuke	`siukke
kõverik	kõverik
ja	ja
vars	var´s
taga	taga
ja	ja
see	sellega
kiskuma	`kis´ti
noh	nohh
eks	eks
pink	pin´gi
peale	piäle
kuskile	`kus´kile
laduma	`lauttud
jahtuma	`jahtusid
ära	ärä
pärast	päräst
viima	`viidi
