trampima	`tramppist
ja	ja
esi	esi
tema	taa
olema	oli
natukene	nattune
vähem	vähe
harv	arvem
kui	kui
soa+pool	suu+bool
hüüdma	`üitti
see	see
olema	oli
ikka	`ikke
harv	arvem
ja	ja
tiib	`tiibad
need	nee
olema	olid
harv	arvemad
jälle	`jälle
jah	jahh
vahel	vahest
saama	sai
ka	kaa
koha	kohasid
ja	ja
vimm	`vimmu
ja	ja
Pärnu	`Pärnust
silk	silgud
olema	olid
silk	silgu
püük	püid
ikka	`ikke
olema	oli
seal	sääl
aga	aga
see	see
olema	oli
naa	naa
harva	`arva
siis	s
teine	`teisi
kala	kalu
saama	sai
Pärnu	`Pärnus
neh	nh
neh	neh
mina	mu
mees	mees
käima	käis
ikka	`ikka
Pärnu	`Pärnus
jah	jahh
kui	kui
jää	jää
ära	ära
minema	läks
siis	siis
kohe	kohe
hakkama	`akkast
paat	`paattidega
minema	minema
jajah	jajäh
ikka	`ikke
vahel	vahel
olema	oli
Muhu	Muhus
mitu	`mettu
aeg	`aega
et	et
tema	taa
jää	jää
panema	pani
tee	tee
tee	tee
eest	eest
kinni	`kinni
olema	olid
Muhu	Muhus
hulga	`ulkka
aeg	`aega
kaua	kauwa
aeg	`aega
jaani+päev	jooni+bäks
tulema	tulid
ikka	`ikke
ära	ära
jälle	`jälle
jaa	jaa
jah	jahh
seal	seal
viima	viisid
Pärnu	`Pärnu
linn	`linna
viima	viisid
kala	kalad
ja	ja
nii+palju	nii+balju
ise+oma	ise+omale
soolama	`soolasid
natukene	nattune
sisse	`sisse
ka	kaa
ja	ja
pidama	pidid
kodunt	kodunt
kõik	keik
seltsi	`seltsi
võtma	`vötsid
kartul	`kardulid
ja	ja
jahu	jahu
ja	ja
liha	liha
ja	ja
või	vöid
ja	ja
need	nee
saama	said
kodunt	kodunt
kõik	keik
seltsi	`seltsi
panema	`pandud
seal	sääl
olema	olid
püüd	püiju
maja	maead
kala+maja	kala+maead
olema	olid
need	nee
olema	olid
väike	`väiksed
olema	pole
need	nee
suur	suured
miski	medad
olema	olnd
neh	nehh
üks	üks
suur	suur
nari	nari
olema	oli
kus	kus
mees	mehed
magama	magasid
üks	ühes
riit	`riittas
puhas	puhas
kümme	kümmend
mees	meest
ja	ja
sööma+laud	sööma+laud
olema	oli
sees	sees
ka	kaa
neh	neh
olema	pole
seal	sääl
siis	siis
muu	muud
ruum	`ruumi
ka	ka
miski	medad
olema	olnd
mis	mes
jah	jahh
kokk	kokk
olema	oli
seltsis	`seltsis
ja	ja
kes	kes
sööm	sööma
tegema	tegi
ja	ja
olema	oli
küll	küll
kõige	keige
hea	parem
siis	siis
see	sell
aeg	aeal
need	nee
need	nee
olema	olid
väike	`väiksed
ja	ja
kui	kui
siis	siis
oma	omale
sisse	`sisse
tegema	tehedi
siis	siis
jaani+päev	jaani+be
ees	ees
need	nee
olema	lid
nii	nii
paks	paksud
ja	ja
hea	ead
silk	silgud
olema	olid
et	et
jah	jah
mh	mh
ei	ei
Hiiu	Iiju
Hiiu	Iiju
silk	silgud
sihuke	söust
ei	ei
olema	ole
olema	olnd
mis	mes
jaa	jaa
jah	jahh
siin	sii
ääres	`ääres
olema	oli
ka	kaa
aga	aga
see	see
kala+püük	kala+büik
olema	oli
siin	sii
nii	nii
vähekene	vähegene
kevad	kevade
esiti	esitti
jää	jää
järel	järel
saama	sai
natuke	nattust
ja	ja
siis	siiss
siis	siiss
olema	pole
jälle	`jälle
enam	änam
mis+gi	midad
saama	saan
oh	ohh
olema	oli
siis	siis
oma	omal
töö+puudus	töö+buudust
siis	siis
olema	olid
kõik	keik
oma	oma
oma	oma
töö	töö
pidama	pidid
heina+aeg	eina+aeaks
jälle	`jälle
vikat	vigadid
ja	ja
reha	rehad
valmis	`valmis
tegema	tegema
ja	ja
siis	siis
olema	oli
põld	`pöldu
kündma	`künda
ja	ja
sõnnik	sönigud
vedama	vidada
ja	ja
olema	pole
siis	siis
enam	änam
saama	saand
teine	täist
tera	tera
aeg+ki	`aegagid
olema	olnd
sepp	seppad
tegema	tegid
see	säne
see	säne
iga	äga
mees	mees
tegema	tegi
ise	ise
saare+puu	saare+buust
tegema	tähedi
reha	reha
ja	ja
reha+pii	reha+biid
ka	kaa
ikka	`ikke
saare+puu	saare+buust
ehk	ehk
ja	ja
no	no
mänd	männist
e	e
panema	`pantti
vars	vars
ja	ja
kuuse+puu	kuuse+buust
ikka	`ikke
ne	ne
neh	nehh
vars	vars
see	see
reha	reha
vars	vars
see	see
suur	suur
pikk	petk
noh	noh
eh	eh
targuti	targutti
tegema	tegedi
et	et
tema	ta
olema	pole
minema	läind
pooleks	pooleks
jälle	`jälle
meie	meil
Jaan	Jaanil
praegu	`präägu
seal	sääl
räästas	`räästa
all	all
klomp	klomp
kurk	`kurkkuss
kaks	kaks
tükk	`tükki
jääma	jäi
järele	järele
jaa	ja
jah	jahh
tema	ta
ajama	`aedi
natukene	nattune
lõhki	`löhki
ja	ja
siis	sis
panema	`pantti
puu+klomp	puu+klomp
sinna	`senna
vahele	vahele
ja	ja
ettepoole	ede+`poole
panema	`pantti
jälle	jälle
suur	sur
traat+võru	traat+vöru
ümber	`ümber
et	et
ep	ep
vähe	vähe
enam	änam
kaugemale	`kaugemale
end	end
ja	ja
saar	saarest
ikka	`ikke
reha	rehad
tegema	tähedi
ja	ja
kuuse+puu	kuuse+buust
ikka	`ikke
nihuke	`niukkest
olema	on
need	nee
vars	varred
missugune	messugune
kui	kui
jäme	jäme
see	see
siis	siis
olema	oli
nüüd	nüid
no	no
selline	säne
kohane	kohane
et	et
tema	ta
sina	sul
pihk	peos
ikka	`ikke
seisma	seisab
näh	näähh
ikka	`ikke
kui	kui
sina	sa
nädala+päev	nädala+bäevad
peale	`pääle
tema	täda
nühkima	nühid
kui	kui
see	see
karune	karune
olema	onn
mis	mis
sina	su
käsi	kääst
siis	siis
järele	järele
jääma	jääb
see	see
pidama	pidi
sile	sile
olema	olema
esiti	esitti
hööveldama	hööveldatti
ja	ja
siis	siis
hakkama	akkedi
viimaks	`viimaks
tegema	tähedi
veel	veel
liiva+paber	liiva+baberiga
nõnda	nönda
et	et
nühkima	nühidi
sile	sileks
et	et
need	neid
olema	oli
seda+viisi	seda+viisi
kask	kasest
ja	ja
kuidas	kuidas
ka	ka
juhtuma	`juhtus
enamasti	änemast
ikka	`ikkä
kase+puu	kase+buust
olema	olid
neh	neh
sitke	`sitkem
tugev	tugevam
neh	neh
seal	seal
mees	mihed
panema	panid
ots	`otsa
tegema	tegid
tegema	tähedi
vähe	vähe
hammas	ammast
sisse	`sisse
ja	ja
jälle	`jälle
käima	käis
oma	oma
side	side
seal	sääl
ümber	`ümber
ja	ja
aga	aga
aga	aga
siis	siis
juurde	`juurde
kuduma	kujudi
seda+viisi	seda+viisi
põhi	pöhi
olema	oli
nii+sama	nii+samma
ruutu	`ruuttu
ka	kaa
kui	kut
kui	kut
see+gi	sellelgid
aga	aga
siis	siis
siit	siit
kui	kui
sina	sa
olema	olid
nüüd	nüid
ära	ää
panema	pannud
see	säne
see	säne
see	säne
siin	sii
käima	käis
ka	ka
juur	juurega
nüüd	nüid
iga	ega
virb	virva
ümber	`ümber
ja	ja
siis	siis
jälle	`jälle
ja	ja
siis	siis
siit	siit
vahe+pealt	vahe+bält
käima	käis
ka	kaa
nüüd	nüid
juur	juur
läbi	läbi
jah	jahh
rääts	`räätsidel
ikka	`ikke
ikka	`ikke
siit	siit
kesk+paik	käs+paiga
kohast	kohast
ka	kaa
veel	veel
jah	jahh
ja	ja
sisse	`sisse
panema	`pantti
ka	ka
juur	juur
juur	juur
et	et
vaatama	vada
kui	kui
kui	kui
sina	sa
nüüd	nüid
see	säne
siia	`siija
virb	virva
siia	`siija
nägema	näe
siis	siis
juur	juured
käima	käis
ka	ka
siit	siit
jälle	`jälle
virb	virva
ümber	`ümber
et	et
tema	ta
hea	parem
jääma	jähi
sina	sull
jaa	ja
jah	jahh
see	see
pidama	pidi
nii	nii
pikk	pitk
ikka	`ikke
olema	olema
et	et
tema	ta
sina	sull
siit	siit
sedasi	sedasi
läbi	läbi
ulatama	uladas
teine	teise
äär	`ääre
neh	neh
põhi	pöhja
all	all
et	et
teine	teine
tulema	tuli
teine	teise
küljest	küljest
jälle	`jälle
siia	`siija
sedasi	seasi
vastamisi	`vastamisi
käis	käist
vaatama	vada
muidu	muidu
kui	kui
üks	ühest
külg	küljest
panema	paned
ruut	ruudu
tervelt	`tervelt
tema	ta
laotama	`laodab
ära	ää
aga	aga
teine	teine
virb	virb
tulema	tuli
teine	teise
küljest	küljest
teine	teisel
põhi	pöhjal
olema	oli
siit	siit
külg	küljest
sinna	`sönna
teine	teise
vahele	vahele
ja	ja
teine	teine
tulema	tuli
jälle	`jälle
siit	siit
külg	küljest
näh	nähh
vaatama	vada
siis	siis
tema	ta
jääma	jääb
lapiline	lappiliseks
kui	kui
kui	kui
sina	sa
seda+viisi	seda+viise
jälle	`jälle
ots	`otsast
sealt	säält
siit	siit
külg	küljest
tulema	tuli
ka	kaa
jälle	`jälle
seda+viisi	seda+visi
ja	ja
panema	panid
seda+sama+viisi	seda+sammu+visi
ka	kaa
jah	jahh
nagu	nagu
külg	`külgede
pealt	pealt
sedasi	sedasi
tulema	tuli
ots	otsast
ka	kaa
jälle	`jälle
siis	siis
tema	ta
jääma	jähi
lapiline	lappiliseks
see	see
üks	üks
vana	vana
ränk	ränk
olema	oli
siin	sii
see	see
olema	on
peerg+korv	piir+korv
jah	jahh
see	see
olema	oli
üks	üks
metsa+vaht	metsa+vaht
tegema	tegi
need	neid
aga	äga
nüüd	nüd
see	see
olema	on
minev	mineva
aasta	`aasta
olema	oli
ära	ära
surema	surnd
see	seda
ei	äi
olema	ole
enam	änam
vaata	vat
see	seda
need	neid
peerg	piirud
peerg	piirud
kiskuma	`kiskust
ise	ise
ja	ja
jälle	`jälle
mina	mina
ei	ei
teadma	tea
mänd	männist
või	vöi
kuusk	kuusest
või	vöi
mis	mist
nemad	nad
kiskuma	`kiskusid
kumb	kummast
nemad	nad
kiskuma	`kiskusid
vist	vist
männi+puu	männi+buust
ikka	`ikke
neh	neh
ju	ju
need	neid
ikka	`ikke
tegema	`tehti
sile	sileks
ei	äi
nii	nii
sile	sile
olema	pole
olema	olnd
kui	kui
sina	sa
puu	puu
küljest	küljest
need	need
võtma	vötsid
need	nee
kanga+piirg	`kanga+biirud
olema	olid
nii+samuti	nii+sammu
see	säne
see	sänest
ka	kaa
mis	mis
kangas	`kangal
olema	olid
need	nee
olema	olid
ka	kaa
sedasi	sänesi
peerg	piirud
peerg	`piirgudest
tegema	`tehtud
see	see
olema	oli
villa+korv	villa+korv
kraasi+täis	kaari+däved
tegema	tähedi
sisse	`sisse
vill	villad
olema	olid
sees	sees
ei	äi
olema	ole
kui	kui
sina	sa
ketrama	kedrast
siis	siiss
olema	olid
sees	sees
kraasima	`kraasist
ja	ja
ketrama	kedrast
kraasi+täis	kraasi+däved
tegema	tähedi
panema	`pantti
sisse	`sisse
ja	ja
ketrama	kedrast
jälle	`jälle
olema	olid
täis	täis
tegema	teind
siis	siis
võima	vöis
ketrama	kedrama
hakkama	akkatta
jälle	`jälle
rääts	räätsi
neh	neh
muist	muist
olema	olid
sihuke	seust
samune	sammust
ka	kaa
vill	villa
vill	villa
rääts	räätsid
olema	olid
sihuke	seust
samune	sammust
ka	kaa
virb	`virdest
aga	aga
kala+rääts	kala+räätsid
olema	olid
ümmargune	ümmargust
jah	jahh
ja	ja
puu	puu
käima	käis
põik+puu	pöik+puu
käima	käis
peal	pääl
ja	ja
kui	kui
nemad	nad
Pärnu	`Pärnus
püüd	püijul
käima	käisid
nemad	nad
käima	käist
siis	sis
ikka	`ikka
meri	meres
pesema	pesemas
silk	`silkku
minema	läkst
suur	suure
vesi	vee
sisse	`sisse
ja	ja
pesema	pesid
seal	sääl
silk	silgud
puhas	`puhtaks
nemad	naad
olema	olid
muidu	muidu
pesema	pesed
nõu	nöu
sees	sees
siin	sii
aga	aga
seal	sääl
minema	läkst
meri	märe
ja	ja
pesema	pest
seal	sääl
puhas	`puhtaks
selle+pärast	sene+bärast
Pärnu	Pärnu
silk	silgud
olema	olid
hea	head
ja	ja
puhas	puhta
vesi	vee
sees	sees
saama	sai
pesema	pestud
suur	suure
vesi	`veege
ja	ja
neh	neh
iga+üks	ega+ühel
olema	oli
oma	oma
märk	märk
peal	pääl
hüüdma	`üitti
jälle	`jälle
õue+märk	öuwe+märk
iga+üks	ega+ühel
olema	oli
puu	puu
peal	pääl
jälle	jälle
oma	oma
oma	oma
märk	märk
mis	mes
asi	asja
ah	ah
ah	ahh
need	nee
kartuli+korv	karduli+gorvid
ju	ju
sina	sa
see	seda
nägema	nägid
see	sene
kartuli+korv	karduli+`gorvi
neh	neh
see	see
vitsune	vitsune
olema+ki	oligi
mõni	möni
tegema	teeb
tema	ta
vits	vitsust
mõni	möni
kartuli+korv	karduli+gorv
neh	neh
see	see
olema	oli
seda+samane	seda+sammase
kaar	kaared
jälle	`jälle
panema	`panttud
ja	ja
ruutu	`ruuttu
ruutu	`ruuttu
saama	sai
esiti	esitti
puu	puu
panema	`pantti
ja	ja
siis	siis
ruutu	`ruuttu
tegema	tähedi
valmis	`valmis
ja	ja
siis	siis
hakkama	akkadi
kaar	kaaresid
juurde	`juure
panema	paneme
ja	ja
kui	kui
teine	teise
aasta	`aasta
paju	paeu
ära	ää
raiuma	raijut
olema	onn
teine	teise
sügis	sügiseks
olema	oli
virv	virv
kasvama	`kasvand
siis	siis
need	neid
käima	`käidi
mets	metst
ikka	`ikka
tooma	`toomas
jah	jahh
mõni	möned
hall	allid
paju	paeud
olema	on
mure	mured
aga	aga
need	nee
pidama	pidid
punane	punast
paju	paeud
naa	naa
olema	olema
need	nee
olema	on
sitke	`sitkemad
hall	all
paju	paeu
olema	on
nii	nii
mure	mure
see	see
ei	äi
kinnitama	kinnida
mis	mes
ei	äi
olema	ole
kuivatama	kuivadud
miski	mädad
neh	nehh
küll	küll
nemad	nad
vahel	vahest
seisma	`seisid
küll	küll
natuke	nattuse
aeg	`aega
või	vöi
see	selle
aeg	aea
järele	järele
et	et
sedasi	sedasi
seisma	`seisis
et	et
olema	pole
aeg	aega
tegema	teha
olema	olnd
et	et
olema	pole
need	neid
muu	muud
mood	`moodi
miski	midad
kuivatama	kuivadud
need	ned
männi+juur	männi+juured
need	neid
kiskuma	`kiskust
isegi	esegid
see	see
olema	oli
sala+mahti	sala+`mahti
asi	asi
see	seda
olema	pole
tohtima	`tohtind
tegema	teha
ka	kaa
end	end
kui	kui
see	see
kätte	`kätte
saama	`saadi
siis	siss
saama	said
trahv	`trahvi
ka	kaa
neh	nehh
puu	puu
kuivama	`kuivab
ära	ää
kui	kui
sina	sa
juur	juured
välja	`välja
kiskuma	kisud
ei	äi
olema	ole
jäme	jämed
need	nee
peen	`peened
juur	juured
mis	mida
peen	`peenem
see	seda
hea	parem
neh	neh
hakkama	akkad
maa	maa
seest	seest
otsima	`otsima
ja	ja
minema	lähed
minema	lähed
puu	puu
juurest	juurest
hakkama	akkad
minema	mänema
ja	ja
minema	lähed
peale	pääle
edasi	edasi
ei	ei
ei	äi
olema	ole
nüüd	nüit
tegema	tähedi
kadakas	kodaga
üsna	üsna
pool	pooled
kadakas	kadagad
sedasi	sädasi
et	et
peen	`peened
kadakas	kadagad
vaata	vat
see	sänest
tegema	tähedi
ka	ka
korv	`korvist
need	nee
kadakas	kadagadest
üsna	üsna
aga	aga
need	nee
olema	oli
nii	nii
raske	`rasked
ja	ja
need	nee
olema	pole
miski	medad
hea	head
korv	korvid
kus	kus
see	seda
hoidma	`oitti
kuidas	kuidas
sui	sui
olema	oli
ikka	`ikka
nii+sama	nii+samma
panema	`pantti
korv	`korvide
sisse	`sisse
ja	ja
sügis	sügise
ja	ja
või	vöi
teine	teise
talv	`talve
jälle	`jälle
neh	neh
pesema	`pesti
kohe	kohe
puhas	`puhtaks
ja	ja
siis	siiss
kui	kui
sina	sa
vabrik	vabrigu
viima	viist
jälle	`jälle
kraasima	`kraasida
ja	ja
heie	`eideks
laskma	lasid
tegema	teha
need	nee
sui	sui
ikka	`ikke
seisma	`seisid
siis	siis
sügis	sügise
saama	said
jälle	`jälle
kui	kui
lammas	`lambad
veel	veel
niitma	niidedi
jälle	jälle
ja	ja
siis	siis
saama	sai
sügis	sügise
need	neid
ikka	`ikke
ennäe	ennähh
ära	ää
viima	`viidud
et	et
saama	sai
lõng	`lönga
tegema	tähtud
mõlemad	mölemad
moodi	`moodi
tegema	`tehti
vahel	vahest
pesema	`pesti
lammas	`lambuid
ka	kaa
ja	ja
vahel	vahest
pesema	`pesti
kui	kui
sina	sul
lammas	`lamvad
pesema	pesematta
jääma	jäid
siis	siis
pesema	`pesti
vill	villad
ikka	`ikke
jälle	`jälle
kas	kass
meri	mere
vedama	`väädi
ehk	ähk
suur	suure
karja+maa	karjamaal
olema	olid
suur	suured
auk	augud
vee+auk	vee+augud
ajama	aeast
auk	augu
äär	äärele
ja	ja
hoidja	`oidjad
ümber	`ümber
ja	ja
inimene	inimest
jälle	`jälle
kes	kes
pesema	pesid
ja	ja
siis	siiss
vesi	vee
sisse	`sisse
ja	ja
pesema	pesid
pesema	pesid
puhas	`puhtaks
ja	ja
laskma	lasid
see	säne
lahti	`lahti
ja	ja
võtma	vötsid
uus	uuwe
jälle	`jälle
ja	ja
kus	kuss
tema	ta
saama	saab
hakkama	akkatta
kui	kui
sina	sa
ikka	ikke
tema	tast
kinni	kinni
kargama	`kargad
tema	taa
saama	saa
miski	midagi
hakkama	akkatta
noh	noh
kaks	kaks
kord	`korda
ikka	`ikke
harilik	arilik
olema	on
aga	aga
mõni	möni
niitma	niidab
ka	ka
kolm	kolm
kord	`korda
siis	siis
vill	vill
jääma	jääb
ikka	`ikke
lühike	lühigeseks
noh	noh
see	see
olema	oo
lihtne	`lihtne
töö	töö
see	seda
mina	ma
olema	ole
küll	küll
tegema	teind
see	seda
mina	ma
hakkama	`akkasi
väga	väga
noor	noorelt
tegema	tegema
see	seda
töö	tööd
ema	ema
kõrval	körval
ema	ema
olema	oli
ikka	`ikke
niitma	`niittis
ema	ema
niitma	`niittis
jälle	`jälle
mina	ma
niitma	`niitsi
juba	juba
külg	külje
ära	ää
siis	siis
ema	ema
niitma	`niittis
jälle	`jälle
pea	pää
ja	ja
kael	kaela
ja	ja
need	nee
jalg	jalad
ja	ja
kõhu+alune	köhu+aluse
ära	ää
jälle	`jälle
mina	ma
olema	oli
veel	veel
kahe+teist+aastane	kahe+`deisme+`aastane
hakkama	`akkan
kool	`koolis
käima	`käima
ja	ja
lau+päev	`lau+ba
üks	ühe
lau+päev	`lau+ba
olema	olin
kodu+ki	kodugi
siis	siis
lammas	`lambad
tuba	tuba
ja	ja
niitma	`niitsin
tuba	toas
lammas	`lambad
ära	ää
siis	siis
mina	ma
olema	olin
juba	juba
nii	nii
tegema	tegin
ise	ise
oma	oma
jõud	`jöuga
juba	juba
ära	ää
see	säne
töö	töö
neh	neh
siis	siis
ikka	`ikke
laut	`lauttas
ja	ja
e	e
suvine	suvisel
aeg	aeal
ja	ja
ikka	`ikke
laut	`lauttas
niitma	niidedi
ära	ää
kes	kes
need	neid
tuba	tuba
talu	talus
olema	oli
talvine	taline
aeg	aeg
neh	neh
kes	kes
see	see
lauda+uks	lauda+ukse
nii+kaua	nii+gauwa
lahti	`lahti
pidama	pidi
pidama	pedama
siis	siiss
tooma	töin
ikka	`ikke
lammas	`lamba
tuba	tuba
ja	ja
niitma	`niitsin
ära	ää
saba	saba
otsast	otst
võtma	`vöetti
selg	selg
kõige	keige
esmalt	esmalt
jutt	jutt
läbi	läbi
ja	ja
siis	siss
siis	siis
hakkama	akkan
alla+poole	`alla+`boole
minema	minema
lammas	lammas
keerama	`keerdase
seliti	sälitti
see	seda
saama	saa
muu	muud
moodi	`moodi
miski	medagid
jah	jaah
mõni	möni
mõni	möni
olema	onn
ka	ka
mõni	möni
üsna	üsna
kõvasti	kövasti
see+pärast	see+bärast
ka	kaa
sina	sa
panema	paned
lammas	`lamba
nii+palju	nii+balju
vähe	vähä
püsti	`püsti
oma	oma
rind	renna
najale	`näale
seda+viisi	seda+visi
kui	kui
tema	ta
seliti	selitti
olema	onn
siis	siiss
tema	ta
ei	ei
saama	saa
nii	nii
rabama	rabada
kui	kui
tema	ta
just	just
seliti	selitti
olema	onn
neh	neh
siis	siis
tema	ta
püüdma	püijab
rabama	rabada
rohkem	`rohkem
aga	aga
kui	kui
tema	ta
ikka	`ikke
sina	sul
pool+püsti	pool+`püsti
sedasi	sedasi
käsi	käe
olema	onn
siis	siis
tema	ta
ei	ei
rabama	raba
miski	medagid
see	säne
töö	`tööga
mina	ma
olema	olen
praegu	`praegu
et	et
jalg	jalad
olema	on
mina	mul
praegu	`praega
vilets	viletsad
aga	aga
käsi	kättega
võib+olla	vöib+olla
niitma	niidaks
praegu	`praegu
veel	vel
lammas	`lamba
ära	ää
küll	küll
mina	mul
ei	eij
olema	ole
see	seda
lammas	lammast
jajah	jajahh
lõua+pealne	löuwa+`beeltsed
ära	ää
ikka	`ikke
ära	ära
kus	kus
ikka	`ikke
vähe+gi	vähegid
vill	`villu
olema	oli
aga	aga
näh	näh
otsa+esine	otsa+esine
ja	ja
see	see
olema	oli
seal	sääl
olema	pole
olema	olnd
end	end
aga	aga
lõug	löuwa
peal	pääl
ja	ja
ikka	`ikke
kukal	`kukla
peal	pääl
ja	ja
ikka	`ikke
saama	sai
ära	ää
niitma	niidet
olema	pole
seal	sääl
olema	pole
seal	seal
raskus	`raskust
miski	medad
asi	asja
kui	kui
sina	sa
olema	oled
sedasi	sedasi
asi	asjaga
harjuma	`arjund
see	see
olema	olid
siis	siis
kõik	köik
olema	olid
hea	ead
tegema	täha
ja+jah	ja+jahh
kõhu+alune	köhu+alust
saama	sai
ikka	`ikke
ise	ise
koht	`kohta
panema	pantut
need	nee
olema	olid
ikka	`ikke
naa	naa
puru	purumad
enam	änam
need	neid
olema	pole
teine	`teiste
hulka	`ulkka
need	neid
saama	sai
ikka	`ikke
enam	änam
suka+pöid	sukka+`böiseks
tegema	`tehtud
ja	ja
see	see
kõhu+alune	köhu+alune
vill	vill
aga	aga
selja+vill	selja+vill
ja	ja
see	see
ikka	`ikke
olema	oli
hea	parem
ah	ah
need	nee
võtma	`vöettakse
lahke	`lahkeks
jälle	`jälle
kui	kui
tema	ta
ära	ää
kuivama	`kuivand
olema	onn
siis	siis
kiskuma	kisu
näpp	`näppude
vahel	vahel
jälle	`jälle
lahtine	`lahtiseks
küll	küll
üks+kord	ühe+gorra
tegema	tähedi
poti+sinine	potti+sinist
siis	siis
olema	oli
seda+viisi	seda+visi
et	et
see	see
poti+värv	potti+värv
olema	oli
sihuke	`seune
et	et
pidama	pidi
kusi	kusi
olema	olema
jälle	`jälle
ja	ja
kui	kui
kui	kui
see	see
olema	on
et	et
sina	sul
pott	pott
olema	on
hukka	`ukka
minema	läind
olema	oli
sõrmus	sörmus
minema	läks
nii	nii
kuld	kullaks
et	et
kui	kui
sina	sa
seal	seal
sees	sees
vill	`villu
mina	mina
olema	pole
mitte	`mitte
pott	`pottis
värvima	`värvind
mina	mu
ema	ema
värvima	`värvis
küll	küll
mina	ma
nägema	nägi
see	säne
kui	kui
tema	ta
pott	`pottist
välja	`välja
tulema	tuli
sõrmus	sörmus
olema	oli
just	just
nagu	nagu
kuld+sõrmus	kuld+sörmus
aga	aga
kui	kui
jälle	`jälle
pott	pott
olema	on
vahest	vast
ahi	ahju
peal	pääl
pidama	`peedi
seal	seal
rehe+tuba	rehe+doas
olema	on
pott	pott
keema	`keema
minema	läind
olema	pole
ühti	üht
seda+viisi	seda+visi
siis	siis
värv	värv
olema	pole
hakkama	`akkand
end	end
ja	ja
olema	pole
olema	pole
sedasi	sedasi
ühti	`ühti
olema	olnd
ega	ega
asi	asjal
ikka	`ikka
oma	oma
asi	asi
ka	ka
aru	aru
ka	kaa
värv	värv
ja	ja
kusi	kusi
panema	`pantti
ja	ja
vill	villad
ka	kaa
ja	ja
siis	siis
panema	`pantti
ahi	ahju
peal	pääl
jälle	`jälle
üles	üless
seal	sääll
et	et
tema	ta
paras	paras
soe	soe
olema	oli
tema	tal
siis	siss
seda+viisi	seda+visi
pidama	`peedi
seal	sääl
sees	sees
päev	`pääva
kaks	kaks
ja	ja
siis	siiss
võtma	`vöedi
välja	`välje
üks+kord	ühe+gorra
olema	olid
villane	villast
kampsun	`kampsunid
ei	äi
et	et
siis	sis
olema	pole
muu	muud
värv	`värvi
olema+ki	`olndgid
kui	kut
see	see
poti+sinine	potti+sinine
värv	värv
olema	oli
mees	`meestel
ja	ja
naine	`naistel
olema	olid
ka	ka
veel	vel
villane	villased
kampsun	`kampsunid
poti+sinine	potti+sinised
jah	jahh
kaks	kahe
varras	`vardaga
kuduma	kujudi
jah	jahh
jälle	`jälle
see	see
ise	ise
olema	olid
need	nee
vana	vanemad
inimene	inimest
jälle	`jälle
ikka	`ikka
mõni	möni
ka	kaa
kuduma	kudus
seda+viisi	seda+visi
need	neid
nagu	naagu
mõni	menel
olema	pole
aeg	aega
olema+ki	`olndgid
seda+viisi	seda+visi
see	see
võtma	vöttab
hulga	ulga
aeg	`aega
ära	ää
sedasi	sedatti
kui	kui
sina	sa
see	säne
kuduma	kudust
muu	muud
muu	muud
töö	tööd
olema	oli
rohkem	`rohkem
tegema	täha
ikka	`ikke
need	nee
saama	sai
siis	siis
laskma	lastud
mina	ma
teadma	tää
üks	üks
hüüdma	`üitti
Veo	Veo
Elts	Elts
see	see
ikka	`ikke
kuduma	kudus
see	selle
kuus+kümmend	kuus+kümmend
kopikas	koppigud
maksma	`maksis
siis	siis
see	see
villane	villase
kampsun	`kampsuni
kudumine	kudumine
siis	siis
kui	kui
tema	ta
sina	sulle
valmis	`valmis
kuduma	kudus
mõni	mönel
olema	oli
teine	teisel
olema	pole
olema	olnd
ka	kaa
nüüd	nd
sõba	söbad
sõba	söbad
tegema	tähedi
kui	kui
must	must
lammas	lammas
olema	oli
see	se
see	see
sõba	söba
kangas	ka~nnas
olema	oli
ikka	`ikka
must	must
ja	ja
hoidma	`oittakse
nii+samuti	nii+sammu
kui	kui
sina	sul
jälle	`jälle
villane	villast
kangas+ki	ka~nnastkid
tegema	tegid
et	et
ka	kaa
värvima	värvidi
kui	kui
ka	kaa
must	`musta
e	e
siis	siis
panema	`pantti
valge	`valget
sekka	sega
ka	kaa
tegema	tähedi
naa	naa
hall	alliks
need	nee
sinine	sinine
hakkama	`akkas
siiski	`siiskid
peale	`pääle
ka	kaa
valge	`valge
vill	villale
jälle	`jälle
siis	siis
jääma	jäi
siiski	`siiskid
sinine	sinine
ikka	`ikke
peale	`pääle
vill	vill
ikka	ikka
pidama	pidid
kraasima	`kraasima
segamini	segamini
kuidas	kuidas
see	see
käima	käis
mina	maa
ep	p
teadma	tää
olema	onn
mina	mu
kraas	kraasid
pares	pares
siin	sii
või	vöi
olema	pole
kraas	`kraasi
nägema	näind
kuskil	`kuskis
neh	neh
harilik	arilikkud
kraas	kraasid
muud+kui	muut+kut
tõmbama	tömma
aga	aga
jah	jahh
pisike	pisist
peen	peen
traat	traadist
neh	neh
sina	sool
olema	olid
ju	ju
kraas	kraasil
olema	oli
pihk	püu
peo+maa	püu+maa
ikka	`ikka
ka	kaa
kus	kus
siis	sis
kinni	`kinni
olema	olid
ja	ja
teist+pidi	teise+bidi
olema	oli
jälle	`jälle
laud	laud
noh	noh
mina	maa
olema	pole
saama	saand
praegu	praes
kätte	`kätte
end	end
mina	ma
arvama	`arvasi
et	et
mina	mol
olema	on
siin	si
kapp	kappi
otsas	otsas
veel	vel
olema	onn
