trampima	`tramppist
panema	`pandi
olema	olid
sedasi	seass
paar	paarid
pars	parred
paar	`paaride
peal	pääl
seuke	`seuksed
pars	parred
olema	olid
tuba	toas
lükkama	lükkedi
jälle	`jälle
teine	teine
kaks	kaks
tükk	`tükki
jälle	`jälle
kokku	`kokku
kaks	kahe
pars	parre
peale	`pääle
panema	`pantta
siis	siiss
panema	`pantti
see	se
jälle	`jälle
kui	kui
see	see
täis	täis
saama	sai
teine	teist
kaks	kaks
jälle	`jälle
ja	ja
sedasi	sedass
panema	`pantti
sedasi	sedasi
püsti	`püsti
sedasi	sedass
kõik	keik
lagi	lae
alla	`alle
et	et
siis	siis
suits	suits
käima	käib
läbi	läbi
ja	ja
soe	soe
ja	ja
siis	siis
vili	vili
saama	saab
kuiv	kuivaks
seda+moodi	seda+mood
tegema	`tehti
jah	jah
näh	nähh
ja	ja
jalg+ratas	jalg+`rattuid
ei	eij
olema	ole
siis	siis
mitte	`mitte
olema	olnd
ei	äij
olema	ole
auto	`auttusid
olema	oln
ei	äij
olema	ole
mm	mm
ä	ä
jälle	`jälle
m	m
jalg+ratas	jalg+`rattaid
olema	olnd
ei	äij
olema	ole
lennuk	lennukkid
mina	mina
nägema	näind
mitte	`mitte
miski	midad
kui	kui
sina	sa
tahtma	tahad
minema	`minna
minema	mine
ikka	`ikke
jala	jäla
olema	pole
ratas	rattast
olema	pole
olema	pole
enam	änam
miski	midagid
noh	noohh
siis	siis
mina	ma
olema	oli
juba	juba
üle	üle
viis+kümmend	viije+kümne
aasta	`aasta
inimene	inimene
siis	siis
hakkama	`akkas
juba	juba
ratas	`rattad
tulema	tulema
nüüd	nüid
olema	olen
käima	käin
üheksa+kümmend	üheksmas+kümmend
kolm	kolm
kord	korda
siis	siis
vili	vili
olema	oli
kuiv	kuiv
panema	`pantti
sedasi	seasi
üks	üks
siis	s
süle+täis	süle+täis
puu	puid
panema	`pantti
ahi	`ahju
iga	ega
päev	päev
ja	ja
rehi	rehe
see	see
hüüdma	üitti
siis	siss
rehe+tuba	rehe+tuba
ja	ja
rehe+kütmine	rehe+`kütmine
muist	muist
olema	olid
nii	nii
lühike	lühigest
et	et
olema	pole
ulatama	uladand
lükkama	lükkatta
siis	sis
ork	orgid
olema	olid
käsi	käes
lükkama	`lükkast
ork	`orkkidega
seune	seuse
hark	argiga
hark	ark
olema	oli
ork	orgi
ots	`otsas
ja	ja
kes	kess
olema	pole
lühikene	lühigene
olema	oli
olema	pole
ulatama	uladand
lükkama	lükkatta
nd	nd
üles	ülese
see	seda
pars	part
sinna	senna
koht	koha
peale	peale
kus	kuss
pidama	peab
olema	olema
siis	siis
see	see
suur	suur
ork	ork
olema	oli
pihk	peos
ja	ja
lükkama	`lükkast
kes	kiss
olema	pole
seal	seal
ulatama	uladand
jälle	jälle
lükkama	lükkatta
a	a
olema	pole
see	selle
nimi	nimi
miski	midad
ütlema	öödud
va	va
suur	sur
hark	ark
olema	oli
ots	`otsas
ja	ja
muu	muud
ei	ei
olema	pole
miski	midad
olema	pole
seal	seal
nimi	nime
miski	midad
olema	olnd
lükkama	lükkedi
kõik	keik
kokku	`kokku
kas	kass
ee	ee
jälle	jälle
ee	ee
olema	pöld
või	vöi
ahh	ahh
pars	parred
või	vöi
kuidas	kuidas
vili	vili
pars	parre
peale	`peale
panema	`pantti
püsti	`püsti
panema	`pantti
viht	vihud
ahh	ahh
maha	maha
võtma	vöedi
siis	siis
tegema	`tehti
seda+moodi	seda+modi
et	et
laskma	`laske
kaks	kaks
pars	part
maha	maha
kord	korraga
ja	ja
see	nee
rabama	rabade
ära	ää
ja	ja
siis	siiss
laskma	`lasti
jälle	`jälle
kaks	kaks
pars	part
kaks	kaks
pars	part
haaval	aaval
või	vöi
suur	sur
näh	nähh
näh	nähh
kaks	kaks
e	e
näh	nähh
pars	parre
näh	nähh
kaks	kahe
pars	parre
peal	pääl
panema	`pantti
kord	korraga
siis	siis
lükkama	lükkedi
kaks	kaks
pars	part
jälle	`jälle
maha	maha
ja	ja
rabama	rabadi
see	se
ära	ära
ja	ja
siis	siss
võtma	vöedi
jälle	`jälle
kaks	kaks
pars	part
ja	ja
rabama	rabadi
jälle	`jälle
nii	nii
kaua	kauwa
kui	kui
otsa	`otsa
lõppema	`löppes
va	va
va	va
mina	mina
ei	äi
teadma	tää
ei	äij
olema	ole
võtma+ki	vöettudki
rohkem	`rohkem
maha	maha
kaks	kaks
ainus	ainust
võtma	`vöedi
kord	korraga
siis	siiss
võtma	`vöedi
reha	rehaga
jälle	`jälle
sealt	sääld
pealt	pääld
muist	muist
pea	päid
ära	ära
see	neid
varpama	varbadi
enne	`enne
jälle	`jälle
sealt	sält
kui	kui
viht	vihud
maha	maha
laskma	`lasti
jälle	jälle
võtma	vöedi
reha	reha
käsi	käde
võtma	vöedi
siis	siss
see	nee
kõrs	körred
sealt	sält
põrand	pärandalt
ära	ää
mis	miss
nüüd	nüid
pikk	pikkad
kõrs	körred
olema	olid
see	nee
viima	viidi
koda	koea
põrand	pärandale
see	neid
varpama	varbadi
siis	siss
ka	kaa
veel	veel
vili	vili
olema	oli
seal	seal
sees	sees
ja	ja
muud+moodi	muud+`moodi
olema	pole
välja	`välja
saama	saand
viima	`viidi
varpama	`varppama
see	neid
kõrs	`körsi
varpama	varbadi
siis	siss
veel	veel
mis	miss
pikk	pikkad
olema	olid
aga	aga
pea	pead
olema	pole
see	neid
mitte	`mitte
enam	enam
varbama	varbat
ei	äi
pea	`peasid
ei	eij
olema	ole
varbama	varbat
pea	`peade
seest	seest
tulema	tuli
ikka	`ikka
vili	vili
välja	`välja
ahh	ahh
õlg	`ölgede
seest	seest
ikka	`ikka
tuulama	`tuuledi
tuul	tuule
ees	ees
tuul	tuule
ees	ees
ikka	`ikka
tuul	tuule
ees	ees
olema	oli
seas	seas
hüüdma	`üitti
suur	suur
sari	sari
seune	`seune
sari	sari
olema	oli
et	et
nii	nii
ümmargune	ümargune
nagu	nagu
nagu	nagu
vakk	vakk
või	vai
see	se
mitte	`mitte
sõel	söel
või	vöi
vakk	vakk
või	vöi
nehuke	nehukke
suur	suur
ümmargune	ümargune
riist	riist
olema	oli
see	see
hüüdma	`üitti
sari	sari
ja	ja
seal	sääl
sees	sees
olema	olid
auk	augud
kõik	keik
sedasi	`seasi
olema	pole
väga	väga
suur	suured
ka	kaa
olema	old
ja	ja
siis	siis
tema	ta
sedasi	seasi
tuul	tuule
ees	ees
sõel	söel
panema	`pantti
sedasi	seasi
uks	ukse
ette	`ette
ja	ja
kuidas	kuidas
see	see
tuul	tuul
tulema	tuli
ja	ja
siis	siiss
seal	seal
kiputama	kippudet
sedasi	sedasi
siis	siis
tulema	tuli
vili	vili
välja	välja
ja	ja
siis	siis
jääma	jäi
põhk	pöhk
ja	ja
pea	pää
pea	pead
jääma	jähid
kõik	köik
sinna	`sinna
sisse	`sisse
mis	miss
tühi	tühjad
olema	olid
ja	ja
loom	loomad
sööma	söid
see	ne
talv	`talve
ära	ära
see	ne
pea	pead
ja	ja
see	ne
asi	asjad
õlg	öljed
ja	ja
kõik	keik
ja	ja
vili	vili
tulema	tuli
välja	`välja
vili	`vilja
ei	äi
olema	ole
põhk	`pöhku
jätma	jäedut
see	senne
peale	`peale
olema	olid
hoolikas	oolekkad
küll	küll
ee	ee
nemad	naad
panema	panid
jah	jahh
see	senne
nemad	naad
see	senne
sari	sarja
panema	panid
see	senne
sari	sarja
sisse	`sisse
see	seda
rabama	rabat
vili	`vilja
mis	miss
tuba	toas
olema	oli
mis	miss
olema	oli
kui	kui
olema	oli
kõik	keik
vili	vili
olema	oli
ära	ära
juba	juba
peksma	`pekstud
sealt	sealt
pars	`partte
pealt	pealt
maha	maha
laskma	`lastud
ja	ja
ära	ära
peksma	pekstud
siis	siis
panema	`pantti
see	nee
pea	pead
ja	ja
kõik	keik
põhk	pöhud
ja	ja
mis	miss
seal	seal
olema	olid
kõik	keik
panema	`pantti
sari	sarja
sisse	`sisse
ja	ja
sari	sarja
sisse	`sisse
jääma	jäid
põhk	pöhud
ja	ja
vili	vili
tulema	tuli
sealt	sealt
sari	sarja
seest	seest
läbi	läbi
see	selle
sari	sarjal
olema	olid
seune	seust
auk	augud
olema	olid
nagu	nagu
sõel	söel
või	vöi
seune	`seune
näh	nähh
nagu	nagu
üks	üks
asi	asi
mis	miss
auk	augud
sees	sees
olema	on
põhi	`pöhjas
see	seda
see	seda
seal	seal
sõeluma	söeludi
sedasi	sedasi
kiputama	kippudetti
siis	siis
jooksma	`joosis
välja	välja
siis	siis
pea	pead
jääma	jäid
sinna	`senna
sisse	`sisse
ja	ja
näh	nähh
joo	joo
ikka	`ikka
katsuma	`katsus
panema	`panna
ikka	ikka
nemad	need
ikka	`ikka
pikk	pikkad
inimene	inimest
kah	kahh
või	vöi
mees	mehed
ikka	`ikka
panema	panid
ei	äi
naine	naised
olema	pole
mitte	`mitte
seal	sääl
tuulama	`tuuland
või	vöi
näh	nähh
vili	`vilja
mees	mehed
ikka	`ikka
tuulama	`tuulast
meie	meil
tuulama	`tuulast
ikka	`ikka
mees	mehed
naine	naised
olema	onn
lühike	lühigest
mees	mehed
olema	olid
ikka	`ikka
suur	suur
suur	suure
pikem	pikkemad
suur	suur
vakk	vakk
olema	oli
seune	seun
põhi	pöhi
olema	oli
all	all
ilusti	ilusti
ja	ja
tugevasti	tugevasti
poiss	poisid
kuulma	`kuulevad
nüüd	nüid
mis	miss
asi	`asja
teie	te
kuulma	kuulette
vana	vana
moodne	`mootsast
asi	`asja
teie	te
ei	i
teadma	tää
mitte	`mitte
miski	midad
näh	nähh
see	nee
teist+moodi	teist+`moodi
asi	asi
olema	oli
ader	ader
olema	pole
olema	pole
olema	pole
raud+vannas	raud+vannast
olema	olnd
ega	ega
miski	midagid
siis	siis
olema	olid
nii	nii
pisike	pisist
kartul	`kardulid
et	et
mitte	`mitte
miski	midad
ei	eij
olema	ole
olema	oln
näh	nähh
m	m
pere+mees	pere+mehed
kes	kiss
mees	mehed
olema	olid
nemad	need
olema	olid
ees+pool	ääs+pol
mis+moodi	miss+moodi
hobune	obusega
meie	meil
olema	olid
härg	ärjad
ka	kaa
kaks	kaks
härg	`ärga
olema	oli
nemad	`nendega
kündma	`küntti
ka	kaa
härg	ärjad
panema	`pantti
kõrutsi	körutsi
sedasi	sedasi
iga	igese
panema	`pantti
suur	suur
puu	puu
panema	`pantti
peale	`pääle
veel	vel
mõlemad	möllemette
härg	`ärgadel
minema	läks
sedasi	sedasi
puu	puu
läbi	läbi
ja	ja
siis	siis
panema	`pantti
suur	suurd
rihm	`röhmad
ümber	`ümber
sari	saride
ja	ja
ja	ja
nii	nii
ilusti	ilusti
kündma	`küntsid
et	et
nätsat	nätsat
nätsat	nätsat
nätsat	nätsat
nätsat	nätsat
käima	käist
nii	nii
hästi	`easti
et	et
härg	ärjad
kündma	küntsid
hobune	obu
olema	oli
ka	kaa
aga	aga
härg	ärg
olema	oli
ka	kaa
kaks	kaks
härg	`ärga
olema	oli
ka	kaa
ikka	`ikka
ka	kaa
ader	ader
panema	`pantti
ja	ja
a	a
kuidas	kuidas
see	se
panema	`pantti
nemad	naad
ikka	`ikke
siduma	sidust
