ah	ah
linad	linad
ja	ja
ja	ja
teine	tõese
hommik	ommuk
jälle	`jäl'le
lina	lina
tulema+ki	tul'livagi
kõik	kõik
nurm	nurme
olema	ol'liva
lina	linu
täis	täis
ja	ja
kakkuma	kakku
need	neid
kui	ku
naad	na
mm	mm
hein	aenat
sees	sess
kõik	kõik
käsi	käe
lagunema	lagunuva
ja	ja
kõik	kõik'
veritsema	veritse
aga	aga
miski	midägi
tegema	tettä
ikka	ikki
iga	egä
päev	päiv
neljandik	`nel'ländik
ja	ja
iga	egä
päev	päiv
neljandik	`nel'ländik
hea	hääd
päev	`päivä
ei	ei
olema	ole
nägema	nännu
siis	siss
vilets	viletsel
visa	visa
elu	elu
nägema	näed
miski	midägi
tegema	`tettä
noh	nohh
muu	muud
mina	ma
enam	enämp
ei	ei
teadma	tiijä
miski	midägi
kes+see	kesse
õh	õhh
nüüd	nüüd
õh	õhh
kus	kos
mina	miu
õh	õhh
mees	miis
nüüd	nüüt
teenima	`tiinse
olema	ol'live
üks	ütten
talu	talun
või	või
nii	nii
üle+aedne	üle+aijatse
noh	nohh
olema	omm
paljalt	pal'lalt
aia+ke	aijakke
vahel	vahel'
naaber	`naabri
mees	mehe
või	või
kuidas	kudass
nüüd	nüüt
ütlema	ütteldass
noh	noh
siis	ss
käima	käesive
nüüd	nüt
minema	lätsivä
kui	kui
tulema	tulli
pool+päev	`puul'ppõ
õhtu	õdak
käima	käesive
saun	sannan
ära	ärä
ja	ja
ja	ja
sööma	`seive
ära	ärä
ja	ja
noh	nohh
tema	temä
mina	miu
mees	miis
olema	ol'
ikka	igi
täis	täis
poiss	poiss
ja	ja
too	tuu
olema	ol'li
jälle	jälle
noor	nuur
kaheksa+teist+kümmend	`katsa+`tõist+gu
aastane	`aastane
ja	jaq
too	tuu
es	ess
küsima	küsi
es	ss
väsimus	väsimusest
ja	ja
minema	läits
harmoonik	`ärmoonikkut
ka	ka
iga	egäl
talu	talul
olema	ol'li
harmoonik	`ärmoonik
harmoonik	`ärmoonikku
õlg	ola
peale	pääle
ja	ja
minema	läits
kõrts	kõrtsi
manu	manu
sinna	sinna
olema	ol'li
viis	viis
verst	`versta
või	vai
kas	kass
rohkem	`rohkemp
ehk	ehk
vähe	vähemb
veidi+ke	veidikke
too	toda
ei	ei
teadma	tiijä
mh	mh
mina	mina
hh	hh
too	toda
ei	ei
teadma	tiijä
ka	ka
viis	viis
verst	`versta
küll	küll
olema	ol'li
minema	lännu
tee	teed
pidi	pitti
ja	ja
harmoonik	`härmoonik
õlg	ola
peal	päl
ja	ja
mängima	`män'gnu
ka	ka
vahel	vahel
sealt	säält
minema	läint
siis	siss
kõrts	kõrtsi
mant	mant
siis	siss
sinna	sinna
Moona+küla	Moona+külla
Moona+mees	Moona+meestel
olema	oli
tütar	`tütrit
oma	oma
man	mann
seal	sääl
ja	ja
nagu	nigu
kõik	kõik
noor	nooremppa
sinna	sinna
jälle	jälle
kokku	`kokku
ja	ja
tulema	tullu
sõitma	`sõitnu
tõld	tõld
tagant	tagas't
järgi	`jär'gi
ja	ja
ja	jaq
küsima	küsinuva
kus	kos
sina	sa
minema	läät
kõrts	kõrtsi
manu	manu
minema	läe
no	noo
taa	ta
es	ss
teadma	tiijä
miski	mittägi
kõrts	kõrtsi
manu	manu
minema	läe
tulema	tule
meie	`meel'e
meie	meil
olema	omm
ball	pal'l'
kus	koss
teie	teil
ball	pal'l'
olema	omm
noh	nohh
Tiidla	`Tiidlä
mõis	`mõisan
ütlema	ten
oi	oii
sinna	sinna
küll	küll
ei	ei
minema	l'ä
minema	lään
Valguta	Valgutta
mõis	mõisast
mööda	`müüda
Rõngu	Rõngu
mõis	mõisass
too	tu
olema	omm
ju	ju
jälle	jäl'le
kaugel	kavven
meie	me
ei	ei
saama	sa
hommik	oommukkuss
sinna+ki	sinnagi
ja	ja
punnima	`pun'nu
seal	sääl
vastu	`vasta
ikka	ikki
kõvasti	kõvaste
ja	ja
ajama	aan
et	et
ei	ei
minema	l'ää
ei	ei
minema	l'ää
nii	nii
kaugele	`kaugele
aga	aga
ei	ei
olema	ole
saama	saanu
aru+ki	arugi
kas	kass
taa	ta
ise	esi
minema	lännu
sinna	sinna
vahtima	`vahtnu
tõld	`tõlda
preili	preilisid
tõld	tõld
tagant	tagast
täis	täis
ja	ja
noor	noore
härra	ärräsit
ja	ja
ja	ja
kaema	kaenu
juba	juba
istuma	itstub
ikka	igi
kutsar	kutsari
kõrval	kõrval
ise	esi
mõtlema	`mõttelnu
et	et
kas	kass
mina	ma
nüüd	nt
ise	esi
tulema	tulli
või	vai
või	või
kuidas	kuda
mina	ma
siia	siija
saama	sai
et	et
too	tost
ei	ei
olema	ole
aru	aru
saama	saanu
ja	ja
olema	ollu
õh	õh
kõnelema	kõnelnu
nii	nii
taa	ta
kõnelema	kõnelnu
kodu	kodu
ja	ja
seal	sääl
ka	kahh
Tiidla	`Tiidlen
üks	üt's
pool	pool
tund	`tunni
aeg	`aiga
vast	vast
arvama	arvatta
olema+ki	ollugi
seal	sääl
küll	küll
olema	ollu
ilus	iluss
küll	küll
olema	ollu
ilus	iluss
too	tu
saal	saal
kõik	kõik
nagu	nigu
särama	sär'änu
kõik	kõik
vikk+sein	vikk+saenad
ja	ja
kõik	kõik
põrand	põrmant
ilus	iluss
ja	ja
kõik	kõik
püüne	püüne
olema	ollu
väga	`väega
ilus	iluss
ja	ja
ilus	ilusad
preili	preilid
seal	sääl
olema	olluva
kõik	kõik
kuld	kuld
armband	`armbandid
ja	ja
kõrv	kõrva
rõngas	`rõngat
ja	ja
kõik	kõik
särama	sär'änuva
seal	säl
ja	ja
ja	ja
viima	`viidu
tema	timä
sisse	`sisse
sinna	sinnä
ja	ja
panema	panttu
sohva	sohva
peale	päle
istuma	`istma
noh	nohh
istuma	`istnu
seal	sääl
ja	ja
noh	nohh
sigar	sigar
suu	suhu
tõmbama+nüüd	`tõmband
sigar	sigarit
nii	nii
palju	`bal'lu
kui	kui
sina	sa
tahtma	tahat
enne	ennemp
pabeross	paberossi
es	is
olema	ole
nüüd	nüüd
olema	ol'li
suits	suits
käsi	kähen
aga	aga
too	toda
mina	ma
ei	i
teadma	tiijä
kes	kess
ee	e
et	t
kuulma	`kuule
kas	kass
tema	tal
siis	ss
oma	umal
tikk	tikku
toos	tuus
olema	`ol'li
või	vai
või	vai
õõ	õ
või	vai
andma	antti
sealt	säält
jah	jah
et	et
mängima	män'gi
nüüd	nüid
noh	nohh
hea	ea
meel	miil
ka	kahh
ee	e
poisi+ke	poesikkesel
et	t
et	et
mõtlema	`mõtle
kui	kui
tore	tore
ja	ja
ilus	iluss
et	et
seal	säl
jah	jahh
mängima	`män'gnu
mõtlema	mõttel
no	no
hea	ää
küll	küll
mängima	`män'gnü
seal	säl
paar	paar
tükk	tükki
ära	ärä
et	et
et	et
nüüd	nüüd
mina	mä
jätma	jätta
rahu	rahu
siis	ss
mina	ma
minema	lää
sinna	sinna
preili	pr'eilide
poole	poole
lähem	lähemppäle
sääne	säntte
ää	ä
elama	eläv
poiss	poiss
väga	`väegä
aga	aga
minema	lännu
nagu	nigu
taa	ta
rahu	rahu
jätma	`jätnu
nii	nii
olema	olid
jälle	jälle
hh	h
mitmekesi	`mitmekkesti
man	mann
muu	mut
kui	ku
mängima	män'gi
ruttu	`ruttu
mängima	män'gi
ruttu	`ruttu
mängima	män'gi
see	sedä
tükk	tükki
mängima	män'gi
see	sedä
tükk	tükki
ja	ja
ei	ei
olema	ole
laskma	`lasnuva
mitte	`mitte
ei	ei
olema	ole
kauge	`kaugembale
saama	saanu
kui	kui
seal	säl
sama	`sammal
sohva	sohva
man	mann
ja	ja
jälle	`jäl'le
sigar	sigar
suu	suhu
ikka	ikki
sigar	sigar
üks	`ütte
viisi	`viisi
noh	noh
hea	ea
meel	miil
poiss	`poissel
ka	kahh
poiss	poisil
ja	ja
mängima	`män'gnu
seal	sääl
jah	jahh
saama	saanu
kuulma	kuulu
kui	ku
mõis	`mõisan
kikas	kikkass
kirema	kir'g
noh	nohh
nii	nii
olema	ollu
kaduma	kattunu
üks	`ütte
kord	kõrraga
kõik	kõik
tasku	`tasku
panema	panttud
välja	väl'lä
küll	küll
õõ	õ
seal	sääl
olema	lli
enne	`enne
juba	juba
panema	panttud
mm	mm
see	sii
karman	`karman
sigar	sigarit
täis	täis
õkva	`õkva
ots	otsani
mõtlema	mõttelnu
et	t
aga	aga
nüüd	nüid
mina	mull
saama	sab
mitu	`mitmass
päev	päeväss
veel	vil
kui	ku
kodu	kodu
ka	kahh
jah	jah
jah	jahh
nagu	nigu
kikas	kikkass
kirema	`kir'gnud
nii	nii
olema	ollu
kaduma	kattunu
kaema	`kaenu
rehi	rehen
kuskilt	`kosttegi
poolt	puult
no	no
mõis	`mõisa
rehi	rehe
olema	omm
ju	jo
kindel	`kindle
ja	ja
lukus	lukkun
kõik	kõik
värav	`vär'jä
ja	ja
kuskilt	`kostigi
välja	`väl'lä
ei	ei
saama	saa
ei	ei
saama	saa
kas	kas
sina	sa
tegema	tee
mis	mis
sina	sa
tahtma	tahat
vot	vot
siis	siss
olema	ollu
poiss	poesil
hirm	ir'm
et	et
kui	kui
ei	ei
tulema	tulda
siia	siijä
siis	s
mina	ma
surema	sure
siia	siijä
nälg	`näl'gä
küll	küll
kaema	`kaenu
üks	`üttest
koht	koalt
teine	tõesest
pime	pime
ka	kahh
miski	midägi
nägema	näe
ju	jo
tema	tal
ikka	igi
tikk	tikku
toos	toos
olema	ol'li
kaema	`kaenu
et	t
kus	kos
too	tuu
sohva	`sohva
rehi	rehe
tuhk	tuhk
agan	agan
tuhk	tuha
peal	pääl
istuma	`istnu
no	no
aga	aga
seal	säl
ju	ju
olema	`ol'li
pehme	pehme
küll	küll
too	to
olema	omm
tõde	tõtt
õige	`õige
ega	egä
õõ	õ
kes	kelless
taa	ta
olema	oless
võltsima	`võl'tsnu
ja	ja
taa	ta
tema	tedä
kodu	kodu
ees	eess
kodu	kodu
ka	ka
kõnelema	kõnelnu
ja	ja
nüüd	nüid
seal	sääl
kui	kui
nägema	nännu
keegi	kedägi
no	no
rehi	rehe
mant	mant
minema	lännu
ka	kah
veidi+kene	veidikkene
tee	tii
sealt	säält
mööda	`müüdä
kus	kos
naad	na
mets	`mõtsa
käima	käeve
kaema	`kaenu
et	õt
juba	joba
hommik	ommuk
olema	ollu
õõ	õ
olema	ollu
hirmuma	`ir'mund
küll	küll
minema	lännu
kubjas	kubijass
moon	moona
mees	mestega
nüüd	nüüd
mets	`mõtsa
hagu	agu
tooma	`tuuma
ja	ja
minema	lännuva
mööda	`müüdä
siis	s
taa	ta
plaanma	`plaan'nu
jalg	jalaga
sinna	sinna
õõ	õ
rehi	rii
alune	alutse
uks	usse
peale	`pääle
ja	ja
ja	ja
hõikuma	`õiknu
ja	ja
röökima	`rüüknu
õõ	õ
siis	siss
kuulma	`kuuluva
ära	ärä
ja	ja
minema	lännuva
sinna	`sinnä
et	et
kes	kes
too	to
hull	ull
seal	säl
nüüd	nüt
olema	omm
kust	kost
tema	temä
sisse	`sisse
saama	sai
jah	jahh
ei	ei
siis	siss
ei	ei
olema	ole
siis	sis
see	se
enne	enne
ka	ka
miski	midägi
tegema	tennuv
kui	ku
taa	ta
kõik	kõik
ära	ärä
seletama	selettänu
kuidas	kuda
taa	ta
olema	omm
saama	`saanu
sinna	sinna
ja	ja
noh	nohh
ega	egä
kubjas	kubijal
võti	`võttit
ei	ei
olema	ole
minema	lännuva
siis	s
mõis	`mõiste
võtma	`võtnu
sealt	sält
kubjas	kubijas
võtma	võtnu
paar	paar
mees	mihi
ka	ka
üks	ütten
ja	ja
valitseja	valitseja
manu	manu
ja	ja
tooma	`toova
võti	`võtme
oh	ohh
valitseja	valitseja
tulema	tullu
siis	ss
ise	esi
ka	ka
üks	ütten
ja	ja
võtma	`võtnu
välja	valija
võti	`võtme
jah	jahh
käänama	käänet
too	tuu
valla	`valla
ja	ja
siis	siss
seal	sääl
siis	siss
seletama	selettanu
nemad	`neille
rahvas	`rahva
ees	iin
olema	ol'li
jääma	jäänu
mets	`mõtsa
minema	minemädä
valitseja	valitseja
olema	ol'li
ütlema	`ütlenu
jah	jahh
et	et
minema	lääme
nüüd	nüüd
kodu	kodu
ja	ja
viima	viisive
mõis	`mõiste
noh	nohh
seal	säl
mõis	`mõisan
uss	us
aed	aija
peal	pääl
rahvas	rahvass
ümber	`ümbre
sõõr	`syyri
kõik	kõik
härra	`ärrä
ka	ka
ja	ja
proua	`provvad
ja	ja
kõik	kõik
nüüd	nüüd
kuulama	kullemma
kui	kui
taa	ta
kõnelema	kõnelep
siis	s
olema	ol'li
ütlema	üttelnu
siis	ss
mõni	mõni
ütlema	üttelnu
noh	noohh
sina	sa
võltsima	võltsid
olema	ol'li
ütlema	üttelnu
aga	aga
kust	kust
mina	mina
rehi	`rihte
saama	sai
teie	te
saama	`saatte
arvama	arvatta
kui	kui
mina	ma
olema	oless
saama	saanu
sisse	`sisse
siis	s
mina	ma
olema	oless
välja	`väl'la
ka	ka
tulema	tullu
aga	aga
mina	ma
sisse	`sisse
viima	`viidi
ja	ja
välja	`väl'la
mina	ma
es	s
saama	saa
ja	ja
nii	nii
kaua	kavva
kui	ku
kikas	kikkass
kirema	kir'g
siis	siss
olema	ol'li
kõik	kõik
kaduma	kattunu
ja	ja
jah	jahh
kõnelema	kõnelnu
seal	sääl
siis	s
olema	ol'li
ütlema	ütteldu
et	et
ikka	ikki
mõni	mõni
veel	viil
ütlema	üttelnu
et	et
ikka	ikki
ajama	aab
hull	`ullu
et	et
aga	aga
kust	kost
ei	ei
ka	kahh
ütlema	üttelnu
kust	kost
sina	sa
saama	saat
kõva	kõva
rehi	rehi
mitte	mte
kust+ki	`kustigi
sisse	`sisse
ei	ei
saama	saa
ja	ja
sees	sehen
taa	ta
olema	ol'li
mees	mehe
kõik	kõik
kes	kess
seal	säl
nüüd	nüt
olema	olluva
ja	ja
ütlema	üttelnu
sees	sehen
taa	ta
olema	`ol'li
ja	ja
valitseja	valitseja
ka	kah
et	et
mina	mina
laskma	lassi
välja	`väl'lä
noh	nohh
nüüd	nüt
õõ	õ
seal	säll
keset	kesset
sõõr	`syyri
rahvas	rahvass
ümber	`ümbre
nii	nii
palju	pal'lu
kui	kui
mõis	`mõisan
olema	ol'li
seletama	sellettand
siis	ss
olema	ol'li
ütlema	`üttelnu
kui	kui
teie	te
nüüd	nd
muidu	`muud'u
ei	i
uskuma	usu
mina	mull
andma	antti
karman	`karman
sigar	sigarit
täis	täis
ja	ja
kust	kust
mina	ma
siis	ss
nii	nii
olema	oless
saama	`saanu
ise	esi
mina	ma
ju	ju
es	s
saama	saanu
ju	ju
mina	mull
ei	ei
olema	ole
raha	raha
nii	niip
palju	pal'lu
et	et
mina	ma
ostma	`osta
saama	saa
noh	nohh
siis	siss
võtma	`võtnu
välja	`väl'lä
hh	h
siga	sea
sitt	sitta
julk	julga
seal	sääl
olema	omm
sigar	sigar
noh	nohh
ei	ei
keegi	kettägi
siis	siss
hakkama	nakkanu
kodu	kodu
tulema	tulema
see	se
olema	om
ju	ju
hulk	ulkka
maa	maad
Tiidla	`Tiidläst
Rõngu	`Rõngu
Rõngu	Rõngust
Valguta	Valgutta
mõis	`mõiste
ja	ja
siis	siss
minema	mine
veel	viil
alla	`alla
õhtu	õdaguss
saama	saanu
kodu	kodu
no	no
siis	s
küsima	küsinuva
kust	kost
sina	sa
täna	`täämbä
nii	nii
kaua	kavva
olema	ol'id
hommik	ommukku
või	või
õhtu	õdagu
minema	lätsit
Moona	Moona
küla	külän
või	vai
olema	`ol'li
ütlema	üttelnu
mina	ma
es	s
saama+ki	`saagi
Moona	Moona
küla	`küllä
et	et
tõld	tõld
sõitma	sõit
tagant	tagast
järgi	`jär'gi
ja	ja
nii	nii
seal	säl
olema	ol'li
noor	noore
härra	ärrät
ja	ja
preili	preilisit
olema	ol'li
täis	täis
ja	ja
ja	ja
mm	mm
kutsuma	`kut'seva
peale	`pääle
ütlema	ütl
mina	mea
olema	ol
ikka	ikki
vastu	`vasta
et	t
nii	nii
kaugele	`kaugele
mina	ma
ei	i
minema	l'ähe
ei	ei
minema	l'ähe
aga	aga
es	es
saama	saa
aru+ki	arugi
kas	kass
mina	ma
ise	esi
minema	`lätsi
või	vai
kuidas	kudass
mina	ma
istuma+ki	`istegi
seal	sääl
kutsar	kutsari
kõrval	kõrval
kolm	kolm
tugev	tugevat
suur	suurt
hobune	obest
olema	ollu
ees	in
nii	nii
kui	kui
ja	ja
ütlema	ütli
ka	kahh
et	et
kunas	kuna
mina	ma
sealt	säält
tagasi	tagasi
saama	saa
aga	aga
ei	ei
miski	midägi
naad	na
muu	muut
kui	ku
olema	ol'li
mina	ma
seal	sääl
ja	ja
nii	nii
mina	ma
rehi	rehen
olema	ol'li
nii	nii
kaua	kavva
kui	kui
et	et
kuulma	kuuli
ka	kahh
kui	kui
mõis	mõisan
kikas	kikkass
kirema	kir'g
ja	ja
olema	`ol'liva
kaduma	kattunu
kõik	kõik
es	ess
olema	ole
üks+ki	`üttegi
et	et
kuidas	kuda
mina	ma
saama	saan
siis	siss
võltsima	`võl'tsi
kust	kost
mina	ma
saama	saan
see	sedä
viisi	viisi
võltsima	`võl'tsi
ja	ja
et	et
et	et
nii	nii
taa	ta
olema	`ol'li
ja	ja
et	et
siis	s
kõnelema	kõnelnu
kodu	kodu
ka	kahh
noh	nohh
seal	sääl
kõik	kõik
jälle	jälle
ümber	`ümbre
kaudu	kaut
ka	ka
rahvas	rahvass
jälle	jälle
kuulama	`kullema
jah	jahh
ja	ja
jah	jahh
siis	siss
olema	ol'li
saama	sai
kodu	kodu
ja	ja
olema	ol'li
nii	nii
kaugel	`kaugel
jah	jahh
ja	ja
sigar	sigarit
ütlema	`ütleb
sigar	sigarit
mina	ma
es	ess
jätma	jättä
küll	küll
üks+ki	`üttegi
karman	`karmani
nood	nuu
pill	pilli
kõik	kõik
sinna	sinna
Tiidla	`Tiidle
uss	uss
aed	aida
ee	e
või	või
sinna	sinna
maha	maha
et	t
siga	sea
sitt	sitta
julk	julga
ja	ja
siis	siss
olema	ol'li
mina	mull
sigar	sigar
ja	ja
tõmbama	tõmmassin
ja	ja
miski	midägi
et	et
nii	nii
mina	mulle
andma	antti
palju	`pal'lu
veel	viil
tõmbama	tõmmatta
ja	ja
hea	ää
meel	miil
mina	mull
olema	ol'l'
ja	ja
siis	s
olema	ol'li
õh	õh
ütlema	üttelnu
aga	aga
et	et
no	no
meie	mii
nood	nontte
preili	preilittega
ka	kah
jutt	`juttu
olema	omm
ütlema	ütlep
kust	kost
mina	ma
saama	sain
naad	na
es	ess
laskma	laseva
see	se
olema	oli
man	mann
muudkui	mutku
mängima	män'gi
see	sii
tükk	tükk
ruttu	ruttu
see	sii
tükk	tükk
ruttu	`ruttu
naad	na
es	ess
laskma	lase
mina	mull
kuhu+ki	kohegi
minema	minnä
mina	ma
olema	olss
minema	lännu
küll	küll
mina	mull
olema	ol'li
küll	küll
lust	`lus'ti
minema	mindä
noh	nohh
siis	s
olema	ol'li
läbi	läbi
too	tuu
aga	aga
Rõngu	Rõngu
preili	preili
nood	noid
olema	ol'li
palju	pal'lu
ja	ja
palju	pal'lu
nägema	nännuva
iga	egä
üks	ühte
mitu	`mitmed
kord	kõrrad
nüüd	nüüt
jaan	jaani
päev	päevä
õõ	õ
pool+päev	`puul'ba
Moona	Moona
õõ	õ
küla	küläst
sealt	säält
jälle	`jälle
ümber	`ümbre
kaudu	kaut
moon	moona
mees	mestel
ka	kahh
mõni	mõnel
poeg	pojad
ja	ja
tütar	`tütret
man	mann
käima	käivä
mõis	`mõisa
töö	tüün
noh	nohh
kerge	`ker'gemp
jälle	jälle
püha+päev	pühä+päiv
prii	prii
ja	ja
ega	egä
lina	lina
ajamine	`aamist
ei	ei
olema	ole
käima	käevä
töö	tüün
ja	ja
saama	saiva
sedasi	seasi
ikka	ikki
jälle	`jäl'le
läbi	läbi
aga	a
nüüd	nüt
jaan	jaani
päev	päevä
pool+päev	`puul'ba
ja	ja
hobune	obene
lõppema	`lõpnu
enne	enne
ära	ärä
seal	säl
reede	`riidi
ja	ja
üks	üits
noh	noh
hea	ää
tükk	tük'k'
maa	maad
pidama	pia
õõ	õ
sinna	sinna
kus	koss
nagu	nigu
üks	üt's
kuristik	kuristik
seal	sääl
olema	omm
rohkem	`rohkem
mägine	mägine
maa	maa
Rõngu	Rõngu
kui	kui
või	või
sääne	säentte
kõrge	`kõrgem
mägi	mägi
mina	ma
ei	ei
olema	jolle
seal	sääl
elama	elänu
mina	ma
mööda	`müüdä
olema	ole
käima	käinu
kirik	kirikkun
käima	käijes
nüüd	nüd
noh	nohh
õh	õhh
hulk	ulga
pealt	päält
ümber	`ümbre
ringi	`ringi
talu	talu
õm	õmm
maja	majadest
ka	ka
poiss	poisi
tüdruk	tütrukku
seal	sääl
hulk	ulkka
ja	ja
tegema	tettäss
jaan	jaani
tuli	tuld
aga	aga
nüüd	nüüt
tulema	tullu
keegi	`kiägi
ütlema	üttelnu
jälle	jälle
nemad	nende
seast	seäst
et	et
õh	õh
et	et
õõ	õ
see	sedä
õõ	õ
keegi	`kiägi
ütlema	üttelnu
nemad	nende
seast	seast
et	et
kuulma	kuule
hobune	obene
õõ	õ
õõ	õ
hobune	obese
õõ	õ
hobune	obene
viima	viidi
sinna	sinna
mis	mes
see	se
ära	ärä
nülgima	nülittud
olema	ol'li
nülgima	nülittu
ja	ja
jätma	jätnu
sinna	sinna
siis	siss
nagu	nigu
üks	üt's
mm	mm
vahe	vahe
seal	seal
mets	mõtsa
suur	suure
mets	mõtsa
ja	ja
raba	räbä
vahe	vahess
olema	ollu
nagu	nigu
kuristik	kuristik
seal	sääl
või	või
siis	siss
sinna	sinna
viima	`viidu
siis	ss
mets	mõtsa
loom	looma
sööma	söönuva
sealt	säält
ära	ärä
paar	paari
päev	päivige
ei	ei
olema	ole
muu	muut
olema	ollu
kui	kui
kui	kui
paljas	palja
luu	luu
mis	miss
ära	ärä
lõppema	`lõpnu
sinna	sinna
viima	`viidu
ja	ja
viima	`viidu
too	tuu
ka	kahh
ja	ja
nüüd	nüüt
et	et
minema	ljääme
tooma	toome
too	tuu
hobune	obene
õõ	õ
tooma	toome
preili	preilidele
värske	`ver'sket
noh	nohh
naljatama	`nal'lattess
ka	ka
üks	üit's
ütlema	ütlep
no	no
kõik	kõik
see	sellega
nõus	nõuss
noh	nohh
olema	olluva
ka	kahh
et	et
jah	jahh
minema	lääme
noh	nohh
nöör	nüörid
kõik	kõik
ümber	`ümbre
ja	ja
vedama	vedänuva
sealt	säält
too	toda
raba	räbä
pidi	pidi
no	no
mõtlema	`mõtle
kui	kui
palju	pal'lu
vaev	`vaiva
nägema	näeve
seal	säl
olema	omm
noor	`noortte
inimene	inimeste
asi	asi
jah	jahh
ja	ja
õh	õhh
aga	a
nüüd	nüit
vedama	vedänuva
too	tolle
hobune	obese
sinna	sinna
preili	preilidele
lävi	l'äve
ette	ette
too	toda
lävi	l'äve
küll	küll
kui	ku
kirik	`kirkkun
käima	käisime
niisama	nissama
äkiline	`äkkiline
too	tuu
mägi	mägi
nagu	nigu
see	sii
sein	sain
ja	ja
ja	ja
lävi	lävi
olema	ol'l'
seal	sääl
aga	aga
kaks	kattel
pool	puul
olema	ol'li
ilus	ilus
hein	ain
kasvama	`kasva
jah	jahh
sinna	`sinna
et	et
saama	saava
preili	preili
värske	`ver'sket
aga	aga
suur	suurel
tee	tii
veer	veere
peal	pääl
nagu	nigu
meie	meil
siin	siin
see	si
suur	suuret
tee	ti
veer	viir
panema	panne
sinna	sinna
kraav	kraavi
peale	pääle
ja	ja
vedama	vedänuva
sinna	sinna
ise	esi
naerma	`naarnuva
nüüd	nüüd
saama	saava
preili	preili
ka	ka
värske	`ver'sket
jaan	jaani
päev	päeva
hommik	ommukku
ja	ja
minema	lännuva
iga	egä
üks	üit's
oma	oma
kodu	kodu
aga	aga
juba	joba
õhtune	õdagune
agu	agu
ära	ärä
kustuma	`kistenu
hommikune	ommukkune
juba	joba
hakkama	nakkap
tõusma	tõõsema
juba	joba
päev	päevä
ajama	ai
juba	joba
üleval	ülevän
kõik	kõik
minema	läevä
kodu	kodu
ja	ja
jätma	jättävä
sinna	sinna
nüüd	nüit
saama	saanuva
siis	siss
kodu	kodu
ja	ja
õõ	õ
tüdruk	tütrikku
ei	ei
olema	ole
magama	magama
heitma	`eitnuva
ikka	ikki
minema	lännuva
siis	siss
lehm	`lehmi
nüsma	`nüsmä
jah	jahh
ja	ja
õh	õhh
saama	saanu
veel	veel
et	et
tükike	tükkikke
aeg	`aiga
ja	ja
noh	nohh
Andrep	Andrep
tulema	tullu
siis	siss
välja	`väl'lä
oma	oma
tare	tarest
sealt	säält
olema	ollu
Andrep	Andreppil
trepp	treppi
peal	pääl
hobune	obene
nagu	nigu
elus	elus
hobune	obene
seisma	`saisnu
neli	nel'lä
jalg	jala
peal	pääl
noh	nohh
too	toda
ei	ei
saama	saa
ütlema	üttelda
et	et
taa	ta
võlts	võlts
olema	omm
et	et
kui	kui
palju	pal'lu
meie	me
olema	ol'li
mõis	`mõisan
kui	kui
see	sii
käsk	käsk
tulema	tul'li
seal	sääl
olema	ol'li
ju	ju
rahvas	`rahvast
nii	nii
palju	pal'lu
kes	kess
kuulma	`kuuliva
kõik	kõik
tulema	tulliva
ju	jou
kaema	`kaema
ja	ja
hobune	oobene
seal	sääl
taa	ta
olema	ollu
ära	ärä
heitma	eittunu
uks	usse
vallale	vallale
hobune	obene
seal	sääl
oh	oohh
siis	s
olema	ollu
väga	`väegä
vihane	vihane
küll	küll
ja	ja
käskima	käsk
ruttu	`ruttu
kubjas	kubijat
mõis	`mõisa
et	t
olema	olgu
kõik	kõik
siin	siin
kes	kess
olema	omm
see	sedä
tegema	tennu
aga	aga
ise	esi
aimama	aemanu
ära	ärä
küll	küll
et	et
ega	egä
inimene	inimene
see	sedä
vist	vist
saama	saa
too	toda
vana	vana
hobune	obese
kori	`kor'vi
siia	siijä
seadma	`säädä
nagu	nigu
elu	elu
hobune	obene
et	et
et	et
see	see
ikka	igi
üks	üt's
üks	üits
tükk	tük'k'
olema	ol'li
mis	mess
olema	om
noh	nohh
nõudma	nõvvettu
sealt	säält
oma	omal
ka	kahh
viis	viis
poeg	`poiga
kõik	kõik
keegi	`kiägi
teadma	tiijä
miski	midägi
kõik	kõik
üks	ütte
kord	kõrraga
tulema	tulluva
ja	ja
minema	lätsive
iga	egä
üks	üitss
oma	omma
korter	kortteri
ja	ja
soh	soohh
siis	siss
ütlema	ütteldu
küll	küll
pärast	peräst
olema	omm
ka	kaa
veel	viil
kutsuma	kutsuttu
veel	viil
ja	ja
et	t
kes	kess
üles	üless
andma	annap
saama	sap
suur	`suure
maks	massu
aga	aga
üks+ki	`üttegi
ei	i
olema	ole
üles	üles
andja	anjat
no	no
siis	s
laskma	lastu
jälle	jälle
hobune	obene
sinna	sinq
ära	ärä
viima	`viijä
ja	ja
jälle	jälle
siis	ss
teine	tõene
hobune	obene
ette	ette
ja	ja
viima	`viidu
sinna	sinna
sama	samma
kuristik	kuristigu
ja	ja
ja	ja
nüüd	nüit
siis	siss
olema	olluva
pahane	pahantse
küll	küll
väga	väega
kubjas	kubijal
olema	ollu
ka	kahh
poeg	poig
ja	ja
tütar	tüttär
siis	s
too	tu
olema	ol'li
ütlema	üttelnu
ei	õi
et	et
no	no
mis	mess
aru	aru
pealt	pält
teie	te
käima	käeste
kui	kui
suur	suure
tee	tii
veer	viire
peale	päle
kabel	kabeli
mineja	minejät
tulema	tuleva
kõik	kõigil
olema	omm
talu	talu
poeg	boigel
tugev	tugevat
hobune	obeset
